# artifact_index=03
# artifact_name=knight-quadrant
# kind=geometry
# geometry=hex
# attack=hex6
# order=dist-atan
# colors=
# radius=4
# trusted_radius=7
# outer_radius=7
# visible_shape=hex-ball
# trusted_last_index=168
order_index,a,b
0,0,0
1,1,0
2,0,1
3,-1,1
4,-1,0
5,0,-1
6,1,-1
7,1,1
8,-1,2
9,-2,1
10,-1,-1
11,1,-2
12,2,-1
13,2,0
14,0,2
15,-2,2
16,-2,0
17,0,-2
18,2,-2
19,2,1
20,1,2
21,-1,3
22,-2,3
23,-3,2
24,-3,1
25,-2,-1
26,-1,-2
27,1,-3
28,2,-3
29,3,-2
30,3,-1
31,3,0
32,0,3
33,-3,3
34,-3,0
35,0,-3
36,3,-3
37,2,2
38,-2,4
39,-4,2
40,-2,-2
41,2,-4
42,4,-2
43,3,1
44,1,3
45,-1,4
46,-3,4
47,-4,3
48,-4,1
49,-3,-1
50,-1,-3
51,1,-4
52,3,-4
53,4,-3
54,4,-1
55,4,0
56,0,4
57,-4,4
58,-4,0
59,0,-4
60,4,-4
61,3,2
62,2,3
63,-2,5
64,-3,5
65,-5,3
66,-5,2
67,-3,-2
68,-2,-3
69,2,-5
70,3,-5
71,5,-3
72,5,-2
73,4,1
74,1,4
75,-1,5
76,-4,5
77,-5,4
78,-5,1
79,-4,-1
80,-1,-4
81,1,-5
82,4,-5
83,5,-4
84,5,-1
85,5,0
86,0,5
87,-5,5
88,-5,0
89,0,-5
90,5,-5
91,3,3
92,-3,6
93,-6,3
94,-3,-3
95,3,-6
96,6,-3
97,4,2
98,2,4
99,-2,6
100,-4,6
101,-6,4
102,-6,2
103,-4,-2
104,-2,-4
105,2,-6
106,4,-6
107,6,-4
108,6,-2
109,5,1
110,1,5
111,-1,6
112,-5,6
113,-6,5
114,-6,1
115,-5,-1
116,-1,-5
117,1,-6
118,5,-6
119,6,-5
120,6,-1
121,6,0
122,0,6
123,-6,6
124,-6,0
125,0,-6
126,6,-6
127,4,3
128,3,4
129,-3,7
130,-4,7
131,-7,4
132,-7,3
133,-4,-3
134,-3,-4
135,3,-7
136,4,-7
137,7,-4
138,7,-3
139,5,2
140,2,5
141,-2,7
142,-5,7
143,-7,5
144,-7,2
145,-5,-2
146,-2,-5
147,2,-7
148,5,-7
149,7,-5
150,7,-2
151,6,1
152,1,6
153,-1,7
154,-6,7
155,-7,6
156,-7,1
157,-6,-1
158,-1,-6
159,1,-7
160,6,-7
161,7,-6
162,7,-1
163,7,0
164,0,7
165,-7,7
166,-7,0
167,0,-7
168,7,-7
