# artifact_index=03
# artifact_name=knight-quadrant
# kind=moves
# geometry=hex
# attack=hex6
# order=dist-atan
# colors=brgy
# radius=4
# trusted_radius=7
# outer_radius=7
# visible_shape=hex-ball
# trusted_last_index=168
move,color_index,color,order_index,a,b,cursor_start,cursor_after
1,0,b,0,0,0,0,0
2,1,r,1,1,0,0,1
3,2,g,2,0,1,0,2
4,3,y,16,-2,0,0,16
5,0,b,7,1,1,1,7
6,1,r,14,0,2,2,14
7,2,g,4,-1,0,3,4
8,3,y,23,-3,2,17,23
9,0,b,8,-1,2,8,8
10,1,r,18,2,-2,15,18
11,2,g,6,1,-1,5,6
12,3,y,26,-1,-2,24,26
13,0,b,9,-2,1,9,9
14,1,r,19,2,1,19,19
15,2,g,13,2,0,7,13
16,3,y,35,0,-3,27,35
17,0,b,12,2,-1,10,12
18,1,r,30,3,-1,20,30
19,2,g,15,-2,2,14,15
20,3,y,40,-2,-2,36,40
21,0,b,31,3,0,13,31
22,1,r,44,1,3,31,44
23,2,g,17,0,-2,16,17
24,3,y,41,2,-4,41,41
25,0,b,32,0,3,32,32
26,1,r,45,-1,4,45,45
27,2,g,20,1,2,18,20
28,3,y,48,-4,1,42,48
29,0,b,33,-3,3,33,33
30,1,r,52,3,-4,46,52
31,2,g,21,-1,3,21,21
32,3,y,49,-3,-1,49,49
33,0,b,37,2,2,34,37
34,1,r,53,4,-3,53,53
35,2,g,24,-3,1,22,24
36,3,y,57,-4,4,50,57
37,0,b,38,-2,4,38,38
38,1,r,55,4,0,54,55
39,2,g,25,-2,-1,25,25
40,3,y,59,0,-4,58,59
41,0,b,39,-4,2,39,39
42,1,r,60,4,-4,56,60
43,2,g,43,3,1,26,43
44,3,y,65,-5,3,60,65
45,0,b,42,4,-2,40,42
46,1,r,61,3,2,61,61
47,2,g,46,-3,4,44,46
48,3,y,68,-2,-3,66,68
49,0,b,73,4,1,43,73
50,1,r,70,3,-5,62,70
51,2,g,47,-4,3,47,47
52,3,y,79,-4,-1,69,79
53,0,b,74,1,4,74,74
54,1,r,71,5,-3,71,71
55,2,g,50,-1,-3,48,50
56,3,y,80,-1,-4,80,80
57,0,b,75,-1,5,75,75
58,1,r,72,5,-2,72,72
59,2,g,56,0,4,51,56
60,3,y,81,1,-5,81,81
61,0,b,76,-4,5,76,76
62,1,r,86,0,5,73,86
63,2,g,58,-4,0,57,58
64,3,y,82,4,-5,82,82
65,0,b,77,-5,4,77,77
66,1,r,90,5,-5,87,90
67,2,g,62,2,3,59,62
68,3,y,88,-5,0,83,88
69,0,b,84,5,-1,78,84
70,1,r,98,2,4,91,98
71,2,g,63,-2,5,63,63
72,3,y,94,-3,-3,89,94
73,0,b,91,3,3,85,91
74,1,r,99,-2,6,99,99
75,2,g,66,-5,2,64,66
76,3,y,95,3,-6,95,95
77,0,b,92,-3,6,92,92
78,1,r,105,2,-6,100,105
79,2,g,67,-3,-2,67,67
80,3,y,102,-6,2,96,102
81,0,b,93,-6,3,93,93
82,1,r,106,4,-6,106,106
83,2,g,85,5,0,68,85
84,3,y,103,-4,-2,103,103
85,0,b,96,6,-3,94,96
86,1,r,107,6,-4,107,107
87,2,g,87,-5,5,86,87
88,3,y,112,-5,6,104,112
89,0,b,121,6,0,97,121
90,1,r,109,5,1,108,109
91,2,g,97,4,2,88,97
92,3,y,113,-6,5,113,113
93,0,b,122,0,6,122,122
94,1,r,118,5,-6,110,118
95,2,g,100,-4,6,98,100
96,3,y,116,-1,-5,114,116
97,0,b,123,-6,6,123,123
98,1,r,119,6,-5,119,119
99,2,g,101,-6,4,101,101
100,3,y,117,1,-6,117,117
101,0,b,139,5,2,124,139
102,1,r,120,6,-1,120,120
103,2,g,104,-2,-4,102,104
104,3,y,124,-6,0,118,124
105,0,b,140,2,5,140,140
106,1,r,127,4,3,121,127
107,2,g,110,1,5,105,110
108,3,y,125,0,-6,125,125
109,0,b,141,-2,7,141,141
110,1,r,136,4,-7,128,136
111,2,g,111,-1,6,111,111
112,3,y,126,6,-6,126,126
113,0,b,142,-5,7,142,142
114,1,r,137,7,-4,137,137
115,2,g,114,-6,1,112,114
116,3,y,131,-7,4,127,131
117,0,b,143,-7,5,143,143
118,1,r,138,7,-3,138,138
119,2,g,115,-5,-1,115,115
120,3,y,134,-3,-4,132,134
121,0,b,150,7,-2,144,150
122,1,r,152,1,6,139,152
123,2,g,128,3,4,116,128
124,3,y,145,-5,-2,135,145
125,1,r,153,-1,7,153,153
126,2,g,129,-3,7,129,129
127,3,y,146,-2,-5,146,146
128,1,r,159,1,-7,154,159
129,2,g,132,-7,3,130,132
130,3,y,147,2,-7,147,147
131,1,r,160,6,-7,160,160
132,2,g,133,-4,-3,133,133
133,3,y,148,5,-7,148,148
134,1,r,161,7,-6,161,161
135,2,g,151,6,1,134,151
136,3,y,156,-7,1,149,156
137,1,r,163,7,0,162,163
138,2,g,154,-6,7,152,154
139,3,y,157,-6,-1,157,157
140,1,r,168,7,-7,164,168
141,2,g,155,-7,6,155,155
142,3,y,165,-7,7,158,165
143,2,g,162,7,-1,156,162
144,3,y,167,0,-7,166,167
145,2,g,164,0,7,163,164
146,2,g,166,-7,0,165,166
