# artifact_index=03
# artifact_name=knight-quadrant
# kind=moves
# geometry=square
# attack=square8
# order=spiral
# colors=b
# radius=6
# trusted_radius=9
# outer_radius=9
# visible_shape=square
# trusted_last_index=351
move,color_index,color,order_index,a,b,cursor_start,cursor_after
1,0,b,0,0,0,0,0
2,0,b,1,1,0,1,1
3,0,b,2,1,1,2,2
4,0,b,3,0,1,3,3
5,0,b,20,-2,-2,4,20
6,0,b,25,3,-2,21,25
7,0,b,30,3,3,26,30
8,0,b,35,-2,3,31,35
9,0,b,36,-3,3,36,36
10,0,b,37,-3,2,37,37
11,0,b,40,-3,-1,38,40
12,0,b,41,-3,-2,41,41
13,0,b,42,-3,-3,42,42
14,0,b,47,2,-3,43,47
15,0,b,48,3,-3,48,48
16,0,b,49,4,-3,49,49
17,0,b,54,4,2,50,54
18,0,b,55,4,3,55,55
19,0,b,56,4,4,56,56
20,0,b,63,-3,4,57,63
21,0,b,65,-4,3,64,65
22,0,b,70,-4,-2,66,70
23,0,b,79,3,-4,71,79
24,0,b,88,5,3,80,88
25,0,b,94,1,5,89,94
26,0,b,95,0,5,95,95
27,0,b,110,-5,-5,96,110
28,0,b,112,-3,-5,111,112
29,0,b,114,-1,-5,113,114
30,0,b,115,0,-5,115,115
31,0,b,121,6,-5,116,121
32,0,b,123,6,-3,122,123
33,0,b,125,6,-1,124,125
34,0,b,126,6,0,126,126
35,0,b,132,6,6,127,132
36,0,b,134,4,6,133,134
37,0,b,137,1,6,135,137
38,0,b,138,0,6,138,138
39,0,b,141,-3,6,139,141
40,0,b,143,-5,6,142,143
41,0,b,144,-6,6,144,144
42,0,b,145,-6,5,145,145
43,0,b,147,-6,3,146,147
44,0,b,149,-6,1,148,149
45,0,b,150,-6,0,150,150
46,0,b,152,-6,-2,151,152
47,0,b,154,-6,-4,153,154
48,0,b,155,-6,-5,155,155
49,0,b,156,-6,-6,156,156
50,0,b,162,0,-6,157,162
51,0,b,165,3,-6,163,165
52,0,b,167,5,-6,166,167
53,0,b,168,6,-6,168,168
54,0,b,169,7,-6,169,169
55,0,b,175,7,0,170,175
56,0,b,178,7,3,176,178
57,0,b,180,7,5,179,180
58,0,b,181,7,6,181,181
59,0,b,182,7,7,182,182
60,0,b,195,-6,7,183,195
61,0,b,197,-7,6,196,197
62,0,b,208,-7,-5,198,208
63,0,b,214,-3,-7,209,214
64,0,b,223,6,-7,215,223
65,0,b,229,8,-3,224,229
66,0,b,238,8,6,230,238
67,0,b,244,4,8,239,244
68,0,b,251,-3,8,245,251
69,0,b,261,-8,3,252,261
70,0,b,266,-8,-2,262,266
71,0,b,272,-8,-8,267,272
72,0,b,274,-6,-8,273,274
73,0,b,276,-4,-8,275,276
74,0,b,277,-3,-8,277,277
75,0,b,278,-2,-8,278,278
76,0,b,280,0,-8,279,280
77,0,b,283,3,-8,281,283
78,0,b,289,9,-8,284,289
79,0,b,291,9,-6,290,291
80,0,b,293,9,-4,292,293
81,0,b,294,9,-3,294,294
82,0,b,295,9,-2,295,295
83,0,b,297,9,0,296,297
84,0,b,300,9,3,298,300
85,0,b,306,9,9,301,306
86,0,b,308,7,9,307,308
87,0,b,310,5,9,309,310
88,0,b,311,4,9,311,311
89,0,b,312,3,9,312,312
90,0,b,314,1,9,313,314
91,0,b,315,0,9,315,315
92,0,b,317,-2,9,316,317
93,0,b,318,-3,9,318,318
94,0,b,319,-4,9,319,319
95,0,b,321,-6,9,320,321
96,0,b,323,-8,9,322,323
97,0,b,324,-9,9,324,324
98,0,b,325,-9,8,325,325
99,0,b,327,-9,6,326,327
100,0,b,329,-9,4,328,329
101,0,b,330,-9,3,330,330
102,0,b,331,-9,2,331,331
103,0,b,334,-9,-1,332,334
104,0,b,335,-9,-2,335,335
105,0,b,336,-9,-3,336,336
106,0,b,338,-9,-5,337,338
107,0,b,340,-9,-7,339,340
108,0,b,341,-9,-8,341,341
109,0,b,342,-9,-9,342,342
110,0,b,348,-3,-9,343,348
111,0,b,354,3,-9,349,354
