# artifact_index=03
# artifact_name=knight-quadrant
# kind=moves
# geometry=square
# attack=square8
# order=spiral
# colors=brg
# radius=6
# trusted_radius=9
# outer_radius=9
# visible_shape=square
# trusted_last_index=351
move,color_index,color,order_index,a,b,cursor_start,cursor_after
1,0,b,0,0,0,0,0
2,1,r,1,1,0,0,1
3,2,g,2,1,1,0,2
4,0,b,3,0,1,1,3
5,1,r,4,-1,1,2,4
6,2,g,5,-1,0,3,5
7,0,b,10,2,0,4,10
8,1,r,24,2,-2,5,24
9,2,g,20,-2,-2,6,20
10,0,b,11,2,1,11,11
11,1,r,28,3,1,25,28
12,2,g,36,-3,3,21,36
13,0,b,18,-2,0,12,18
14,1,r,35,-2,3,29,35
15,2,g,40,-3,-1,37,40
16,0,b,23,1,-2,19,23
17,1,r,42,-3,-3,36,42
18,2,g,43,-2,-3,41,43
19,0,b,25,3,-2,24,25
20,1,r,47,2,-3,43,47
21,2,g,56,4,4,44,56
22,0,b,30,3,3,26,30
23,1,r,49,4,-3,48,49
24,2,g,57,3,4,57,57
25,0,b,34,-1,3,31,34
26,1,r,50,4,-2,50,50
27,2,g,58,2,4,58,58
28,0,b,41,-3,-2,35,41
29,1,r,60,0,4,51,60
30,2,g,61,-1,4,59,61
31,0,b,44,-1,-3,42,44
32,1,r,62,-2,4,61,62
33,2,g,70,-4,-2,62,70
34,0,b,46,1,-3,45,46
35,1,r,64,-4,4,63,64
36,2,g,71,-4,-3,71,71
37,0,b,48,3,-3,47,48
38,1,r,65,-4,3,65,65
39,2,g,86,5,1,72,86
40,0,b,52,4,0,49,52
41,1,r,66,-4,2,66,66
42,2,g,88,5,3,87,88
43,0,b,59,1,4,53,59
44,1,r,85,5,0,67,85
45,2,g,90,5,5,89,90
46,0,b,68,-4,0,60,68
47,1,r,100,-5,5,86,100
48,2,g,94,1,5,91,94
49,0,b,82,5,-3,69,82
50,1,r,102,-5,3,101,102
51,2,g,110,-5,-5,95,110
52,0,b,83,5,-2,83,83
53,1,r,104,-5,1,103,104
54,2,g,112,-3,-5,111,112
55,0,b,89,5,4,84,89
56,1,r,111,-4,-5,105,111
57,2,g,114,-1,-5,113,114
58,0,b,92,3,5,90,92
59,1,r,116,1,-5,112,116
60,2,g,129,6,3,115,129
61,0,b,115,0,-5,93,115
62,1,r,118,3,-5,117,118
63,2,g,130,6,4,130,130
64,0,b,117,2,-5,116,117
65,1,r,120,5,-5,119,120
66,2,g,131,6,5,131,131
67,0,b,119,4,-5,118,119
68,1,r,123,6,-3,121,123
69,2,g,135,3,6,132,135
70,0,b,121,6,-5,120,121
71,1,r,124,6,-2,124,124
72,2,g,140,-2,6,136,140
73,0,b,126,6,0,122,126
74,1,r,141,-3,6,125,141
75,2,g,142,-4,6,141,142
76,0,b,132,6,6,127,132
77,1,r,143,-5,6,142,143
78,2,g,144,-6,6,143,144
79,0,b,150,-6,0,133,150
80,1,r,146,-6,4,144,146
81,2,g,152,-6,-2,145,152
82,0,b,155,-6,-5,151,155
83,1,r,147,-6,3,147,147
84,2,g,153,-6,-3,153,153
85,0,b,158,-4,-6,156,158
86,1,r,148,-6,2,148,148
87,2,g,157,-5,-6,154,157
88,0,b,162,0,-6,159,162
89,1,r,156,-6,-6,149,156
90,2,g,159,-3,-6,158,159
91,0,b,164,2,-6,163,164
92,1,r,165,3,-6,157,165
93,2,g,181,7,6,160,181
94,0,b,166,4,-6,165,166
95,1,r,167,5,-6,166,167
96,2,g,182,7,7,182,182
97,0,b,168,6,-6,167,168
98,1,r,169,7,-6,168,169
99,2,g,183,6,7,183,183
100,0,b,172,7,-3,169,172
101,1,r,170,7,-5,170,170
