tile,edge_index,edge,sign
Gamma,0,alpha,-
Gamma,1,alpha,+
Gamma,2,gamma,-
Gamma,3,delta,-
Gamma,4,beta,+
Gamma,5,beta,-
Delta,0,gamma,+
Delta,1,beta,+
Delta,2,epsilon,-
Delta,3,alpha,+
Delta,4,gamma,-
Delta,5,zeta,-
Theta,0,gamma,+
Theta,1,beta,+
Theta,2,theta,+
Theta,3,beta,+
Theta,4,eta,1
Theta,5,beta,-
Lambda,0,gamma,+
Lambda,1,beta,+
Lambda,2,epsilon,-
Lambda,3,alpha,+
Lambda,4,theta,-
Lambda,5,beta,-
Xi,0,alpha,-
Xi,1,epsilon,+
Xi,2,theta,+
Xi,3,beta,+
Xi,4,eta,1
Xi,5,beta,-
Pi,0,alpha,-
Pi,1,epsilon,+
Pi,2,epsilon,-
Pi,3,alpha,+
Pi,4,theta,-
Pi,5,beta,-
Sigma,0,zeta,+
Sigma,1,beta,+
Sigma,2,epsilon,-
Sigma,3,alpha,+
Sigma,4,gamma,-
Sigma,5,delta,+
Phi,0,gamma,+
Phi,1,beta,+
Phi,2,epsilon,-
Phi,3,epsilon,+
Phi,4,eta,1
Phi,5,beta,-
Psi,0,alpha,-
Psi,1,epsilon,+
Psi,2,epsilon,-
Psi,3,epsilon,+
Psi,4,eta,1
Psi,5,beta,-
