parent,n,edge,sign
Gamma,0,alpha,-
Gamma,1,beta,-
Gamma,2,beta,+
Gamma,3,delta,-
Gamma,4,gamma,-
Gamma,5,alpha,+
Delta,0,gamma,+
Delta,1,zeta,-
Delta,2,gamma,-
Delta,3,alpha,+
Delta,4,epsilon,-
Delta,5,beta,+
Theta,0,gamma,+
Theta,1,beta,-
Theta,2,eta,1
Theta,3,beta,+
Theta,4,theta,+
Theta,5,beta,+
Lambda,0,gamma,+
Lambda,1,beta,-
Lambda,2,theta,-
Lambda,3,alpha,+
Lambda,4,epsilon,-
Lambda,5,beta,+
Xi,0,alpha,-
Xi,1,beta,-
Xi,2,eta,1
Xi,3,beta,+
Xi,4,theta,+
Xi,5,epsilon,+
Pi,0,alpha,-
Pi,1,beta,-
Pi,2,theta,-
Pi,3,alpha,+
Pi,4,epsilon,-
Pi,5,epsilon,+
Sigma,0,zeta,+
Sigma,1,delta,+
Sigma,2,gamma,-
Sigma,3,alpha,+
Sigma,4,epsilon,-
Sigma,5,beta,+
Phi,0,gamma,+
Phi,1,beta,-
Phi,2,eta,1
Phi,3,epsilon,+
Phi,4,epsilon,-
Phi,5,beta,+
Psi,0,alpha,-
Psi,1,beta,-
Psi,2,eta,1
Psi,3,epsilon,+
Psi,4,epsilon,-
Psi,5,epsilon,+
