parent,child_order,child,rotation,q,r
Gamma,0,Gamma,0,0,0
Gamma,1,Sigma,1,1,0
Gamma,2,Phi,2,0,1
Gamma,3,Xi,1,1,1
Gamma,4,Pi,4,0,-1
Gamma,5,Delta,5,1,-1
Gamma,6,Theta,0,2,-1
Delta,0,Gamma,0,0,0
Delta,1,Sigma,1,1,0
Delta,2,Phi,2,0,1
Delta,3,Pi,1,1,1
Delta,4,Xi,4,0,-1
Delta,5,Delta,5,1,-1
Delta,6,Phi,0,2,-1
Delta,7,Xi,5,2,-2
Theta,0,Gamma,0,0,0
Theta,1,Sigma,1,1,0
Theta,2,Phi,2,0,1
Theta,3,Pi,1,1,1
Theta,4,Psi,4,0,-1
Theta,5,Delta,5,1,-1
Theta,6,Phi,0,2,-1
Theta,7,Pi,5,2,-2
Lambda,0,Gamma,0,0,0
Lambda,1,Sigma,1,1,0
Lambda,2,Phi,2,0,1
Lambda,3,Pi,1,1,1
Lambda,4,Psi,4,0,-1
Lambda,5,Delta,5,1,-1
Lambda,6,Phi,0,2,-1
Lambda,7,Xi,5,2,-2
Xi,0,Gamma,0,0,0
Xi,1,Sigma,1,1,0
Xi,2,Phi,2,0,1
Xi,3,Psi,1,1,1
Xi,4,Psi,4,0,-1
Xi,5,Delta,5,1,-1
Xi,6,Phi,0,2,-1
Xi,7,Pi,5,2,-2
Pi,0,Gamma,0,0,0
Pi,1,Sigma,1,1,0
Pi,2,Phi,2,0,1
Pi,3,Psi,1,1,1
Pi,4,Psi,4,0,-1
Pi,5,Delta,5,1,-1
Pi,6,Phi,0,2,-1
Pi,7,Xi,5,2,-2
Sigma,0,Gamma,0,0,0
Sigma,1,Sigma,1,1,0
Sigma,2,Lambda,2,0,1
Sigma,3,Pi,1,1,1
Sigma,4,Xi,4,0,-1
Sigma,5,Delta,5,1,-1
Sigma,6,Phi,0,2,-1
Sigma,7,Xi,5,2,-2
Phi,0,Gamma,0,0,0
Phi,1,Sigma,1,1,0
Phi,2,Phi,2,0,1
Phi,3,Pi,1,1,1
Phi,4,Psi,4,0,-1
Phi,5,Delta,5,1,-1
Phi,6,Phi,0,2,-1
Phi,7,Psi,5,2,-2
Psi,0,Gamma,0,0,0
Psi,1,Sigma,1,1,0
Psi,2,Phi,2,0,1
Psi,3,Psi,1,1,1
Psi,4,Psi,4,0,-1
Psi,5,Delta,5,1,-1
Psi,6,Phi,0,2,-1
Psi,7,Psi,5,2,-2
