location,break,post,reason,count,example_1,example_2
image join,\Phi_{4},\bigl(\Phi_{4}\;\Sigma_{5}\;\Phi_{0}\bigr)\;\bigl(\Phi_{4}\;\Sigma_{5}\;\Phi_{0}\bigr),"need\;(\varepsilon^{-},\,1:\varepsilon^{+});\;\mathrm{avail}\;\Phi_{4,3}",6,"\Pi_{3,3}\mid \Delta_{3,3}","\Pi_{3,3}\mid \Lambda_{3,3}"
image join,\Phi_{4},\bigl(\Xi_{4}\;\Delta_{5}\;\Phi_{0}\bigr)\;\bigl(\Phi_{4}\;\Gamma_{2}\;\Psi_{0}\bigr),"need\;(\varepsilon^{-},\,1:\varepsilon^{+});\;\mathrm{avail}\;\Phi_{4,3}",6,"\Delta_{1,3}\mid \Pi_{5,4}","\Delta_{1,3}\mid \Psi_{5,4}"
image join,\Phi_{4},\bigl(\Xi_{4}\;\Delta_{5}\;\Phi_{0}\bigr)\;\bigl(\Phi_{4}\;\Sigma_{5}\;\Phi_{0}\bigr),"need\;(\varepsilon^{-},\,1:\varepsilon^{+});\;\mathrm{avail}\;\Phi_{4,3}",4,"\Delta_{1,3}\mid \Phi_{3,4}","\Delta_{1,3}\mid \Psi_{3,4}"
image join,\Phi_{4},\bigl(\Theta_{4}\;\Sigma_{5}\;\Phi_{0}\bigr)\;\bigl(\Phi_{4}\;\Sigma_{5}\;\Phi_{0}\bigr),"need\;(\varepsilon^{-},\,1:\varepsilon^{+});\;\mathrm{avail}\;\Phi_{4,3}",3,"\Gamma_{3,5}\mid \Delta_{3,3}","\Gamma_{3,5}\mid \Lambda_{3,3}"
image join,\Phi_{4},\bigl(\Phi_{4}\;\Sigma_{5}\;\Phi_{0}\bigr)\;\bigl(\Phi_{4}\;\Gamma_{2}\;\Pi_{0}\bigr),"need\;(\varepsilon^{-},\,1:\varepsilon^{+});\;\mathrm{avail}\;\Phi_{4,3}",2,"\Pi_{3,3}\mid \Gamma_{5,3}","\Psi_{3,4}\mid \Gamma_{5,3}"
image join,\Phi_{4},\bigl(\Phi_{4}\;\Sigma_{5}\;\Phi_{0}\bigr)\;\bigl(\Phi_{4}\;\Sigma_{5}\;\Lambda_{0}\bigr),"need\;(\varepsilon^{-},\,1:\varepsilon^{+});\;\mathrm{avail}\;\Phi_{4,3}",2,"\Pi_{3,3}\mid \Sigma_{3,3}","\Psi_{3,4}\mid \Sigma_{3,3}"
image join,\Phi_{4},\bigl(\Theta_{4}\;\Sigma_{5}\;\Phi_{0}\bigr)\;\bigl(\Phi_{4}\;\Gamma_{2}\;\Pi_{0}\bigr),"need\;(\varepsilon^{-},\,1:\varepsilon^{+});\;\mathrm{avail}\;\Phi_{4,3}",1,"\Gamma_{3,5}\mid \Gamma_{5,3}",
image join,\Phi_{4},\bigl(\Theta_{4}\;\Sigma_{5}\;\Phi_{0}\bigr)\;\bigl(\Phi_{4}\;\Sigma_{5}\;\Lambda_{0}\bigr),"need\;(\varepsilon^{-},\,1:\varepsilon^{+});\;\mathrm{avail}\;\Phi_{4,3}",1,"\Gamma_{3,5}\mid \Sigma_{3,3}",
left word,\Gamma_{4},\bigl(\Xi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr)\;\bigl(\Xi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr),"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{4,3}",3,"\Pi_{3,1}\mid \Delta_{3,1}","\Pi_{3,1}\mid \Lambda_{3,1}"
left word,\Xi_{0},\bigl(\Gamma_{1}\;\Delta_{0}\;\Xi_{0}\bigr)\;\bigl(\Gamma_{1}\;\Delta_{0}\;\Pi_{0}\bigr),"need\;(\alpha^{-},\,1:\varepsilon^{+});\;\mathrm{avail}\;\Xi_{0,3}",3,"\Delta_{0,5}\mid \Xi_{0,3}","\Lambda_{0,5}\mid \Xi_{0,3}"
left word,\Xi_{0},\bigl(\Gamma_{1}\;\Delta_{0}\;\Xi_{0}\bigr)\;\bigl(\Gamma_{1}\;\Delta_{0}\;\Psi_{0}\bigr),"need\;(\alpha^{-},\,1:\varepsilon^{+});\;\mathrm{avail}\;\Xi_{0,3}",3,"\Delta_{0,5}\mid \Psi_{0,3}","\Lambda_{0,5}\mid \Psi_{0,3}"
left word,\Xi_{0},\bigl(\Gamma_{1}\;\Delta_{0}\;\Xi_{0}\bigr)\;\bigl(\Gamma_{1}\;\Delta_{0}\;\Xi_{0}\bigr),"need\;(\alpha^{-},\,1:\varepsilon^{+});\;\mathrm{avail}\;\Xi_{0,3}",3,"\Delta_{0,5}\mid \Pi_{0,3}","\Lambda_{0,5}\mid \Pi_{0,3}"
left word,\Xi_{0},\bigl(\Gamma_{1}\;\Delta_{0}\;\Xi_{0}\bigr)\;\bigl(\Gamma_{1}\;\Delta_{0}\bigr),"need\;(\alpha^{-},\,1:\varepsilon^{+});\;\mathrm{avail}\;\Xi_{0,3}",3,"\Delta_{0,5}\mid \Gamma_{0,3}","\Lambda_{0,5}\mid \Gamma_{0,3}"
right word,\Delta_{2},\bigl(\Psi_{3}\;\Gamma_{5}\;\Phi_{1}\bigr)\;\bigl(\Phi_{3}\;\Delta_{2}\;\Xi_{1}\bigr),"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Delta_{2,3}",6,"\Pi_{2,2}\mid \Delta_{4,1}","\Pi_{2,2}\mid \Sigma_{4,1}"
right word,\Delta_{2},\bigl(\Phi_{3}\;\Sigma_{2}\;\Phi_{1}\bigr)\;\bigl(\Phi_{3}\;\Delta_{2}\;\Xi_{1}\bigr),"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Delta_{2,3}",4,"\Phi_{0,3}\mid \Delta_{4,1}","\Phi_{0,3}\mid \Sigma_{4,1}"
right word,\Gamma_{3},\bigl(\Delta_{4}\;\Sigma_{0}\;\Psi_{0}\bigr)\;\bigl(\Sigma_{4}\;\Gamma_{3}\bigr),"need\;(\delta^{-},\,1:\theta^{-});\;\mathrm{avail}\;\Gamma_{3,3},\;\Gamma_{3,5}",18,"\Pi_{2,4}\mid \Delta_{4,3}","\Pi_{2,4}\mid \Lambda_{4,3}"
right word,\Gamma_{3},\bigl(\Gamma_{1}\;\Delta_{0}\;\Psi_{0}\bigr)\;\bigl(\Sigma_{4}\;\Gamma_{3}\bigr),"need\;(\delta^{-},\,1:\theta^{-});\;\mathrm{avail}\;\Gamma_{3,3},\;\Gamma_{3,5}",12,"\Phi_{0,5}\mid \Delta_{4,3}","\Phi_{0,5}\mid \Lambda_{4,3}"
right word,\Gamma_{3},\bigl(\Phi_{4}\;\Sigma_{5}\;\Phi_{0}\bigr)\;\bigl(\Sigma_{4}\;\Gamma_{3}\bigr),"need\;(\delta^{-},\,1:\theta^{-});\;\mathrm{avail}\;\Gamma_{3,3},\;\Gamma_{3,5}",3,"\Delta_{3,3}\mid \Gamma_{4,3}","\Lambda_{3,3}\mid \Gamma_{4,3}"
right word,\Gamma_{3},\bigl(\Phi_{4}\;\Gamma_{2}\;\Psi_{0}\bigr)\;\bigl(\Sigma_{4}\;\Gamma_{3}\bigr),"need\;(\delta^{-},\,1:\theta^{-});\;\mathrm{avail}\;\Gamma_{3,3},\;\Gamma_{3,5}",2,"\Pi_{5,4}\mid \Theta_{4,5}","\Pi_{5,4}\mid \Xi_{4,5}"
right word,\Gamma_{4},\bigl(\Sigma_{4}\;\Gamma_{3}\bigr)\;\bigl(\Pi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr),"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{4,3}",14,"\Gamma_{4,3}\mid \Theta_{3,2}","\Gamma_{4,3}\mid \Xi_{3,2}"
right word,\Gamma_{4},\bigl(\Gamma_{0}\;\Sigma_{1}\bigr)\;\bigl(\Psi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr),"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{4,3}",12,"\Delta_{1,1}\mid \Phi_{3,2}","\Delta_{1,1}\mid \Psi_{3,2}"
right word,\Gamma_{4},\bigl(\Delta_{3}\;\Gamma_{4}\bigr)\;\bigl(\Xi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr),"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{4,3}",3,"\Gamma_{3,3}\mid \Delta_{3,1}","\Gamma_{3,3}\mid \Lambda_{3,1}"
right word,\Gamma_{4},\bigl(\Pi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr)\;\bigl(\Xi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr),"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{4,3}",3,"\Xi_{3,2}\mid \Delta_{3,1}","\Xi_{3,2}\mid \Lambda_{3,1}"
right word,\Gamma_{4},\bigl(\Psi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr)\;\bigl(\Xi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr),"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{4,3}",3,"\Psi_{3,2}\mid \Delta_{3,1}","\Psi_{3,2}\mid \Lambda_{3,1}"
right word,\Gamma_{4},\bigl(\Sigma_{4}\;\Gamma_{3}\bigr)\;\bigl(\Delta_{3}\;\Gamma_{4}\bigr),"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{4,3}",1,"\Sigma_{4,3}\mid \Gamma_{3,3}",
right word,\Gamma_{5},\bigl(\Sigma_{4}\;\Gamma_{3}\bigr)\;\bigl(\Pi_{3}\;\Gamma_{5}\;\Phi_{1}\bigr),"need\;(\alpha^{+},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{5,3}",7,"\Gamma_{4,3}\mid \Gamma_{2,2}","\Lambda_{4,3}\mid \Gamma_{2,2}"
right word,\Gamma_{5},\bigl(\Pi_{3}\;\Sigma_{3}\;\Delta_{1}\bigr)\;\bigl(\Psi_{3}\;\Gamma_{5}\;\Phi_{1}\bigr),"need\;(\alpha^{+},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{5,3}",4,"\Phi_{5,2}\mid \Psi_{2,2}","\Phi_{5,2}\mid \Xi_{2,2}"
right word,\Gamma_{5},\bigl(\Psi_{3}\;\Sigma_{3}\;\Delta_{1}\bigr)\;\bigl(\Psi_{3}\;\Gamma_{5}\;\Phi_{1}\bigr),"need\;(\alpha^{+},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{5,3}",4,"\Psi_{5,2}\mid \Psi_{2,2}","\Psi_{5,2}\mid \Xi_{2,2}"
right word,\Gamma_{5},\bigl(\Gamma_{0}\;\Sigma_{1}\bigr)\;\bigl(\Psi_{3}\;\Gamma_{5}\;\Phi_{1}\bigr),"need\;(\alpha^{+},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{5,3}",2,"\Theta_{1,1}\mid \Pi_{2,2}","\Xi_{1,1}\mid \Pi_{2,2}"
right word,\Sigma_{0},\bigl(\Phi_{4}\;\Sigma_{5}\;\Phi_{0}\bigr)\;\bigl(\Delta_{4}\;\Sigma_{0}\;\Pi_{0}\bigr),"need\;(\zeta^{+},\,1:\theta^{-});\;\mathrm{avail}\;\Sigma_{0,3}",6,"\Delta_{3,3}\mid \Delta_{2,3}","\Delta_{3,3}\mid \Sigma_{2,3}"
right word,\Sigma_{0},\bigl(\Phi_{4}\;\Gamma_{2}\;\Psi_{0}\bigr)\;\bigl(\Delta_{4}\;\Sigma_{0}\;\Pi_{0}\bigr),"need\;(\zeta^{+},\,1:\theta^{-});\;\mathrm{avail}\;\Sigma_{0,3}",4,"\Psi_{5,4}\mid \Phi_{2,4}","\Psi_{5,4}\mid \Theta_{2,4}"
right word,\Sigma_{0},\bigl(\Phi_{4}\;\Gamma_{2}\;\Psi_{0}\bigr)\;\bigl(\Delta_{4}\;\Sigma_{0}\;\Psi_{0}\bigr),"need\;(\zeta^{+},\,1:\theta^{-});\;\mathrm{avail}\;\Sigma_{0,3}",4,"\Psi_{5,4}\mid \Psi_{2,4}","\Psi_{5,4}\mid \Xi_{2,4}"
right word,\Sigma_{1},\bigl(\Delta_{4}\;\Sigma_{0}\;\Pi_{0}\bigr)\;\bigl(\Gamma_{0}\;\Sigma_{1}\bigr),"need\;(\delta^{+},\,1:\theta^{-});\;\mathrm{avail}\;\Sigma_{1,3},\;\Sigma_{1,5}",35,"\Delta_{2,3}\mid \Gamma_{1,1}","\Delta_{2,3}\mid \Lambda_{1,1}"
right word,\Sigma_{1},\bigl(\Gamma_{1}\;\Delta_{0}\;\Pi_{0}\bigr)\;\bigl(\Gamma_{0}\;\Sigma_{1}\bigr),"need\;(\delta^{+},\,1:\theta^{-});\;\mathrm{avail}\;\Sigma_{1,3},\;\Sigma_{1,5}",14,"\Theta_{0,5}\mid \Gamma_{1,1}","\Theta_{0,5}\mid \Lambda_{1,1}"
right word,\Sigma_{1},\bigl(\Phi_{4}\;\Gamma_{2}\;\Pi_{0}\bigr)\;\bigl(\Gamma_{0}\;\Sigma_{1}\bigr),"need\;(\delta^{+},\,1:\theta^{-});\;\mathrm{avail}\;\Sigma_{1,3},\;\Sigma_{1,5}",7,"\Gamma_{5,3}\mid \Gamma_{1,1}","\Gamma_{5,3}\mid \Lambda_{1,1}"
