parent,n,m,entry_super,entry,entry_len,word_json,exit_n,exit_m,exit_super,exit,exit_len
Gamma,0,1,alpha-,epsilon+,3,"[[""Phi"",3],[""Sigma"",2],[""Theta"",1]]",3,5,delta-,theta+,5
Gamma,0,3,alpha-,beta-,3,"[[""Gamma"",1],[""Delta"",0]]",3,3,delta-,alpha+,5
Gamma,1,1,beta-,alpha-,2,"[[""Gamma"",0],[""Sigma"",1]]",4,3,gamma-,epsilon-,5
Gamma,2,2,beta+,alpha+,2,"[[""Pi"",3],[""Gamma"",5],[""Phi"",1]]",5,3,alpha+,epsilon-,3
Gamma,3,3,delta-,alpha+,5,"[[""Delta"",3],[""Gamma"",4]]",0,3,alpha-,beta-,3
Gamma,3,5,delta-,theta+,5,"[[""Theta"",4],[""Sigma"",5],[""Phi"",0]]",0,1,alpha-,epsilon+,3
Gamma,4,3,gamma-,epsilon-,5,"[[""Sigma"",4],[""Gamma"",3]]",1,1,beta-,alpha-,2
Gamma,5,3,alpha+,epsilon-,3,"[[""Phi"",4],[""Gamma"",2],[""Pi"",0]]",2,2,beta+,alpha+,2
Delta,0,3,gamma+,epsilon+,5,"[[""Phi"",3],[""Sigma"",2],[""Phi"",1]]",3,3,alpha+,epsilon-,3
Delta,0,5,gamma+,beta-,5,"[[""Gamma"",1],[""Delta"",0],[""Xi"",0]]",3,1,alpha+,beta+,3
Delta,1,1,zeta-,alpha-,3,"[[""Gamma"",0],[""Sigma"",1]]",4,3,epsilon-,epsilon-,4
Delta,1,3,zeta-,theta+,3,"[[""Xi"",4],[""Delta"",5],[""Phi"",0]]",4,1,epsilon-,epsilon+,4
Delta,2,3,gamma-,epsilon-,5,"[[""Delta"",4],[""Sigma"",0],[""Pi"",0]]",5,2,beta+,alpha+,2
Delta,3,1,alpha+,beta+,3,"[[""Xi"",3],[""Delta"",3],[""Gamma"",4]]",0,5,gamma+,beta-,5
Delta,3,3,alpha+,epsilon-,3,"[[""Phi"",4],[""Sigma"",5],[""Phi"",0]]",0,3,gamma+,epsilon+,5
Delta,4,1,epsilon-,epsilon+,4,"[[""Phi"",3],[""Delta"",2],[""Xi"",1]]",1,3,zeta-,theta+,3
Delta,4,3,epsilon-,epsilon-,4,"[[""Sigma"",4],[""Gamma"",3]]",1,1,zeta-,alpha-,3
Delta,5,2,beta+,alpha+,2,"[[""Pi"",3],[""Sigma"",3],[""Delta"",1]]",2,3,gamma-,epsilon-,5
Theta,0,5,gamma+,beta-,5,"[[""Gamma"",1],[""Delta"",0],[""Pi"",0]]",3,2,beta+,alpha+,2
Theta,1,1,beta-,alpha-,2,"[[""Gamma"",0],[""Sigma"",1]]",4,5,theta+,epsilon-,6
Theta,2,4,eta,epsilon-,5,"[[""Delta"",4],[""Sigma"",0],[""Pi"",0]]",5,2,beta+,alpha+,2
Theta,3,2,beta+,alpha+,2,"[[""Pi"",3],[""Delta"",3],[""Gamma"",4]]",0,5,gamma+,beta-,5
Theta,4,5,theta+,epsilon-,6,"[[""Sigma"",4],[""Gamma"",3]]",1,1,beta-,alpha-,2
Theta,5,2,beta+,alpha+,2,"[[""Pi"",3],[""Sigma"",3],[""Delta"",1]]",2,4,eta,epsilon-,5
Lambda,0,3,gamma+,epsilon+,5,"[[""Phi"",3],[""Sigma"",2],[""Phi"",1]]",3,3,alpha+,epsilon-,3
Lambda,0,5,gamma+,beta-,5,"[[""Gamma"",1],[""Delta"",0],[""Xi"",0]]",3,1,alpha+,beta+,3
Lambda,1,1,beta-,alpha-,2,"[[""Gamma"",0],[""Sigma"",1]]",4,3,epsilon-,epsilon-,4
Lambda,2,4,theta-,epsilon-,6,"[[""Delta"",4],[""Sigma"",0],[""Pi"",0]]",5,2,beta+,alpha+,2
Lambda,3,1,alpha+,beta+,3,"[[""Xi"",3],[""Delta"",3],[""Gamma"",4]]",0,5,gamma+,beta-,5
Lambda,3,3,alpha+,epsilon-,3,"[[""Phi"",4],[""Sigma"",5],[""Phi"",0]]",0,3,gamma+,epsilon+,5
Lambda,4,3,epsilon-,epsilon-,4,"[[""Sigma"",4],[""Gamma"",3]]",1,1,beta-,alpha-,2
Lambda,5,2,beta+,alpha+,2,"[[""Pi"",3],[""Sigma"",3],[""Delta"",1]]",2,4,theta-,epsilon-,6
Xi,0,3,alpha-,beta-,3,"[[""Gamma"",1],[""Delta"",0],[""Pi"",0]]",3,2,beta+,alpha+,2
Xi,1,1,beta-,alpha-,2,"[[""Gamma"",0],[""Sigma"",1]]",4,5,theta+,epsilon-,6
Xi,2,2,eta,epsilon+,5,"[[""Psi"",3],[""Gamma"",5],[""Phi"",1]]",5,4,epsilon+,epsilon-,4
Xi,2,4,eta,epsilon-,5,"[[""Delta"",4],[""Sigma"",0],[""Psi"",0]]",5,2,epsilon+,epsilon+,4
Xi,3,2,beta+,alpha+,2,"[[""Pi"",3],[""Delta"",3],[""Gamma"",4]]",0,3,alpha-,beta-,3
Xi,4,5,theta+,epsilon-,6,"[[""Sigma"",4],[""Gamma"",3]]",1,1,beta-,alpha-,2
Xi,5,2,epsilon+,epsilon+,4,"[[""Psi"",3],[""Sigma"",3],[""Delta"",1]]",2,4,eta,epsilon-,5
Xi,5,4,epsilon+,epsilon-,4,"[[""Phi"",4],[""Gamma"",2],[""Psi"",0]]",2,2,eta,epsilon+,5
Pi,0,1,alpha-,epsilon+,3,"[[""Phi"",3],[""Sigma"",2],[""Phi"",1]]",3,3,alpha+,epsilon-,3
