q,r,label
0,-88,H.1
1,-88,H.2
4,-88,H.2
12,-88,H.2
33,-88,H.2
88,-88,H.2
0,-87,D.4
1,-87,H.3
2,-87,H.1
3,-87,D.5
4,-87,H.3
10,-87,H.1
11,-87,D.5
12,-87,H.3
31,-87,H.1
32,-87,D.5
33,-87,H.3
86,-87,H.1
87,-87,D.5
88,-87,H.3
-1,-86,H.0
0,-86,D.1
1,-86,H.0
2,-86,D.2
3,-86,H.4
9,-86,H.0
10,-86,D.2
11,-86,H.4
30,-86,H.0
31,-86,D.2
32,-86,H.4
85,-86,H.0
86,-86,D.2
87,-86,H.4
-1,-85,H.5
0,-85,H.1
1,-85,H.2
2,-85,H.1
3,-85,H.2
5,-85,H.1
6,-85,H.2
9,-85,H.2
10,-85,H.1
11,-85,H.2
26,-85,H.1
27,-85,H.2
30,-85,H.2
31,-85,H.1
32,-85,H.2
81,-85,H.1
82,-85,H.2
85,-85,H.2
86,-85,H.1
87,-85,H.2
0,-84,D.4
1,-84,H.3
2,-84,D.3
3,-84,D.0
4,-84,H.3
5,-84,D.4
6,-84,H.3
7,-84,H.1
8,-84,D.5
9,-84,H.3
10,-84,D.3
11,-84,D.0
12,-84,H.3
26,-84,D.4
27,-84,H.3
28,-84,H.1
29,-84,D.5
30,-84,H.3
31,-84,D.3
32,-84,D.0
33,-84,H.3
81,-84,D.4
82,-84,H.3
83,-84,H.1
84,-84,D.5
85,-84,H.3
86,-84,D.3
87,-84,D.0
88,-84,H.3
-1,-83,H.0
0,-83,D.1
1,-83,H.2
2,-83,H.5
3,-83,H.4
4,-83,H.0
5,-83,D.1
6,-83,H.0
7,-83,D.2
8,-83,H.4
9,-83,H.2
10,-83,H.5
11,-83,H.4
25,-83,H.0
26,-83,D.1
27,-83,H.0
28,-83,D.2
29,-83,H.4
30,-83,H.2
31,-83,H.5
32,-83,H.4
80,-83,H.0
81,-83,D.1
82,-83,H.0
83,-83,D.2
84,-83,H.4
85,-83,H.2
86,-83,H.5
87,-83,H.4
-3,-82,H.1
-2,-82,H.2
-1,-82,H.5
0,-82,D.4
1,-82,H.3
2,-82,H.1
3,-82,H.2
4,-82,H.5
5,-82,H.1
6,-82,D.5
7,-82,H.3
8,-82,D.4
9,-82,H.3
23,-82,H.1
24,-82,H.2
25,-82,H.5
26,-82,H.1
27,-82,D.5
28,-82,H.3
29,-82,D.4
30,-82,H.3
78,-82,H.1
79,-82,H.2
80,-82,H.5
81,-82,H.1
82,-82,D.5
83,-82,H.3
84,-82,D.4
85,-82,H.3
-4,-81,H.0
-3,-81,D.3
-2,-81,D.0
-1,-81,H.0
0,-81,D.1
1,-81,H.0
2,-81,D.3
3,-81,D.0
4,-81,H.0
5,-81,D.2
6,-81,H.4
7,-81,H.0
8,-81,D.1
22,-81,H.0
23,-81,D.3
24,-81,D.0
25,-81,H.0
