keep_mask,binary,keep_count,drop_count,kept_slots,dropped_slots
0,000000,0,6,,E NE NW W SW SE
1,000001,1,5,E,NE NW W SW SE
2,000010,1,5,NE,E NW W SW SE
3,000011,2,4,E NE,NW W SW SE
4,000100,1,5,NW,E NE W SW SE
5,000101,2,4,E NW,NE W SW SE
6,000110,2,4,NE NW,E W SW SE
7,000111,3,3,E NE NW,W SW SE
8,001000,1,5,W,E NE NW SW SE
9,001001,2,4,E W,NE NW SW SE
10,001010,2,4,NE W,E NW SW SE
11,001011,3,3,E NE W,NW SW SE
12,001100,2,4,NW W,E NE SW SE
13,001101,3,3,E NW W,NE SW SE
14,001110,3,3,NE NW W,E SW SE
15,001111,4,2,E NE NW W,SW SE
16,010000,1,5,SW,E NE NW W SE
17,010001,2,4,E SW,NE NW W SE
18,010010,2,4,NE SW,E NW W SE
19,010011,3,3,E NE SW,NW W SE
20,010100,2,4,NW SW,E NE W SE
21,010101,3,3,E NW SW,NE W SE
22,010110,3,3,NE NW SW,E W SE
23,010111,4,2,E NE NW SW,W SE
24,011000,2,4,W SW,E NE NW SE
25,011001,3,3,E W SW,NE NW SE
26,011010,3,3,NE W SW,E NW SE
27,011011,4,2,E NE W SW,NW SE
28,011100,3,3,NW W SW,E NE SE
29,011101,4,2,E NW W SW,NE SE
30,011110,4,2,NE NW W SW,E SE
31,011111,5,1,E NE NW W SW,SE
32,100000,1,5,SE,E NE NW W SW
33,100001,2,4,E SE,NE NW W SW
34,100010,2,4,NE SE,E NW W SW
35,100011,3,3,E NE SE,NW W SW
36,100100,2,4,NW SE,E NE W SW
37,100101,3,3,E NW SE,NE W SW
38,100110,3,3,NE NW SE,E W SW
39,100111,4,2,E NE NW SE,W SW
40,101000,2,4,W SE,E NE NW SW
41,101001,3,3,E W SE,NE NW SW
42,101010,3,3,NE W SE,E NW SW
43,101011,4,2,E NE W SE,NW SW
44,101100,3,3,NW W SE,E NE SW
45,101101,4,2,E NW W SE,NE SW
46,101110,4,2,NE NW W SE,E SW
47,101111,5,1,E NE NW W SE,SW
48,110000,2,4,SW SE,E NE NW W
49,110001,3,3,E SW SE,NE NW W
50,110010,3,3,NE SW SE,E NW W
51,110011,4,2,E NE SW SE,NW W
52,110100,3,3,NW SW SE,E NE W
53,110101,4,2,E NW SW SE,NE W
54,110110,4,2,NE NW SW SE,E W
55,110111,5,1,E NE NW SW SE,W
56,111000,3,3,W SW SE,E NE NW
57,111001,4,2,E W SW SE,NE NW
58,111010,4,2,NE W SW SE,E NW
59,111011,5,1,E NE W SW SE,NW
60,111100,4,2,NW W SW SE,E NE
61,111101,5,1,E NW W SW SE,NE
62,111110,5,1,NE NW W SW SE,E
63,111111,6,0,E NE NW W SW SE,
