row_id,center,E,NE,NW,W,SW,SE,occurrences
0,D.0,D.3,H.4,H.5,D.3,H.2,H.1,256
1,D.0,H.0,H.4,H.5,D.3,H.2,H.5,754
2,D.0,H.2,H.1,D.3,H.4,H.5,D.3,256
3,D.0,H.2,H.5,H.0,H.4,H.5,D.3,754
4,D.0,H.2,H.5,H.3,H.4,H.5,D.3,612
5,D.0,H.3,H.4,H.5,D.3,H.2,H.5,612
6,D.0,H.5,D.3,H.2,H.1,D.3,H.4,256
7,D.0,H.5,D.3,H.2,H.5,H.0,H.4,754
8,D.0,H.5,D.3,H.2,H.5,H.3,H.4,612
9,H.0,D.1,H.5,H.2,H.4,H.3,D.4,1244
10,H.0,D.1,H.5,H.4,D.0,H.5,D.4,256
11,H.0,D.2,D.5,H.1,D.1,H.3,H.1,256
12,H.0,D.2,H.2,H.1,D.1,H.3,H.1,388
13,H.0,D.2,H.2,H.4,D.0,H.5,H.1,128
14,H.0,D.2,H.2,H.4,D.1,H.3,H.1,200
15,H.0,D.2,H.5,H.2,H.4,H.3,H.1,412
16,H.0,D.2,H.5,H.4,D.0,H.5,H.1,128
17,H.0,D.2,H.5,H.4,D.1,H.3,H.1,110
18,H.0,D.3,H.2,H.1,D.1,H.3,H.1,110
19,H.0,D.3,H.2,H.4,D.0,H.5,H.1,200
20,H.0,D.3,H.2,H.4,D.1,H.3,H.1,270
21,H.0,H.1,D.1,H.3,H.1,D.2,D.5,256
22,H.0,H.1,D.1,H.3,H.1,D.2,H.2,388
23,H.0,H.1,D.1,H.3,H.1,D.3,H.2,110
24,H.0,H.2,H.4,H.3,D.4,D.1,H.5,1244
25,H.0,H.2,H.4,H.3,H.1,D.2,H.5,412
26,H.0,H.3,D.4,D.1,H.5,H.2,H.4,1244
27,H.0,H.3,H.1,D.2,D.5,H.1,D.1,256
28,H.0,H.3,H.1,D.2,H.2,H.1,D.1,388
29,H.0,H.3,H.1,D.2,H.2,H.4,D.1,200
30,H.0,H.3,H.1,D.2,H.5,H.2,H.4,412
31,H.0,H.3,H.1,D.2,H.5,H.4,D.1,110
32,H.0,H.3,H.1,D.3,H.2,H.1,D.1,110
33,H.0,H.3,H.1,D.3,H.2,H.4,D.1,270
34,H.0,H.4,D.0,H.5,D.4,D.1,H.5,256
35,H.0,H.4,D.0,H.5,H.1,D.2,H.2,128
36,H.0,H.4,D.0,H.5,H.1,D.2,H.5,128
37,H.0,H.4,D.0,H.5,H.1,D.3,H.2,200
38,H.0,H.4,D.1,H.3,H.1,D.2,H.2,200
39,H.0,H.4,D.1,H.3,H.1,D.2,H.5,110
40,H.0,H.4,D.1,H.3,H.1,D.3,H.2,270
41,H.0,H.5,D.4,D.1,H.5,H.4,D.0,256
42,H.0,H.5,H.1,D.2,H.2,H.4,D.0,128
43,H.0,H.5,H.1,D.2,H.5,H.4,D.0,128
44,H.0,H.5,H.1,D.3,H.2,H.4,D.0,200
