bit_index,row_id,keep_mask,output
3,0,3,D.4
5,0,5,D.3
6,0,6,D.3
7,0,7,D.3
8,0,8,D.2
9,0,9,D.5
10,0,10,D.2
11,0,11,D.2
12,0,12,D.2
13,0,13,D.2
14,0,14,D.2
15,0,15,D.2
17,0,17,D.5
18,0,18,D.4
19,0,19,D.4
20,0,20,D.1
21,0,21,D.1
22,0,22,D.1
23,0,23,D.1
24,0,24,D.1
25,0,25,D.5
26,0,26,D.1
27,0,27,D.4
28,0,28,D.1
29,0,29,D.1
30,0,30,D.1
31,0,31,D.1
34,0,34,D.4
35,0,35,D.4
36,0,36,D.3
37,0,37,D.3
38,0,38,D.3
39,0,39,D.3
40,0,40,D.0
41,0,41,D.5
42,0,42,D.4
43,0,43,D.4
44,0,44,D.0
45,0,45,D.2
46,0,46,D.2
47,0,47,D.2
48,0,48,D.0
49,0,49,D.5
50,0,50,D.4
51,0,51,D.4
52,0,52,D.0
53,0,53,D.5
54,0,54,D.0
55,0,55,D.3
56,0,56,D.0
57,0,57,D.5
58,0,58,D.4
59,0,59,D.4
60,0,60,D.0
61,0,61,D.5
62,0,62,D.0
63,0,63,D.3
65,1,1,D.5
67,1,3,D.4
69,1,5,D.3
70,1,6,D.3
71,1,7,D.3
72,1,8,D.2
73,1,9,D.5
74,1,10,D.2
75,1,11,D.2
76,1,12,D.2
77,1,13,D.2
78,1,14,D.2
79,1,15,D.2
81,1,17,D.5
82,1,18,D.4
83,1,19,D.4
84,1,20,D.1
85,1,21,D.1
86,1,22,D.1
87,1,23,D.1
88,1,24,D.1
89,1,25,D.5
90,1,26,D.1
91,1,27,D.4
92,1,28,D.1
93,1,29,D.1
94,1,30,D.1
95,1,31,D.1
97,1,33,D.5
99,1,35,D.4
101,1,37,D.3
102,1,38,D.3
103,1,39,D.3
104,1,40,D.0
105,1,41,D.5
106,1,42,D.4
107,1,43,D.4
108,1,44,D.0
109,1,45,D.2
110,1,46,D.2
111,1,47,D.2
112,1,48,D.0
113,1,49,D.5
114,1,50,D.4
115,1,51,D.4
116,1,52,D.0
117,1,53,D.5
118,1,54,D.0
119,1,55,D.3
120,1,56,D.0
121,1,57,D.5
122,1,58,D.4
123,1,59,D.4
124,1,60,D.0
125,1,61,D.5
126,1,62,D.0
127,1,63,D.3
131,2,3,D.4
133,2,5,D.3
135,2,7,D.3
137,2,9,D.5
138,2,10,D.2
139,2,11,D.2
140,2,12,D.2
141,2,13,D.2
142,2,14,D.2
143,2,15,D.2
145,2,17,D.5
146,2,18,D.1
147,2,19,D.4
148,2,20,D.1
149,2,21,D.5
150,2,22,D.1
151,2,23,D.3
152,2,24,D.1
153,2,25,D.5
154,2,26,D.1
155,2,27,D.4
156,2,28,D.1
157,2,29,D.5
158,2,30,D.1
159,2,31,D.1
160,2,32,D.0
161,2,33,D.5
162,2,34,D.4
163,2,35,D.4
164,2,36,D.3
165,2,37,D.3
166,2,38,D.3
167,2,39,D.3
168,2,40,D.0
169,2,41,D.5
170,2,42,D.2
171,2,43,D.2
172,2,44,D.0
173,2,45,D.5
174,2,46,D.2
175,2,47,D.2
176,2,48,D.0
177,2,49,D.5
178,2,50,D.4
179,2,51,D.4
180,2,52,D.0
181,2,53,D.5
182,2,54,D.0
183,2,55,D.3
184,2,56,D.0
185,2,57,D.5
186,2,58,D.0
187,2,59,D.4
188,2,60,D.0
189,2,61,D.5
190,2,62,D.0
191,2,63,D.4
195,3,3,D.4
196,3,4,D.3
197,3,5,D.3
198,3,6,D.3
199,3,7,D.3
201,3,9,D.5
203,3,11,D.2
204,3,12,D.2
205,3,13,D.2
206,3,14,D.2
207,3,15,D.2
209,3,17,D.5
211,3,19,D.4
212,3,20,D.1
213,3,21,D.3
214,3,22,D.1
215,3,23,D.3
216,3,24,D.1
217,3,25,D.5
218,3,26,D.1
219,3,27,D.4
220,3,28,D.1
221,3,29,D.1
222,3,30,D.1
223,3,31,D.1
224,3,32,D.0
225,3,33,D.5
226,3,34,D.4
227,3,35,D.4
228,3,36,D.3
229,3,37,D.3
230,3,38,D.3
231,3,39,D.3
232,3,40,D.0
233,3,41,D.5
234,3,42,D.2
235,3,43,D.2
236,3,44,D.0
237,3,45,D.2
238,3,46,D.2
239,3,47,D.2
240,3,48,D.0
241,3,49,D.5
242,3,50,D.4
243,3,51,D.4
244,3,52,D.0
245,3,53,D.3
246,3,54,D.3
247,3,55,D.3
248,3,56,D.0
249,3,57,D.5
250,3,58,D.4
251,3,59,D.4
252,3,60,D.0
253,3,61,D.5
254,3,62,D.0
255,3,63,D.1
259,4,3,D.4
262,4,6,D.3
263,4,7,D.3
265,4,9,D.5
267,4,11,D.2
268,4,12,D.2
269,4,13,D.2
270,4,14,D.2
271,4,15,D.2
273,4,17,D.5
275,4,19,D.4
276,4,20,D.1
277,4,21,D.5
278,4,22,D.1
279,4,23,D.3
280,4,24,D.1
281,4,25,D.5
282,4,26,D.1
283,4,27,D.4
284,4,28,D.1
285,4,29,D.5
286,4,30,D.1
287,4,31,D.1
288,4,32,D.0
289,4,33,D.5
290,4,34,D.4
291,4,35,D.4
292,4,36,D.3
293,4,37,D.3
294,4,38,D.3
295,4,39,D.3
296,4,40,D.0
297,4,41,D.5
298,4,42,D.2
299,4,43,D.2
300,4,44,D.0
301,4,45,D.2
302,4,46,D.2
303,4,47,D.2
304,4,48,D.0
305,4,49,D.5
306,4,50,D.4
307,4,51,D.4
308,4,52,D.0
309,4,53,D.5
310,4,54,D.3
311,4,55,D.3
312,4,56,D.0
313,4,57,D.5
314,4,58,D.4
315,4,59,D.4
316,4,60,D.0
317,4,61,D.5
318,4,62,D.0
319,4,63,D.1
323,5,3,D.4
325,5,5,D.3
326,5,6,D.3
327,5,7,D.3
328,5,8,D.2
329,5,9,D.5
330,5,10,D.2
331,5,11,D.2
332,5,12,D.2
333,5,13,D.2
334,5,14,D.2
335,5,15,D.2
338,5,18,D.4
339,5,19,D.4
340,5,20,D.1
341,5,21,D.1
342,5,22,D.1
343,5,23,D.1
344,5,24,D.1
345,5,25,D.5
346,5,26,D.1
347,5,27,D.4
348,5,28,D.1
349,5,29,D.1
350,5,30,D.1
351,5,31,D.1
353,5,33,D.5
355,5,35,D.4
357,5,37,D.3
358,5,38,D.3
359,5,39,D.3
360,5,40,D.0
