bit_index,row_id,keep_mask,ambiguous_outputs
0,0,0,D.0|H.0
1,0,1,D.5|H.5
2,0,2,D.4|H.4
4,0,4,D.3|H.3
16,0,16,D.1|H.1
32,0,32,D.0|H.0
33,0,33,D.5|H.5
64,1,0,D.0|H.0
66,1,2,D.4|H.4
68,1,4,D.3|H.3
80,1,16,D.1|H.1
96,1,32,D.0|H.0
98,1,34,D.4|H.4
100,1,36,D.3|H.3
128,2,0,D.0|H.0
129,2,1,D.5|H.5
130,2,2,D.4|H.4
132,2,4,D.3|H.3
134,2,6,D.3|H.3
136,2,8,D.2|H.2
144,2,16,D.1|H.1
192,3,0,D.0|H.0
193,3,1,D.5|H.5
194,3,2,D.4|H.4
200,3,8,D.2|H.2
202,3,10,D.2|H.2
208,3,16,D.1|H.1
210,3,18,D.1|H.1
256,4,0,D.0|H.0
257,4,1,D.5|H.5
258,4,2,D.4|H.4
260,4,4,D.3|H.3
261,4,5,D.3|H.3
264,4,8,D.2|H.2
266,4,10,D.2|H.2
272,4,16,D.1|H.1
274,4,18,D.1|H.1
320,5,0,D.0|H.0
321,5,1,D.5|H.5
322,5,2,D.4|H.4
324,5,4,D.3|H.3
336,5,16,D.1|H.1
337,5,17,D.5|H.5
352,5,32,D.0|H.0
354,5,34,D.4|H.4
356,5,36,D.3|H.3
384,6,0,D.0|H.0
385,6,1,D.5|H.5
388,6,4,D.3|H.3
392,6,8,D.2|H.2
400,6,16,D.1|H.1
408,6,24,D.1|H.1
416,6,32,D.0|H.0
448,7,0,D.0|H.0
449,7,1,D.5|H.5
452,7,4,D.3|H.3
456,7,8,D.2|H.2
457,7,9,D.2|H.2
480,7,32,D.0|H.0
488,7,40,D.0|H.0
512,8,0,D.0|H.0
513,8,1,D.5|H.5
516,8,4,D.3|H.3
520,8,8,D.2|H.2
521,8,9,D.2|H.2
528,8,16,D.1|H.1
532,8,20,D.1|H.1
544,8,32,D.0|H.0
552,8,40,D.0|H.0
576,9,0,D.0|H.0
578,9,2,D.4|H.4
580,9,4,D.3|H.3
584,9,8,D.2|H.2
586,9,10,D.2|H.2
592,9,16,D.1|H.1
596,9,20,D.1|H.1
597,9,21,H.1|H.5
640,10,0,D.0|H.0
642,10,2,D.4|H.4
656,10,16,D.1|H.1
658,10,18,D.1|H.1
704,11,0,D.0|H.0
720,11,16,D.1|H.1
736,11,32,D.0|H.0
768,12,0,D.0|H.0
784,12,16,D.1|H.1
800,12,32,D.0|H.0
832,13,0,D.0|H.0
848,13,16,D.1|H.1
864,13,32,D.0|H.0
896,14,0,D.0|H.0
912,14,16,D.1|H.1
928,14,32,D.0|H.0
960,15,0,D.0|H.0
962,15,2,D.4|H.4
964,15,4,D.3|H.3
968,15,8,D.2|H.2
970,15,10,D.2|H.2
976,15,16,D.1|H.1
980,15,20,D.1|H.1
992,15,32,D.0|H.0
1024,16,0,D.0|H.0
1026,16,2,D.4|H.4
1040,16,16,D.1|H.1
1042,16,18,D.1|H.1
1056,16,32,D.0|H.0
1088,17,0,D.0|H.0
1090,17,2,D.4|H.4
1104,17,16,D.1|H.1
1120,17,32,D.0|H.0
1152,18,0,D.0|H.0
1153,18,1,D.5|H.5
1168,18,16,D.1|H.1
1184,18,32,D.0|H.0
1185,18,33,D.5|H.5
1216,19,0,D.0|H.0
1217,19,1,D.5|H.5
1232,19,16,D.1|H.1
1237,19,21,H.1|H.3
1248,19,32,D.0|H.0
1249,19,33,D.5|H.5
1280,20,0,D.0|H.0
1281,20,1,D.5|H.5
1296,20,16,D.1|H.1
1312,20,32,D.0|H.0
1313,20,33,D.5|H.5
1344,21,0,D.0|H.0
1348,21,4,D.3|H.3
1352,21,8,D.2|H.2
1408,22,0,D.0|H.0
1412,22,4,D.3|H.3
1416,22,8,D.2|H.2
1472,23,0,D.0|H.0
1476,23,4,D.3|H.3
1480,23,8,D.2|H.2
1488,23,16,D.1|H.1
1496,23,24,D.1|H.1
1536,24,0,D.0|H.0
1537,24,1,D.5|H.5
1538,24,2,D.4|H.4
1540,24,4,D.3|H.3
1541,24,5,D.3|H.3
1557,24,21,H.1|H.3
1568,24,32,D.0|H.0
1570,24,34,D.4|H.4
1600,25,0,D.0|H.0
1601,25,1,D.5|H.5
1602,25,2,D.4|H.4
1604,25,4,D.3|H.3
1605,25,5,D.3|H.3
1608,25,8,D.2|H.2
1632,25,32,D.0|H.0
1634,25,34,D.4|H.4
1664,26,0,D.0|H.0
1665,26,1,D.5|H.5
1672,26,8,D.2|H.2
1680,26,16,D.1|H.1
1681,26,17,D.5|H.5
1685,26,21,H.3|H.5
1696,26,32,D.0|H.0
1704,26,40,D.0|H.0
1728,27,0,D.0|H.0
1729,27,1,D.5|H.5
1730,27,2,D.4|H.4
1792,28,0,D.0|H.0
1793,28,1,D.5|H.5
1794,28,2,D.4|H.4
1856,29,0,D.0|H.0
1857,29,1,D.5|H.5
1858,29,2,D.4|H.4
1920,30,0,D.0|H.0
1921,30,1,D.5|H.5
1922,30,2,D.4|H.4
1928,30,8,D.2|H.2
1936,30,16,D.1|H.1
1937,30,17,D.5|H.5
1952,30,32,D.0|H.0
1960,30,40,D.0|H.0
1984,31,0,D.0|H.0
1985,31,1,D.5|H.5
1986,31,2,D.4|H.4
1992,31,8,D.2|H.2
2048,32,0,D.0|H.0
2049,32,1,D.5|H.5
2050,32,2,D.4|H.4
2052,32,4,D.3|H.3
2054,32,6,D.3|H.3
2112,33,0,D.0|H.0
2113,33,1,D.5|H.5
2114,33,2,D.4|H.4
2116,33,4,D.3|H.3
2118,33,6,D.3|H.3
2176,34,0,D.0|H.0
2180,34,4,D.3|H.3
2208,34,32,D.0|H.0
2212,34,36,D.3|H.3
2240,35,0,D.0|H.0
2244,35,4,D.3|H.3
2248,35,8,D.2|H.2
2304,36,0,D.0|H.0
2308,36,4,D.3|H.3
2312,36,8,D.2|H.2
2336,36,32,D.0|H.0
2340,36,36,D.3|H.3
2368,37,0,D.0|H.0
2372,37,4,D.3|H.3
2376,37,8,D.2|H.2
2384,37,16,D.1|H.1
2389,37,21,H.3|H.5
2392,37,24,D.1|H.1
2432,38,0,D.0|H.0
2436,38,4,D.3|H.3
2440,38,8,D.2|H.2
2496,39,0,D.0|H.0
2500,39,4,D.3|H.3
2504,39,8,D.2|H.2
2528,39,32,D.0|H.0
2560,40,0,D.0|H.0
2564,40,4,D.3|H.3
2568,40,8,D.2|H.2
2576,40,16,D.1|H.1
2584,40,24,D.1|H.1
2624,41,0,D.0|H.0
2625,41,1,D.5|H.5
2632,41,8,D.2|H.2
2633,41,9,D.2|H.2
2688,42,0,D.0|H.0
2689,42,1,D.5|H.5
2690,42,2,D.4|H.4
2752,43,0,D.0|H.0
2753,43,1,D.5|H.5
2754,43,2,D.4|H.4
2760,43,8,D.2|H.2
2761,43,9,D.2|H.2
2816,44,0,D.0|H.0
2817,44,1,D.5|H.5
2818,44,2,D.4|H.4
2820,44,4,D.3|H.3
2822,44,6,D.3|H.3
2837,44,21,H.1|H.5
