row_id,center,E,NE,NW,W,SW,SE,occurrences
0,D0.0,D1.3,H.4,H.5,D1.3,H.2,H.1,128
1,D0.0,H.0,H.4,H.5,D1.3,H.2,H.5,754
2,D0.0,H.2,H.1,D1.3,H.4,H.5,D1.3,128
3,D0.0,H.2,H.5,H.0,H.4,H.5,D1.3,754
4,D0.0,H.5,D1.3,H.2,H.1,D1.3,H.4,128
5,D0.0,H.5,D1.3,H.2,H.5,H.0,H.4,754
6,D1.0,D0.3,H.4,H.5,D0.3,H.2,H.1,128
7,D1.0,H.2,H.1,D0.3,H.4,H.5,D0.3,128
8,D1.0,H.2,H.5,H.3,H.4,H.5,D0.3,612
9,D1.0,H.3,H.4,H.5,D0.3,H.2,H.5,612
10,D1.0,H.5,D0.3,H.2,H.1,D0.3,H.4,128
11,D1.0,H.5,D0.3,H.2,H.5,H.3,H.4,612
12,H.0,D0.1,H.5,H.2,H.4,H.3,D1.4,594
13,H.0,D0.1,H.5,H.4,D0.0,H.5,D1.4,128
14,H.0,D0.2,D1.5,H.1,D0.1,H.3,H.1,128
15,H.0,D0.2,H.2,H.1,D0.1,H.3,H.1,388
16,H.0,D0.2,H.2,H.4,D0.0,H.5,H.1,128
17,H.0,D0.2,H.2,H.4,D1.1,H.3,H.1,200
18,H.0,D1.1,H.5,H.2,H.4,H.3,D0.4,650
19,H.0,D1.1,H.5,H.4,D0.0,H.5,D0.4,128
20,H.0,D1.2,D0.5,H.1,D0.1,H.3,H.1,128
21,H.0,D1.2,H.5,H.2,H.4,H.3,H.1,412
22,H.0,D1.2,H.5,H.4,D0.0,H.5,H.1,128
23,H.0,D1.2,H.5,H.4,D1.1,H.3,H.1,110
24,H.0,D1.3,H.2,H.1,D0.1,H.3,H.1,110
25,H.0,D1.3,H.2,H.4,D0.0,H.5,H.1,200
26,H.0,D1.3,H.2,H.4,D1.1,H.3,H.1,270
27,H.0,H.1,D0.1,H.3,H.1,D0.2,D1.5,128
28,H.0,H.1,D0.1,H.3,H.1,D0.2,H.2,388
29,H.0,H.1,D0.1,H.3,H.1,D1.2,D0.5,128
30,H.0,H.1,D0.1,H.3,H.1,D1.3,H.2,110
31,H.0,H.2,H.4,H.3,D0.4,D1.1,H.5,650
32,H.0,H.2,H.4,H.3,D1.4,D0.1,H.5,594
33,H.0,H.2,H.4,H.3,H.1,D1.2,H.5,412
34,H.0,H.3,D0.4,D1.1,H.5,H.2,H.4,650
35,H.0,H.3,D1.4,D0.1,H.5,H.2,H.4,594
36,H.0,H.3,H.1,D0.2,D1.5,H.1,D0.1,128
37,H.0,H.3,H.1,D0.2,H.2,H.1,D0.1,388
38,H.0,H.3,H.1,D0.2,H.2,H.4,D1.1,200
39,H.0,H.3,H.1,D1.2,D0.5,H.1,D0.1,128
40,H.0,H.3,H.1,D1.2,H.5,H.2,H.4,412
41,H.0,H.3,H.1,D1.2,H.5,H.4,D1.1,110
42,H.0,H.3,H.1,D1.3,H.2,H.1,D0.1,110
43,H.0,H.3,H.1,D1.3,H.2,H.4,D1.1,270
44,H.0,H.4,D0.0,H.5,D0.4,D1.1,H.5,128
45,H.0,H.4,D0.0,H.5,D1.4,D0.1,H.5,128
46,H.0,H.4,D0.0,H.5,H.1,D0.2,H.2,128
47,H.0,H.4,D0.0,H.5,H.1,D1.2,H.5,128
48,H.0,H.4,D0.0,H.5,H.1,D1.3,H.2,200
49,H.0,H.4,D1.1,H.3,H.1,D0.2,H.2,200
50,H.0,H.4,D1.1,H.3,H.1,D1.2,H.5,110
51,H.0,H.4,D1.1,H.3,H.1,D1.3,H.2,270
52,H.0,H.5,D0.4,D1.1,H.5,H.4,D0.0,128
53,H.0,H.5,D1.4,D0.1,H.5,H.4,D0.0,128
54,H.0,H.5,H.1,D0.2,H.2,H.4,D0.0,128
55,H.0,H.5,H.1,D1.2,H.5,H.4,D0.0,128
56,H.0,H.5,H.1,D1.3,H.2,H.4,D0.0,200
