bit_index,row_id,keep_mask,output
3,0,3,D0.4
5,0,5,D0.3
7,0,7,D0.3
8,0,8,D0.2
9,0,9,D0.5
10,0,10,D0.2
11,0,11,D0.2
12,0,12,D0.2
13,0,13,D0.2
14,0,14,D0.2
15,0,15,D0.2
17,0,17,D0.5
19,0,19,D0.4
21,0,21,D0.1
23,0,23,D0.1
24,0,24,D0.1
25,0,25,D0.5
26,0,26,D0.1
27,0,27,D0.4
28,0,28,D0.1
29,0,29,D0.1
30,0,30,D0.1
31,0,31,D0.1
35,0,35,D0.4
37,0,37,D0.3
39,0,39,D0.3
40,0,40,D0.0
41,0,41,D0.5
42,0,42,D0.4
43,0,43,D0.4
44,0,44,D0.0
45,0,45,D0.2
46,0,46,D0.2
47,0,47,D0.2
49,0,49,D0.5
51,0,51,D0.4
53,0,53,D0.5
55,0,55,D0.3
56,0,56,D0.0
57,0,57,D0.5
58,0,58,D0.4
59,0,59,D0.4
60,0,60,D0.0
61,0,61,D0.5
62,0,62,D0.0
63,0,63,D0.3
65,1,1,D0.5
67,1,3,D0.4
69,1,5,D0.3
71,1,7,D0.3
72,1,8,D0.2
73,1,9,D0.5
74,1,10,D0.2
75,1,11,D0.2
76,1,12,D0.2
77,1,13,D0.2
78,1,14,D0.2
79,1,15,D0.2
81,1,17,D0.5
83,1,19,D0.4
85,1,21,D0.1
87,1,23,D0.1
88,1,24,D0.1
89,1,25,D0.5
90,1,26,D0.1
91,1,27,D0.4
92,1,28,D0.1
93,1,29,D0.1
94,1,30,D0.1
95,1,31,D0.1
97,1,33,D0.5
99,1,35,D0.4
101,1,37,D0.3
103,1,39,D0.3
104,1,40,D0.0
105,1,41,D0.5
106,1,42,D0.4
107,1,43,D0.4
108,1,44,D0.0
109,1,45,D0.2
110,1,46,D0.2
111,1,47,D0.2
113,1,49,D0.5
115,1,51,D0.4
117,1,53,D0.5
119,1,55,D0.3
120,1,56,D0.0
121,1,57,D0.5
122,1,58,D0.4
