bit_index,output
3,D0.4
5,D0.3
7,D0.3
8,D0.2
9,D0.5
10,D0.2
11,D0.2
12,D0.2
13,D0.2
14,D0.2
15,D0.2
17,D0.5
19,D0.4
21,D0.1
23,D0.1
24,D0.1
25,D0.5
26,D0.1
27,D0.4
28,D0.1
29,D0.1
30,D0.1
31,D0.1
35,D0.4
37,D0.3
39,D0.3
40,D0.0
41,D0.5
42,D0.4
43,D0.4
44,D0.0
45,D0.2
46,D0.2
47,D0.2
49,D0.5
51,D0.4
53,D0.5
55,D0.3
56,D0.0
57,D0.5
58,D0.4
59,D0.4
60,D0.0
61,D0.5
62,D0.0
63,D0.3
65,D0.5
67,D0.4
69,D0.3
71,D0.3
72,D0.2
73,D0.5
74,D0.2
75,D0.2
76,D0.2
77,D0.2
78,D0.2
79,D0.2
81,D0.5
83,D0.4
85,D0.1
87,D0.1
88,D0.1
89,D0.5
90,D0.1
91,D0.4
92,D0.1
93,D0.1
94,D0.1
95,D0.1
97,D0.5
99,D0.4
101,D0.3
103,D0.3
104,D0.0
105,D0.5
106,D0.4
107,D0.4
108,D0.0
109,D0.2
110,D0.2
111,D0.2
113,D0.5
115,D0.4
117,D0.5
119,D0.3
120,D0.0
121,D0.5
122,D0.4
123,D0.4
124,D0.0
125,D0.5
126,D0.0
127,D0.3
133,D0.3
135,D0.3
140,D0.2
141,D0.2
142,D0.2
143,D0.2
148,D0.1
149,D0.5
150,D0.1
151,D0.3
156,D0.1
157,D0.5
158,D0.1
159,D0.1
160,D0.0
161,D0.5
162,D0.4
163,D0.4
164,D0.3
165,D0.3
166,D0.3
167,D0.3
168,D0.0
169,D0.5
170,D0.2
171,D0.2
172,D0.0
173,D0.5
174,D0.2
175,D0.2
176,D0.0
177,D0.5
178,D0.4
179,D0.4
180,D0.0
181,D0.5
182,D0.0
183,D0.3
184,D0.0
185,D0.5
186,D0.0
187,D0.4
188,D0.0
189,D0.5
190,D0.0
191,D0.4
196,D0.3
197,D0.3
198,D0.3
199,D0.3
204,D0.2
205,D0.2
206,D0.2
207,D0.2
212,D0.1
213,D0.3
214,D0.1
215,D0.3
220,D0.1
221,D0.1
222,D0.1
223,D0.1
224,D0.0
225,D0.5
226,D0.4
227,D0.4
228,D0.3
229,D0.3
230,D0.3
231,D0.3
232,D0.0
233,D0.5
234,D0.2
235,D0.2
236,D0.0
237,D0.2
238,D0.2
239,D0.2
240,D0.0
241,D0.5
242,D0.4
243,D0.4
244,D0.0
245,D0.3
246,D0.3
247,D0.3
248,D0.0
249,D0.5
250,D0.4
251,D0.4
252,D0.0
253,D0.5
254,D0.0
255,D0.1
258,D0.4
259,D0.4
262,D0.3
263,D0.3
266,D0.2
267,D0.2
270,D0.2
271,D0.2
273,D0.5
274,D0.4
275,D0.4
276,D0.1
277,D0.3
278,D0.1
279,D0.3
281,D0.5
282,D0.1
283,D0.1
284,D0.1
285,D0.1
286,D0.1
287,D0.1
290,D0.4
291,D0.4
294,D0.3
295,D0.3
298,D0.0
299,D0.2
302,D0.0
303,D0.2
304,D0.0
305,D0.5
306,D0.4
307,D0.4
308,D0.0
309,D0.3
310,D0.3
311,D0.3
312,D0.0
313,D0.5
314,D0.0
315,D0.4
316,D0.0
317,D0.5
318,D0.0
319,D0.5
322,D0.4
323,D0.4
326,D0.3
327,D0.3
330,D0.2
331,D0.2
334,D0.2
335,D0.2
336,D0.1
337,D0.5
338,D0.1
339,D0.4
340,D0.1
341,D0.1
342,D0.1
343,D0.1
344,D0.1
345,D0.5
346,D0.1
347,D0.1
348,D0.1
349,D0.1
350,D0.1
351,D0.1
354,D0.4
355,D0.4
358,D0.3
359,D0.3
362,D0.0
363,D0.2
366,D0.0
367,D0.2
368,D0.0
369,D0.5
370,D0.4
371,D0.4
372,D0.0
373,D0.5
374,D0.0
375,D0.3
376,D0.0
377,D0.5
378,D0.0
379,D0.4
380,D0.0
381,D0.5
382,D0.0
383,D0.5
385,D1.5
387,D1.4
389,D1.3
391,D1.3
392,D1.2
393,D1.5
394,D1.2
395,D1.2
396,D1.2
397,D1.2
398,D1.2
399,D1.2
401,D1.5
403,D1.4
405,D1.1
407,D1.1
408,D1.1
409,D1.5
410,D1.1
411,D1.4
412,D1.1
413,D1.1
414,D1.1
415,D1.1
417,D1.5
419,D1.4
421,D1.3
423,D1.3
424,D1.0
425,D1.5
426,D1.4
427,D1.4
428,D1.0
429,D1.2
430,D1.2
431,D1.2
433,D1.5
435,D1.4
437,D1.5
439,D1.3
440,D1.0
441,D1.5
442,D1.4
443,D1.4
444,D1.0
445,D1.5
446,D1.0
447,D1.3
452,D1.3
453,D1.3
454,D1.3
455,D1.3
460,D1.2
461,D1.2
462,D1.2
463,D1.2
468,D1.1
469,D1.5
470,D1.1
471,D1.3
476,D1.1
477,D1.5
478,D1.1
479,D1.1
480,D1.0
481,D1.5
482,D1.4
483,D1.4
484,D1.3
485,D1.3
486,D1.3
487,D1.3
488,D1.0
489,D1.5
490,D1.2
491,D1.2
492,D1.0
493,D1.5
494,D1.2
495,D1.2
496,D1.0
497,D1.5
498,D1.4
499,D1.4
500,D1.0
501,D1.5
502,D1.0
503,D1.3
504,D1.0
505,D1.5
506,D1.0
507,D1.4
508,D1.0
509,D1.5
510,D1.0
511,D1.4
518,D1.3
519,D1.3
524,D1.2
525,D1.2
526,D1.2
527,D1.2
532,D1.1
533,D1.5
534,D1.1
535,D1.3
540,D1.1
541,D1.5
542,D1.1
543,D1.1
544,D1.0
545,D1.5
546,D1.4
547,D1.4
548,D1.3
549,D1.3
550,D1.3
551,D1.3
552,D1.0
553,D1.5
554,D1.2
555,D1.2
556,D1.0
557,D1.2
558,D1.2
559,D1.2
560,D1.0
561,D1.5
562,D1.4
563,D1.4
564,D1.0
565,D1.5
566,D1.3
567,D1.3
568,D1.0
569,D1.5
570,D1.4
571,D1.4
572,D1.0
573,D1.5
574,D1.0
575,D1.1
579,D1.4
581,D1.3
583,D1.3
584,D1.2
585,D1.5
586,D1.2
587,D1.2
588,D1.2
589,D1.2
590,D1.2
591,D1.2
595,D1.4
597,D1.1
599,D1.1
600,D1.1
601,D1.5
602,D1.1
603,D1.4
604,D1.1
605,D1.1
606,D1.1
607,D1.1
609,D1.5
611,D1.4
613,D1.3
615,D1.3
616,D1.0
617,D1.5
618,D1.4
619,D1.4
620,D1.0
621,D1.2
622,D1.2
623,D1.2
625,D1.5
627,D1.4
629,D1.5
631,D1.3
632,D1.0
633,D1.5
634,D1.4
635,D1.4
636,D1.0
637,D1.5
638,D1.0
639,D1.3
642,D1.4
643,D1.4
646,D1.3
647,D1.3
650,D1.2
651,D1.2
654,D1.2
655,D1.2
656,D1.1
657,D1.5
658,D1.4
659,D1.4
660,D1.1
661,D1.3
662,D1.1
663,D1.3
664,D1.1
665,D1.5
666,D1.1
667,D1.1
668,D1.1
669,D1.1
670,D1.1
671,D1.1
674,D1.4
675,D1.4
678,D1.3
679,D1.3
682,D1.0
683,D1.2
686,D1.0
687,D1.2
688,D1.0
689,D1.5
690,D1.4
691,D1.4
692,D1.0
693,D1.3
694,D1.3
695,D1.3
696,D1.0
697,D1.5
698,D1.0
699,D1.4
700,D1.0
701,D1.5
702,D1.0
703,D1.5
706,D1.4
707,D1.4
710,D1.3
711,D1.3
714,D1.2
715,D1.2
718,D1.2
719,D1.2
721,D1.5
722,D1.1
723,D1.4
725,D1.3
726,D1.1
727,D1.3
728,D1.1
729,D1.5
730,D1.1
731,D1.1
732,D1.1
733,D1.1
734,D1.1
735,D1.1
738,D1.4
739,D1.4
742,D1.3
743,D1.3
746,D1.0
747,D1.2
750,D1.0
751,D1.2
752,D1.0
753,D1.5
754,D1.4
755,D1.4
756,D1.0
757,D1.3
758,D1.0
759,D1.3
760,D1.0
761,D1.5
762,D1.0
763,D1.4
764,D1.0
765,D1.5
766,D1.0
767,D1.5
769,H.5
771,H.4
773,H.3
774,H.3
775,H.3
777,H.2
779,H.2
780,H.2
781,H.2
782,H.2
783,H.2
785,H.5
786,H.1
787,H.4
789,H.1
790,H.1
791,H.1
792,H.1
793,H.5
794,H.1
795,H.1
796,H.1
797,H.1
798,H.1
799,H.1
800,H.0
801,H.5
802,H.4
803,H.4
804,H.3
805,H.3
806,H.3
807,H.3
808,H.0
809,H.5
810,H.2
811,H.2
812,H.0
813,H.2
814,H.2
815,H.2
816,H.0
817,H.5
818,H.4
819,H.4
820,H.0
821,H.3
822,H.3
823,H.3
824,H.0
825,H.5
826,H.4
827,H.4
828,H.0
829,H.5
830,H.0
831,H.0
833,H.5
835,H.4
836,H.3
837,H.3
838,H.3
839,H.3
840,H.2
841,H.2
842,H.2
843,H.2
844,H.2
845,H.2
846,H.2
847,H.2
849,H.5
851,H.4
852,H.1
853,H.1
854,H.1
855,H.1
856,H.1
857,H.5
858,H.1
859,H.1
860,H.1
861,H.1
862,H.1
863,H.1
864,H.0
865,H.5
866,H.4
867,H.4
868,H.3
869,H.3
870,H.3
871,H.3
872,H.0
873,H.5
874,H.4
875,H.4
876,H.0
877,H.2
878,H.2
879,H.2
880,H.0
881,H.5
882,H.4
883,H.4
884,H.0
885,H.3
886,H.3
887,H.3
888,H.0
889,H.5
890,H.4
891,H.4
892,H.0
893,H.5
894,H.0
895,H.0
897,H.5
898,H.4
