bit_index,row_id,keep_mask,ambiguous_outputs
0,0,0,D0.0|D1.0|H.0
1,0,1,D0.5|H.5
2,0,2,D0.4|D1.4|H.4
4,0,4,D0.3|D1.3|H.3
6,0,6,D0.3|D1.3
16,0,16,D0.1|D1.1|H.1
18,0,18,D0.4|D1.4
20,0,20,D0.1|D1.1
22,0,22,D0.1|D1.1
32,0,32,D0.0|D1.0|H.0
33,0,33,D0.5|H.5
34,0,34,D0.4|D1.4
36,0,36,D0.3|D1.3
38,0,38,D0.3|D1.3
48,0,48,D0.0|D1.0
50,0,50,D0.4|D1.4
52,0,52,D0.0|D1.0
54,0,54,D0.0|D1.0
64,1,0,D0.0|D1.0|H.0
66,1,2,D0.4|D1.4|H.4
68,1,4,D0.3|D1.3|H.3
70,1,6,D0.3|D1.3
80,1,16,D0.1|D1.1|H.1
82,1,18,D0.4|D1.4
84,1,20,D0.1|D1.1
86,1,22,D0.1|D1.1
96,1,32,D0.0|D1.0|H.0
98,1,34,D0.4|D1.4|H.4
100,1,36,D0.3|D1.3|H.3
102,1,38,D0.3|D1.3
112,1,48,D0.0|D1.0
114,1,50,D0.4|D1.4
116,1,52,D0.0|D1.0
118,1,54,D0.0|D1.0
128,2,0,D0.0|D1.0|H.0
129,2,1,D0.5|D1.5|H.5
130,2,2,D0.4|D1.4|H.4
131,2,3,D0.4|D1.4
132,2,4,D0.3|H.3
134,2,6,D0.3|H.3
136,2,8,D0.2|D1.2|H.2
137,2,9,D0.5|D1.5
138,2,10,D0.2|D1.2
139,2,11,D0.2|D1.2
144,2,16,D0.1|D1.1|H.1
145,2,17,D0.5|D1.5
146,2,18,D0.1|D1.1
147,2,19,D0.4|D1.4
152,2,24,D0.1|D1.1
153,2,25,D0.5|D1.5
154,2,26,D0.1|D1.1
155,2,27,D0.4|D1.4
192,3,0,D0.0|D1.0|H.0
193,3,1,D0.5|D1.5|H.5
194,3,2,D0.4|D1.4|H.4
195,3,3,D0.4|D1.4
200,3,8,D0.2|D1.2|H.2
201,3,9,D0.5|D1.5
202,3,10,D0.2|D1.2|H.2
203,3,11,D0.2|D1.2
208,3,16,D0.1|D1.1|H.1
209,3,17,D0.5|D1.5
210,3,18,D0.1|D1.1|H.1
211,3,19,D0.4|D1.4
216,3,24,D0.1|D1.1
217,3,25,D0.5|D1.5
218,3,26,D0.1|D1.1
219,3,27,D0.4|D1.4
256,4,0,D0.0|D1.0|H.0
257,4,1,D0.5|D1.5|H.5
260,4,4,D0.3|D1.3|H.3
261,4,5,D0.3|D1.3
264,4,8,D0.2|D1.2|H.2
265,4,9,D0.5|D1.5
268,4,12,D0.2|D1.2
269,4,13,D0.2|D1.2
272,4,16,D0.1|H.1
280,4,24,D0.1|H.1
288,4,32,D0.0|D1.0|H.0
289,4,33,D0.5|D1.5
292,4,36,D0.3|D1.3
293,4,37,D0.3|D1.3
296,4,40,D0.0|D1.0
297,4,41,D0.5|D1.5
300,4,44,D0.0|D1.0
301,4,45,D0.2|D1.2
320,5,0,D0.0|D1.0|H.0
321,5,1,D0.5|D1.5|H.5
324,5,4,D0.3|D1.3|H.3
325,5,5,D0.3|D1.3
328,5,8,D0.2|D1.2|H.2
329,5,9,D0.2|D1.2|H.2
332,5,12,D0.2|D1.2
333,5,13,D0.2|D1.2
352,5,32,D0.0|D1.0|H.0
353,5,33,D0.5|D1.5
356,5,36,D0.3|D1.3
357,5,37,D0.3|D1.3
360,5,40,D0.0|D1.0|H.0
361,5,41,D0.5|D1.5
364,5,44,D0.0|D1.0
365,5,45,D0.2|D1.2
384,6,0,D0.0|D1.0|H.0
386,6,2,D0.4|D1.4|H.4
388,6,4,D0.3|D1.3|H.3
390,6,6,D0.3|D1.3
400,6,16,D0.1|D1.1|H.1
402,6,18,D0.4|D1.4
404,6,20,D0.1|D1.1
406,6,22,D0.1|D1.1
416,6,32,D0.0|D1.0|H.0
418,6,34,D0.4|D1.4
420,6,36,D0.3|D1.3
422,6,38,D0.3|D1.3
432,6,48,D0.0|D1.0
434,6,50,D0.4|D1.4
436,6,52,D0.0|D1.0
438,6,54,D0.0|D1.0
448,7,0,D0.0|D1.0|H.0
449,7,1,D0.5|D1.5|H.5
450,7,2,D0.4|D1.4|H.4
451,7,3,D0.4|D1.4
456,7,8,D0.2|D1.2|H.2
457,7,9,D0.5|D1.5
458,7,10,D0.2|D1.2
459,7,11,D0.2|D1.2
464,7,16,D0.1|D1.1|H.1
465,7,17,D0.5|D1.5
466,7,18,D0.1|D1.1
467,7,19,D0.4|D1.4
472,7,24,D0.1|D1.1
473,7,25,D0.5|D1.5
474,7,26,D0.1|D1.1
475,7,27,D0.4|D1.4
512,8,0,D0.0|D1.0|H.0
513,8,1,D0.5|D1.5|H.5
514,8,2,D0.4|D1.4|H.4
515,8,3,D0.4|D1.4
516,8,4,D1.3|H.3
517,8,5,D1.3|H.3
520,8,8,D0.2|D1.2|H.2
521,8,9,D0.5|D1.5
522,8,10,D0.2|D1.2|H.2
523,8,11,D0.2|D1.2
528,8,16,D0.1|D1.1|H.1
529,8,17,D0.5|D1.5
530,8,18,D0.1|D1.1|H.1
531,8,19,D0.4|D1.4
536,8,24,D0.1|D1.1
537,8,25,D0.5|D1.5
538,8,26,D0.1|D1.1
539,8,27,D0.4|D1.4
576,9,0,D0.0|D1.0|H.0
577,9,1,D1.5|H.5
578,9,2,D0.4|D1.4|H.4
580,9,4,D0.3|D1.3|H.3
582,9,6,D0.3|D1.3
592,9,16,D0.1|D1.1|H.1
593,9,17,D1.5|H.5
594,9,18,D0.4|D1.4
596,9,20,D0.1|D1.1
598,9,22,D0.1|D1.1
608,9,32,D0.0|D1.0|H.0
610,9,34,D0.4|D1.4|H.4
612,9,36,D0.3|D1.3|H.3
614,9,38,D0.3|D1.3
624,9,48,D0.0|D1.0
626,9,50,D0.4|D1.4
628,9,52,D0.0|D1.0
630,9,54,D0.0|D1.0
640,10,0,D0.0|D1.0|H.0
641,10,1,D0.5|D1.5|H.5
644,10,4,D0.3|D1.3|H.3
645,10,5,D0.3|D1.3
648,10,8,D0.2|D1.2|H.2
649,10,9,D0.5|D1.5
652,10,12,D0.2|D1.2
653,10,13,D0.2|D1.2
672,10,32,D0.0|D1.0|H.0
673,10,33,D0.5|D1.5
676,10,36,D0.3|D1.3
677,10,37,D0.3|D1.3
680,10,40,D0.0|D1.0
681,10,41,D0.5|D1.5
684,10,44,D0.0|D1.0
685,10,45,D0.2|D1.2
704,11,0,D0.0|D1.0|H.0
705,11,1,D0.5|D1.5|H.5
708,11,4,D0.3|D1.3|H.3
709,11,5,D0.3|D1.3
712,11,8,D0.2|D1.2|H.2
713,11,9,D0.2|D1.2|H.2
716,11,12,D0.2|D1.2
717,11,13,D0.2|D1.2
720,11,16,D1.1|H.1
724,11,20,D1.1|H.1
736,11,32,D0.0|D1.0|H.0
737,11,33,D0.5|D1.5
740,11,36,D0.3|D1.3
741,11,37,D0.3|D1.3
744,11,40,D0.0|D1.0|H.0
745,11,41,D0.5|D1.5
748,11,44,D0.0|D1.0
749,11,45,D0.2|D1.2
768,12,0,D0.0|D1.0|H.0
770,12,2,D0.4|D1.4|H.4
772,12,4,D0.3|D1.3|H.3
776,12,8,D0.2|D1.2|H.2
778,12,10,D0.2|D1.2|H.2
784,12,16,D1.1|H.1
788,12,20,D1.1|H.1
832,13,0,D0.0|D1.0|H.0
834,13,2,D0.4|D1.4|H.4
848,13,16,D0.1|D1.1|H.1
850,13,18,D0.1|D1.1|H.1
896,14,0,D0.0|D1.0|H.0
912,14,16,D1.1|H.1
928,14,32,D0.0|D1.0|H.0
960,15,0,D0.0|D1.0|H.0
976,15,16,D1.1|H.1
992,15,32,D0.0|D1.0|H.0
1024,16,0,D0.0|D1.0|H.0
1040,16,16,D0.1|D1.1|H.1
1056,16,32,D0.0|D1.0|H.0
1088,17,0,D0.0|D1.0|H.0
1104,17,16,D1.1|H.1
1120,17,32,D0.0|D1.0|H.0
1152,18,0,D0.0|D1.0|H.0
1154,18,2,D0.4|D1.4|H.4
1156,18,4,D0.3|D1.3|H.3
1160,18,8,D0.2|D1.2|H.2
