# REPHEX current computed pattern
# axiom=F level=5 cells=15841
# source=F: F@e; F -> F + {B_i@g_i : i=0..5}
# q r state orientation colour_index dark_cap leaf_tag
0 -88 B 1 1 0 N
1 -88 G 2 3 0 U
4 -88 C 2 1 1 N
12 -88 C 2 1 1 N
33 -88 C 2 1 1 N
88 -88 B 2 1 0 N
0 -87 1 1 0 0 N
1 -87 G 3 2 0 U
2 -87 G 1 4 0 U
3 -87 1 2 0 0 N
4 -87 G 3 3 0 U
10 -87 G 1 4 0 U
11 -87 1 2 0 0 N
12 -87 G 3 3 0 U
31 -87 G 1 4 0 U
32 -87 1 2 0 0 N
33 -87 G 3 3 0 U
86 -87 G 1 4 0 U
87 -87 1 2 0 0 N
88 -87 G 3 3 0 U
-1 -86 G 0 4 0 U
0 -86 0 1 0 0 N
1 -86 G 0 5 0 U
2 -86 0 2 0 0 N
3 -86 G 4 2 0 U
9 -86 G 0 5 0 U
10 -86 0 2 0 0 N
11 -86 G 4 2 0 U
30 -86 G 0 5 0 U
31 -86 0 2 0 0 N
32 -86 G 4 2 0 U
85 -86 G 0 5 0 U
86 -86 0 2 0 0 N
87 -86 G 4 2 0 U
-1 -85 G 5 5 0 U
0 -85 B 1 2 0 N
1 -85 B 2 6 0 N
2 -85 G 1 5 0 U
3 -85 G 2 4 0 U
5 -85 C 1 1 1 N
6 -85 G 2 3 0 U
9 -85 B 2 2 0 N
10 -85 G 1 5 0 U
11 -85 G 2 4 0 U
26 -85 C 1 1 1 N
27 -85 G 2 3 0 U
30 -85 B 2 2 0 N
31 -85 G 1 5 0 U
32 -85 G 2 4 0 U
81 -85 C 1 1 1 N
82 -85 G 2 3 0 U
85 -85 B 2 2 0 N
86 -85 G 1 5 0 U
87 -85 G 2 4 0 U
0 -84 1 1 1 0 N
1 -84 B 3 5 0 N
2 -84 0 3 0 0 N
3 -84 1 3 0 0 N
4 -84 C 3 1 1 N
5 -84 1 1 0 0 N
6 -84 G 3 2 0 U
7 -84 G 1 9 0 U
8 -84 1 2 1 0 N
9 -84 B 3 6 0 N
10 -84 0 3 0 0 N
11 -84 1 3 0 0 N
12 -84 C 3 1 1 N
26 -84 1 1 0 0 N
27 -84 G 3 2 0 U
28 -84 G 1 9 0 U
29 -84 1 2 1 0 N
30 -84 B 3 6 0 N
31 -84 0 3 0 0 N
32 -84 1 3 0 0 N
33 -84 C 3 1 1 N
81 -84 1 1 0 0 N
82 -84 G 3 2 0 U
83 -84 G 1 9 0 U
84 -84 1 2 1 0 N
85 -84 B 3 6 0 N
86 -84 0 3 0 0 N
87 -84 1 3 0 0 N
88 -84 C 3 1 1 N
-1 -83 G 0 9 0 U
0 -83 0 1 1 0 N
1 -83 G 2 4 0 P
2 -83 G 5 2 0 P
3 -83 G 4 3 0 P
4 -83 G 0 4 0 P
5 -83 0 1 0 0 N
6 -83 G 0 10 0 U
7 -83 0 2 1 0 N
8 -83 B 4 5 0 N
9 -83 G 2 5 0 U
10 -83 G 5 2 0 U
11 -83 G 4 3 0 U
25 -83 G 0 4 0 U
26 -83 0 1 0 0 N
27 -83 G 0 10 0 U
28 -83 0 2 1 0 N
29 -83 B 4 5 0 N
30 -83 G 2 5 0 U
31 -83 G 5 2 0 U
32 -83 G 4 3 0 U
80 -83 G 0 4 0 U
81 -83 0 1 0 0 N
82 -83 G 0 10 0 U
83 -83 0 2 1 0 N
84 -83 B 4 5 0 N
85 -83 G 2 5 0 U
86 -83 G 5 2 0 U
87 -83 G 4 3 0 U
-3 -82 G 1 3 0 U
-2 -82 G 2 2 0 U
-1 -82 G 5 10 0 U
0 -82 1 1 0 0 N
1 -82 G 3 3 0 P
2 -82 G 1 3 0 P
3 -82 G 2 2 0 P
4 -82 G 5 5 0 P
5 -82 B 1 7 0 N
6 -82 1 2 0 0 N
7 -82 G 3 4 0 P
8 -82 0 4 0 0 N
9 -82 G 3 4 0 U
23 -82 G 1 3 0 U
24 -82 G 2 2 0 U
25 -82 G 5 5 0 U
26 -82 B 1 7 0 N
27 -82 1 2 0 0 N
28 -82 G 3 4 0 P
29 -82 0 4 0 0 N
30 -82 G 3 4 0 U
78 -82 G 1 3 0 U
79 -82 G 2 2 0 U
80 -82 G 5 5 0 U
81 -82 B 1 7 0 N
82 -82 1 2 0 0 N
83 -82 G 3 4 0 P
84 -82 0 4 0 0 N
85 -82 G 3 4 0 U
-4 -81 C 0 1 1 N
-3 -81 1 0 0 0 N
-2 -81 0 0 0 0 N
-1 -81 B 0 7 0 N
0 -81 0 1 0 0 N
1 -81 C 0 1 1 N
2 -81 1 0 0 0 N
3 -81 0 0 0 0 N
4 -81 B 0 8 0 N
5 -81 0 2 0 0 N
6 -81 G 4 3 0 P
7 -81 G 0 2 0 P
8 -81 1 4 0 0 N
22 -81 C 0 1 1 N
23 -81 1 0 0 0 N
24 -81 0 0 0 0 N
25 -81 B 0 8 0 N
26 -81 0 2 0 0 N
27 -81 G 4 3 0 P
28 -81 G 0 2 0 P
29 -81 1 4 0 0 N
77 -81 C 0 1 1 N
78 -81 1 0 0 0 N
79 -81 0 0 0 0 N
80 -81 B 0 8 0 N
81 -81 0 2 0 0 N
82 -81 G 4 3 0 P
83 -81 G 0 2 0 P
84 -81 1 4 0 0 N
-3 -80 G 5 4 0 U
-2 -80 G 4 5 0 U
-1 -80 B 5 8 0 N
0 -80 B 1 1 0 N
1 -80 G 2 3 0 T
2 -80 G 5 4 0 T
3 -80 G 4 5 0 T
4 -80 B 2 1 0 N
5 -80 C 1 1 1 N
6 -80 G 2 3 0 P
7 -80 G 5 3 0 P
8 -80 C 4 1 1 N
9 -80 C 2 1 1 N
13 -80 C 1 1 1 N
14 -80 G 2 3 0 U
17 -80 C 2 1 1 N
23 -80 G 5 4 0 U
24 -80 G 4 5 0 U
25 -80 B 2 1 0 N
26 -80 C 1 1 1 N
27 -80 G 2 3 0 P
28 -80 G 5 3 0 P
29 -80 C 4 1 1 N
30 -80 C 2 1 1 N
68 -80 C 1 1 1 N
69 -80 G 2 3 0 U
72 -80 C 2 1 1 N
78 -80 G 5 4 0 U
79 -80 G 4 5 0 U
80 -80 B 2 1 0 N
81 -80 C 1 1 1 N
82 -80 G 2 3 0 P
83 -80 G 5 3 0 P
84 -80 C 4 1 1 N
85 -80 C 2 1 1 N
-3 -79 G 1 2 0 U
-2 -79 0 5 0 0 N
-1 -79 G 3 5 0 U
0 -79 1 1 0 0 N
1 -79 G 3 2 0 T
2 -79 G 1 4 0 T
3 -79 1 2 0 0 N
4 -79 G 3 3 0 T
5 -79 1 1 0 0 N
6 -79 G 3 2 0 P
7 -79 G 1 4 0 P
8 -79 1 2 0 0 N
9 -79 G 3 3 0 U
13 -79 1 1 0 0 N
14 -79 G 3 2 0 U
15 -79 G 1 4 0 U
16 -79 1 2 0 0 N
17 -79 G 3 3 0 U
23 -79 G 1 4 0 U
24 -79 1 2 0 0 N
25 -79 G 3 3 0 T
26 -79 1 1 0 0 N
27 -79 G 3 2 0 P
28 -79 G 1 4 0 P
29 -79 1 2 0 0 N
30 -79 G 3 3 0 U
68 -79 1 1 0 0 N
69 -79 G 3 2 0 U
70 -79 G 1 4 0 U
71 -79 1 2 0 0 N
72 -79 G 3 3 0 U
78 -79 G 1 4 0 U
79 -79 1 2 0 0 N
80 -79 G 3 3 0 T
81 -79 1 1 0 0 N
82 -79 G 3 2 0 P
83 -79 G 1 4 0 P
84 -79 1 2 0 0 N
85 -79 G 3 3 0 U
-4 -78 G 0 3 0 U
-3 -78 1 5 0 0 N
-2 -78 G 4 4 0 U
-1 -78 G 0 4 0 U
0 -78 0 1 0 0 N
1 -78 G 0 5 0 T
2 -78 0 2 0 0 N
3 -78 G 4 2 0 T
4 -78 G 0 4 0 T
5 -78 0 1 0 0 N
6 -78 G 0 5 0 P
7 -78 0 2 0 0 N
8 -78 G 4 2 0 U
12 -78 G 0 4 0 U
13 -78 0 1 0 0 N
14 -78 G 0 5 0 U
15 -78 0 2 0 0 N
16 -78 G 4 2 0 U
22 -78 G 0 5 0 U
23 -78 0 2 0 0 N
24 -78 G 4 2 0 T
25 -78 G 0 4 0 T
26 -78 0 1 0 0 N
27 -78 G 0 5 0 P
28 -78 0 2 0 0 N
29 -78 G 4 2 0 U
67 -78 G 0 4 0 U
68 -78 0 1 0 0 N
69 -78 G 0 5 0 U
70 -78 0 2 0 0 N
71 -78 G 4 2 0 U
77 -78 G 0 5 0 U
78 -78 0 2 0 0 N
79 -78 G 4 2 0 T
80 -78 G 0 4 0 T
81 -78 0 1 0 0 N
82 -78 G 0 5 0 P
