row_id,center,E,NE,NW,W,SW,SE,occurrences
0,CAP.0,CAP.4,D1.1,PAR.3,PAR.1,D1.3,CAP.2,198
1,CAP.0,D1.3,CAP.2,CAP.4,D1.1,PAR.3,PAR.1,198
2,CAP.0,D1.3,TRI.2,PASS.1,D0.1,PAR.3,PAR.1,110
3,CAP.0,D1.3,TRI.2,PASS.4,D1.1,PAR.3,PAR.1,64
4,CAP.0,PAR.3,PAR.1,D1.3,CAP.2,CAP.4,D1.1,198
5,CAP.0,PAR.3,PAR.1,D1.3,TRI.2,PASS.1,D0.1,110
6,CAP.0,PAR.3,PAR.1,D1.3,TRI.2,PASS.4,D1.1,64
7,CAP.0,PASS.1,D0.1,PAR.3,PAR.1,D1.3,TRI.2,110
8,CAP.0,PASS.4,D1.1,PAR.3,PAR.1,D1.3,TRI.2,64
9,D0.0,D1.3,PAR.4,PAR.5,D1.3,PASS.2,PAR.1,64
10,D0.0,D1.3,PAR.4,PAR.5,D1.3,PASS.2,TRI.1,8
11,D0.0,D1.3,TRI.4,TRI.5,D1.3,PASS.2,PAR.1,18
12,D0.0,PAR.2,CAP.5,PASS.0,PASS.4,PASS.5,D1.3,110
13,D0.0,PAR.2,PAR.5,PASS.0,PAR.4,PAR.5,D1.3,198
14,D0.0,PAR.2,PAR.5,PASS.0,TRI.4,TRI.5,D1.3,174
15,D0.0,PAR.5,D1.3,PAR.2,PAR.5,PASS.0,PAR.4,198
16,D0.0,PAR.5,D1.3,PASS.2,PAR.1,D1.3,PAR.4,64
17,D0.0,PAR.5,D1.3,PASS.2,TRI.1,D1.3,PAR.4,8
18,D0.0,PASS.0,PAR.4,PAR.5,D1.3,PAR.2,PAR.5,198
19,D0.0,PASS.0,PASS.4,PASS.5,D1.3,PAR.2,CAP.5,110
20,D0.0,PASS.0,PASS.4,PASS.5,D1.3,TRI.2,TRI.5,18
21,D0.0,PASS.0,TRI.4,TRI.5,D1.3,PAR.2,PAR.5,174
22,D0.0,PASS.0,TRI.4,TRI.5,D1.3,TRI.2,TRI.5,100
23,D0.0,PASS.2,PAR.1,D1.3,PAR.4,PAR.5,D1.3,64
24,D0.0,PASS.2,PAR.1,D1.3,TRI.4,TRI.5,D1.3,18
25,D0.0,PASS.2,TRI.1,D1.3,PAR.4,PAR.5,D1.3,8
26,D0.0,PASS.5,D1.3,PAR.2,CAP.5,PASS.0,PASS.4,110
27,D0.0,PASS.5,D1.3,TRI.2,TRI.5,PASS.0,PASS.4,18
28,D0.0,TRI.2,TRI.5,PASS.0,PASS.4,PASS.5,D1.3,18
29,D0.0,TRI.2,TRI.5,PASS.0,TRI.4,TRI.5,D1.3,100
30,D0.0,TRI.5,D1.3,PAR.2,PAR.5,PASS.0,TRI.4,174
31,D0.0,TRI.5,D1.3,PASS.2,PAR.1,D1.3,TRI.4,18
32,D0.0,TRI.5,D1.3,TRI.2,TRI.5,PASS.0,TRI.4,100
33,D1.0,CAP.3,PAR.4,PAR.5,D0.3,PAR.2,CAP.5,198
34,D1.0,CAP.3,PAR.4,PAR.5,D0.3,TRI.2,TRI.5,174
35,D1.0,D0.3,PAR.4,PAR.5,D0.3,PASS.2,PAR.1,64
36,D1.0,D0.3,PAR.4,PAR.5,D0.3,PASS.2,TRI.1,18
37,D1.0,D0.3,TRI.4,TRI.5,D0.3,PASS.2,PAR.1,8
38,D1.0,PAR.2,CAP.5,CAP.3,PAR.4,PAR.5,D0.3,198
39,D1.0,PAR.2,CAP.5,PASS.3,PASS.4,PASS.5,D0.3,72
40,D1.0,PAR.5,D0.3,PAR.2,CAP.5,CAP.3,PAR.4,198
41,D1.0,PAR.5,D0.3,PASS.2,PAR.1,D0.3,PAR.4,64
42,D1.0,PAR.5,D0.3,PASS.2,TRI.1,D0.3,PAR.4,18
43,D1.0,PAR.5,D0.3,TRI.2,TRI.5,CAP.3,PAR.4,174
44,D1.0,PASS.2,PAR.1,D0.3,PAR.4,PAR.5,D0.3,64
45,D1.0,PASS.2,PAR.1,D0.3,TRI.4,TRI.5,D0.3,8
46,D1.0,PASS.2,TRI.1,D0.3,PAR.4,PAR.5,D0.3,18
47,D1.0,PASS.3,PASS.4,PASS.5,D0.3,PAR.2,CAP.5,72
48,D1.0,PASS.3,PASS.4,PASS.5,D0.3,TRI.2,TRI.5,18
49,D1.0,PASS.3,TRI.4,TRI.5,D0.3,TRI.2,TRI.5,100
50,D1.0,PASS.5,D0.3,PAR.2,CAP.5,PASS.3,PASS.4,72
51,D1.0,PASS.5,D0.3,TRI.2,TRI.5,PASS.3,PASS.4,18
52,D1.0,TRI.2,TRI.5,CAP.3,PAR.4,PAR.5,D0.3,174
53,D1.0,TRI.2,TRI.5,PASS.3,PASS.4,PASS.5,D0.3,18
54,D1.0,TRI.2,TRI.5,PASS.3,TRI.4,TRI.5,D0.3,100
55,D1.0,TRI.5,D0.3,PASS.2,PAR.1,D0.3,TRI.4,8
56,D1.0,TRI.5,D0.3,TRI.2,TRI.5,PASS.3,TRI.4,100
57,PAR.0,CAP.3,D0.4,D1.1,PAR.5,PAR.2,PAR.4,110
58,PAR.0,CAP.3,D1.4,D0.1,PAR.5,PAR.2,PAR.4,302
59,PAR.0,D0.1,PAR.5,PAR.2,PAR.4,CAP.3,D1.4,302
60,PAR.0,D0.2,D1.5,PASS.1,D0.1,PAR.3,PAR.1,72
61,PAR.0,D0.2,PASS.2,PASS.1,D0.1,PAR.3,PAR.1,230
62,PAR.0,D1.1,PAR.5,PAR.2,PAR.4,CAP.3,D0.4,110
63,PAR.0,D1.1,PAR.5,PAR.2,PAR.4,PAR.3,D0.4,412
64,PAR.0,D1.2,CAP.5,PAR.2,PAR.4,PAR.3,PAR.1,412
65,PAR.0,D1.2,D0.5,PASS.1,D0.1,PAR.3,PAR.1,110
66,PAR.0,PAR.2,PAR.4,CAP.3,D0.4,D1.1,PAR.5,110
67,PAR.0,PAR.2,PAR.4,CAP.3,D1.4,D0.1,PAR.5,302
68,PAR.0,PAR.2,PAR.4,PAR.3,D0.4,D1.1,PAR.5,412
69,PAR.0,PAR.2,PAR.4,PAR.3,PAR.1,D1.2,CAP.5,412
70,PAR.0,PAR.3,D0.4,D1.1,PAR.5,PAR.2,PAR.4,412
71,PAR.0,PAR.3,PAR.1,D0.2,D1.5,PASS.1,D0.1,72
72,PAR.0,PAR.3,PAR.1,D0.2,PASS.2,PASS.1,D0.1,230
73,PAR.0,PAR.3,PAR.1,D1.2,CAP.5,PAR.2,PAR.4,412
74,PAR.0,PAR.3,PAR.1,D1.2,D0.5,PASS.1,D0.1,110
75,PAR.0,PASS.1,D0.1,PAR.3,PAR.1,D0.2,D1.5,72
76,PAR.0,PASS.1,D0.1,PAR.3,PAR.1,D0.2,PASS.2,230
77,PAR.0,PASS.1,D0.1,PAR.3,PAR.1,D1.2,D0.5,110
78,PASS.0,CAP.5,TRI.1,D1.3,TRI.2,PASS.4,D0.0,100
79,PASS.0,D0.1,PASS.5,PAR.4,D0.0,PAR.5,D1.4,68
80,PASS.0,D0.1,PASS.5,TRI.4,D0.0,TRI.5,D1.4,18
81,PASS.0,D0.2,PASS.2,TRI.4,D0.0,PAR.5,PASS.1,100
82,PASS.0,D0.2,PASS.2,TRI.4,D0.0,TRI.5,PASS.1,18
83,PASS.0,D1.1,PASS.5,PAR.4,D0.0,PAR.5,D0.4,82
84,PASS.0,D1.1,PASS.5,TRI.4,D0.0,TRI.5,D0.4,18
85,PASS.0,D1.2,PASS.5,PAR.4,D0.0,PAR.5,PASS.1,48
86,PASS.0,D1.2,PASS.5,TRI.4,D0.0,PAR.5,PASS.1,34
87,PASS.0,D1.2,PASS.5,TRI.4,D0.0,TRI.5,PASS.1,18
88,PASS.0,D1.3,CAP.2,TRI.4,D0.0,PAR.5,PASS.1,40
89,PASS.0,D1.3,CAP.2,TRI.4,D0.0,TRI.5,PASS.1,24
90,PASS.0,D1.3,TRI.2,PASS.4,D0.0,CAP.5,TRI.1,100
91,PASS.0,D1.3,TRI.2,PASS.4,D0.0,TRI.5,PASS.1,18
92,PASS.0,PAR.4,D0.0,PAR.5,D0.4,D1.1,PASS.5,82
