bit_index,row_id,keep_mask,output
5,0,5,CAP.3
6,0,6,CAP.3
7,0,7,CAP.3
9,0,9,CAP.2
10,0,10,CAP.2
11,0,11,CAP.2
13,0,13,CAP.2
14,0,14,CAP.2
15,0,15,CAP.2
17,0,17,CAP.5
18,0,18,CAP.4
19,0,19,CAP.4
20,0,20,CAP.1
21,0,21,CAP.1
22,0,22,CAP.1
23,0,23,CAP.1
25,0,25,CAP.5
26,0,26,CAP.1
27,0,27,CAP.1
28,0,28,CAP.1
29,0,29,CAP.1
30,0,30,CAP.1
31,0,31,CAP.1
33,0,33,CAP.5
34,0,34,CAP.4
35,0,35,CAP.4
36,0,36,CAP.3
37,0,37,CAP.3
38,0,38,CAP.3
39,0,39,CAP.3
40,0,40,CAP.0
41,0,41,CAP.5
42,0,42,CAP.2
43,0,43,CAP.2
44,0,44,CAP.0
45,0,45,CAP.2
46,0,46,CAP.2
47,0,47,CAP.2
49,0,49,CAP.5
50,0,50,CAP.4
51,0,51,CAP.4
52,0,52,CAP.0
53,0,53,CAP.3
54,0,54,CAP.3
55,0,55,CAP.3
56,0,56,CAP.0
57,0,57,CAP.5
58,0,58,CAP.0
59,0,59,CAP.4
60,0,60,CAP.0
61,0,61,CAP.5
62,0,62,CAP.0
63,0,63,CAP.1
69,1,5,CAP.3
70,1,6,CAP.3
71,1,7,CAP.3
73,1,9,CAP.5
74,1,10,CAP.2
75,1,11,CAP.2
77,1,13,CAP.2
78,1,14,CAP.2
79,1,15,CAP.2
81,1,17,CAP.5
82,1,18,CAP.1
83,1,19,CAP.4
84,1,20,CAP.1
85,1,21,CAP.5
86,1,22,CAP.1
87,1,23,CAP.1
88,1,24,CAP.1
89,1,25,CAP.5
90,1,26,CAP.1
91,1,27,CAP.1
92,1,28,CAP.1
93,1,29,CAP.5
94,1,30,CAP.1
95,1,31,CAP.1
98,1,34,CAP.4
99,1,35,CAP.4
100,1,36,CAP.0
101,1,37,CAP.3
102,1,38,CAP.3
103,1,39,CAP.3
104,1,40,CAP.0
105,1,41,CAP.5
106,1,42,CAP.0
107,1,43,CAP.4
108,1,44,CAP.0
109,1,45,CAP.5
110,1,46,CAP.0
111,1,47,CAP.2
113,1,49,CAP.5
114,1,50,CAP.4
115,1,51,CAP.4
116,1,52,CAP.0
117,1,53,CAP.5
118,1,54,CAP.0
119,1,55,CAP.3
120,1,56,CAP.0
121,1,57,CAP.5
122,1,58,CAP.0
123,1,59,CAP.4
124,1,60,CAP.0
125,1,61,CAP.5
126,1,62,CAP.0
127,1,63,CAP.5
133,2,5,CAP.3
134,2,6,CAP.3
135,2,7,CAP.3
137,2,9,CAP.5
138,2,10,CAP.2
139,2,11,CAP.2
141,2,13,CAP.2
142,2,14,CAP.2
143,2,15,CAP.2
145,2,17,CAP.5
146,2,18,CAP.4
147,2,19,CAP.4
149,2,21,CAP.1
150,2,22,CAP.1
151,2,23,CAP.1
153,2,25,CAP.5
154,2,26,CAP.1
155,2,27,CAP.4
157,2,29,CAP.1
158,2,30,CAP.1
159,2,31,CAP.1
162,2,34,CAP.4
163,2,35,CAP.4
165,2,37,CAP.3
166,2,38,CAP.3
167,2,39,CAP.3
169,2,41,CAP.5
170,2,42,CAP.4
171,2,43,CAP.4
173,2,45,CAP.2
174,2,46,CAP.2
175,2,47,CAP.2
177,2,49,CAP.5
178,2,50,CAP.4
179,2,51,CAP.4
181,2,53,CAP.3
182,2,54,CAP.3
183,2,55,CAP.3
185,2,57,CAP.5
186,2,58,CAP.4
187,2,59,CAP.4
189,2,61,CAP.5
190,2,62,CAP.0
191,2,63,CAP.3
201,3,9,CAP.5
202,3,10,CAP.2
203,3,11,CAP.2
205,3,13,CAP.2
206,3,14,CAP.2
207,3,15,CAP.2
209,3,17,CAP.5
210,3,18,CAP.4
211,3,19,CAP.4
212,3,20,CAP.1
213,3,21,CAP.1
214,3,22,CAP.1
215,3,23,CAP.1
216,3,24,CAP.1
217,3,25,CAP.5
218,3,26,CAP.1
219,3,27,CAP.1
220,3,28,CAP.1
221,3,29,CAP.1
222,3,30,CAP.1
223,3,31,CAP.1
