bit_index,row_id,keep_mask,ambiguous_outputs
0,0,0,CAP.0|D0.0|D1.0|PAR.0|PASS.0|TRI.0
1,0,1,CAP.5|TRI.5
2,0,2,CAP.4|TRI.4
3,0,3,CAP.4|TRI.4
4,0,4,CAP.3|PAR.3
8,0,8,CAP.2|D0.2|D1.2|PAR.2
12,0,12,CAP.2|PAR.2
16,0,16,CAP.1|D0.1|PASS.1
24,0,24,CAP.1|D0.1
32,0,32,CAP.0|PASS.0
48,0,48,CAP.0|PASS.0
64,1,0,CAP.0|D0.0|D1.0|PAR.0|PASS.0|TRI.0
65,1,1,CAP.5|D0.5|PASS.5
66,1,2,CAP.4|PASS.4
67,1,3,CAP.4|PASS.4
68,1,4,CAP.3|TRI.3
72,1,8,CAP.2|TRI.2
76,1,12,CAP.2|TRI.2
80,1,16,CAP.1|PAR.1
96,1,32,CAP.0|D0.0|D1.0|PAR.0
97,1,33,CAP.5|D0.5
112,1,48,CAP.0|PAR.0
128,2,0,CAP.0|D0.0|D1.0|PAR.0|PASS.0|TRI.0
129,2,1,CAP.5|D0.5|PASS.5
130,2,2,CAP.4|PASS.4
131,2,3,CAP.4|PASS.4
132,2,4,CAP.3|PAR.3|TRI.3
136,2,8,CAP.2|PAR.2|TRI.2
140,2,12,CAP.2|PAR.2|TRI.2
144,2,16,CAP.1|PAR.1
148,2,20,CAP.1|PAR.1
152,2,24,CAP.1|PAR.1
156,2,28,CAP.1|PAR.1
160,2,32,CAP.0|D0.0|D1.0|PAR.0
161,2,33,CAP.5|D0.5
164,2,36,CAP.3|PAR.3
168,2,40,CAP.0|PAR.0
172,2,44,CAP.0|PAR.0
176,2,48,CAP.0|PAR.0
180,2,52,CAP.0|PAR.0
184,2,56,CAP.0|PAR.0
188,2,60,CAP.0|PAR.0
192,3,0,CAP.0|D0.0|D1.0|PAR.0|PASS.0|TRI.0
193,3,1,CAP.5|D0.5|PASS.5
194,3,2,CAP.4|PASS.4
195,3,3,CAP.4|PASS.4
196,3,4,CAP.3|PASS.3|TRI.3
197,3,5,CAP.3|PASS.3
198,3,6,CAP.3|PASS.3
199,3,7,CAP.3|PASS.3
200,3,8,CAP.2|TRI.2
204,3,12,CAP.2|TRI.2
208,3,16,CAP.1|PAR.1
224,3,32,CAP.0|D0.0|D1.0|PAR.0
225,3,33,CAP.5|D0.5
228,3,36,CAP.3|PASS.0
240,3,48,CAP.0|PAR.0
256,4,0,CAP.0|D0.0|D1.0|PAR.0|PASS.0|TRI.0
257,4,1,CAP.5|PAR.5
258,4,2,CAP.4|D0.4|D1.4|PAR.4
259,4,3,CAP.4|PAR.4
260,4,4,CAP.3|D0.3|PASS.3
262,4,6,CAP.3|D0.3
264,4,8,CAP.2|PASS.2
268,4,12,CAP.2|PASS.2
272,4,16,CAP.1|TRI.1
288,4,32,CAP.0|TRI.0
304,4,48,CAP.0|TRI.0
320,5,0,CAP.0|D0.0|D1.0|PAR.0|PASS.0|TRI.0
321,5,1,CAP.5|PAR.5
322,5,2,CAP.4|D0.4|D1.4|PAR.4
323,5,3,CAP.4|PAR.4
324,5,4,CAP.3|D0.3|PASS.3
326,5,6,CAP.3|D0.3
328,5,8,CAP.2|PASS.2
332,5,12,CAP.2|PASS.2
336,5,16,CAP.1|PAR.1|TRI.1
337,5,17,CAP.5|PAR.5
338,5,18,CAP.1|PAR.1
339,5,19,CAP.4|PAR.4
352,5,32,CAP.0|PAR.0|TRI.0
353,5,33,CAP.5|PAR.5
354,5,34,CAP.4|PAR.4
355,5,35,CAP.4|PAR.4
368,5,48,CAP.0|PAR.0|TRI.0
369,5,49,CAP.5|PAR.5
370,5,50,CAP.4|PAR.4
371,5,51,CAP.4|PAR.4
384,6,0,CAP.0|D0.0|D1.0|PAR.0|PASS.0|TRI.0
385,6,1,CAP.5|PAR.5
386,6,2,CAP.4|D0.4|D1.4|PAR.4
387,6,3,CAP.4|PAR.4
388,6,4,CAP.3|D0.3|PASS.3
390,6,6,CAP.3|D0.3
392,6,8,CAP.2|PASS.2
396,6,12,CAP.2|PASS.2
400,6,16,CAP.1|PASS.1|TRI.1
402,6,18,CAP.1|PASS.4
404,6,20,CAP.1|PASS.1
408,6,24,CAP.1|PASS.1
412,6,28,CAP.1|PASS.1
416,6,32,CAP.0|TRI.0
432,6,48,CAP.0|TRI.0
448,7,0,CAP.0|D0.0|D1.0|PAR.0|PASS.0|TRI.0
449,7,1,CAP.5|PAR.5|TRI.5
450,7,2,CAP.4|PAR.4|TRI.4
451,7,3,CAP.4|PAR.4|TRI.4
452,7,4,CAP.3|PAR.3
453,7,5,CAP.3|PAR.3
454,7,6,CAP.3|PAR.3
455,7,7,CAP.3|PAR.3
456,7,8,CAP.2|D0.2|D1.2|PAR.2
457,7,9,CAP.5|PAR.5
458,7,10,CAP.2|PAR.2
459,7,11,CAP.2|PAR.2
460,7,12,CAP.2|PAR.2
461,7,13,CAP.2|PAR.2
462,7,14,CAP.2|PAR.2
463,7,15,CAP.2|PAR.2
464,7,16,CAP.1|D0.1|PASS.1
472,7,24,CAP.1|D0.1
480,7,32,CAP.0|PASS.0
496,7,48,CAP.0|PASS.0
512,8,0,CAP.0|D0.0|D1.0|PAR.0|PASS.0|TRI.0
513,8,1,CAP.5|PASS.5|TRI.5
514,8,2,CAP.4|TRI.4
515,8,3,CAP.4|TRI.4
516,8,4,CAP.3|PAR.3
520,8,8,CAP.2|D0.2|D1.2|PAR.2
521,8,9,CAP.5|PASS.2
524,8,12,CAP.2|PAR.2
528,8,16,CAP.1|D0.1|PASS.1
529,8,17,CAP.5|PASS.5
536,8,24,CAP.1|D0.1
544,8,32,CAP.0|PASS.0
545,8,33,CAP.5|PASS.5
560,8,48,CAP.0|PASS.0
561,8,49,CAP.5|PASS.5
576,9,0,CAP.0|D0.0|D1.0|PAR.0|PASS.0|TRI.0
577,9,1,CAP.5|D0.5|PASS.5
578,9,2,D0.4|D1.4|PAR.4
580,9,4,D0.3|D1.3|PASS.3
582,9,6,D0.3|D1.3
592,9,16,D0.1|D1.1
594,9,18,D0.1|D1.1
596,9,20,D0.1|D1.1
598,9,22,D0.1|D1.1
608,9,32,CAP.0|D0.0|D1.0|PAR.0
609,9,33,CAP.5|D0.5
610,9,34,D0.4|D1.4
612,9,36,D0.3|D1.3
614,9,38,D0.3|D1.3
624,9,48,D0.0|D1.0
626,9,50,D0.4|D1.4
628,9,52,D0.0|D1.0
630,9,54,D0.0|D1.0
640,10,0,CAP.0|D0.0|D1.0|PAR.0|PASS.0|TRI.0
641,10,1,CAP.5|D0.5|PASS.5
642,10,2,D0.4|D1.4|PAR.4
644,10,4,D0.3|D1.3|PASS.3
646,10,6,D0.3|D1.3
656,10,16,D0.1|D1.1
658,10,18,D0.1|D1.1
660,10,20,D0.1|D1.1
662,10,22,D0.1|D1.1
672,10,32,D0.0|D1.0|PASS.0|TRI.0
673,10,33,D0.5|PASS.5
674,10,34,D0.4|D1.4
676,10,36,D0.0|D1.0
678,10,38,D0.3|D1.3
688,10,48,D0.0|D1.0
690,10,50,D0.4|D1.4
692,10,52,D0.0|D1.0
694,10,54,D0.0|D1.0
704,11,0,CAP.0|D0.0|D1.0|PAR.0|PASS.0|TRI.0
705,11,1,CAP.5|D0.5|PASS.5
706,11,2,D0.4|D1.4|TRI.4
708,11,4,D0.3|D1.3|PASS.3
710,11,6,D0.3|D1.3
720,11,16,D0.1|D1.1
722,11,18,D0.4|D1.4
724,11,20,D0.1|D1.1
726,11,22,D0.1|D1.1
736,11,32,CAP.0|D0.0|D1.0|PAR.0
737,11,33,CAP.5|D0.5
738,11,34,D0.4|D1.4
740,11,36,D0.3|D1.3
742,11,38,D0.3|D1.3
752,11,48,D0.0|D1.0
754,11,50,D0.4|D1.4
756,11,52,D0.0|D1.0
758,11,54,D0.3|D1.3
768,12,0,CAP.0|D0.0|D1.0|PAR.0|PASS.0|TRI.0
769,12,1,D0.5|D1.5|PAR.5
770,12,2,D0.4|D1.4|PAR.4
771,12,3,D0.4|D1.4
776,12,8,D0.2|D1.2
777,12,9,D0.2|D1.2
778,12,10,D0.2|D1.2
779,12,11,D0.2|D1.2
784,12,16,D0.1|D1.1
785,12,17,D0.5|D1.5
786,12,18,D0.1|D1.1
787,12,19,D0.4|D1.4
792,12,24,D0.1|D1.1
793,12,25,D0.5|D1.5
794,12,26,D0.1|D1.1
795,12,27,D0.1|D1.1
832,13,0,CAP.0|D0.0|D1.0|PAR.0|PASS.0|TRI.0
833,13,1,D0.5|D1.5|PAR.5
834,13,2,D0.4|PAR.4
840,13,8,D0.2|D1.2|PAR.2
841,13,9,D0.5|D1.5
842,13,10,D0.2|PAR.2
848,13,16,D0.1|D1.1|PASS.1
849,13,17,D0.5|D1.5
856,13,24,D0.1|D1.1
857,13,25,D0.5|D1.5
896,14,0,CAP.0|D0.0|D1.0|PAR.0|PASS.0|TRI.0
897,14,1,D0.5|D1.5|PAR.5
898,14,2,D0.4|PAR.4
904,14,8,D0.2|D1.2|TRI.2
912,14,16,D0.1|D1.1|PASS.1
920,14,24,D0.1|D1.1
960,15,0,CAP.0|D0.0|D1.0|PAR.0|PASS.0|TRI.0
961,15,1,D0.5|D1.5|PASS.5
964,15,4,D0.3|D1.3|PAR.3
965,15,5,D0.3|D1.3
968,15,8,D0.2|PAR.2
992,15,32,D0.0|D1.0|PAR.0
993,15,33,D0.5|D1.5
996,15,36,D0.3|D1.3
997,15,37,D0.3|D1.3
1000,15,40,D0.0|PAR.0
1024,16,0,CAP.0|D0.0|D1.0|PAR.0|PASS.0|TRI.0
1025,16,1,D0.5|D1.5|PASS.5
1028,16,4,D0.3|D1.3
1029,16,5,D0.3|D1.3
1032,16,8,CAP.2|D0.2|D1.2|PAR.2
1033,16,9,D0.5|D1.5
1036,16,12,D0.2|D1.2
1037,16,13,D0.2|D1.2
1040,16,16,CAP.1|D0.1|PASS.1
