row_id,center,E,NE,NW,W,SW,SE,occurrences
0,CAP.0,CAP.4,D1.1,LEAF.3,LEAF.1,D1.3,CAP.2,198
1,CAP.0,D1.3,CAP.2,CAP.4,D1.1,LEAF.3,LEAF.1,198
2,CAP.0,D1.3,LEAF.2,PASS.1,D0.1,LEAF.3,LEAF.1,110
3,CAP.0,D1.3,LEAF.2,PASS.4,D1.1,LEAF.3,LEAF.1,72
4,CAP.0,LEAF.3,LEAF.1,D1.3,CAP.2,CAP.4,D1.1,198
5,CAP.0,LEAF.3,LEAF.1,D1.3,LEAF.2,PASS.1,D0.1,110
6,CAP.0,LEAF.3,LEAF.1,D1.3,LEAF.2,PASS.4,D1.1,72
7,CAP.0,PASS.1,D0.1,LEAF.3,LEAF.1,D1.3,LEAF.2,110
8,CAP.0,PASS.4,D1.1,LEAF.3,LEAF.1,D1.3,LEAF.2,72
9,D0.0,D1.3,LEAF.4,LEAF.5,D1.3,PASS.2,LEAF.1,128
10,D0.0,LEAF.2,CAP.5,PASS.0,PASS.4,PASS.5,D1.3,110
11,D0.0,LEAF.2,LEAF.5,PASS.0,LEAF.4,LEAF.5,D1.3,626
12,D0.0,LEAF.2,LEAF.5,PASS.0,PASS.4,PASS.5,D1.3,18
13,D0.0,LEAF.5,D1.3,LEAF.2,LEAF.5,PASS.0,LEAF.4,626
14,D0.0,LEAF.5,D1.3,PASS.2,LEAF.1,D1.3,LEAF.4,128
15,D0.0,PASS.0,LEAF.4,LEAF.5,D1.3,LEAF.2,LEAF.5,626
16,D0.0,PASS.0,PASS.4,PASS.5,D1.3,LEAF.2,CAP.5,110
17,D0.0,PASS.0,PASS.4,PASS.5,D1.3,LEAF.2,LEAF.5,18
18,D0.0,PASS.2,LEAF.1,D1.3,LEAF.4,LEAF.5,D1.3,128
19,D0.0,PASS.5,D1.3,LEAF.2,CAP.5,PASS.0,PASS.4,110
20,D0.0,PASS.5,D1.3,LEAF.2,LEAF.5,PASS.0,PASS.4,18
21,D1.0,CAP.3,LEAF.4,LEAF.5,D0.3,LEAF.2,CAP.5,230
22,D1.0,CAP.3,LEAF.4,LEAF.5,D0.3,LEAF.2,LEAF.5,182
23,D1.0,D0.3,LEAF.4,LEAF.5,D0.3,PASS.2,LEAF.1,128
24,D1.0,LEAF.2,CAP.5,CAP.3,LEAF.4,LEAF.5,D0.3,230
25,D1.0,LEAF.2,CAP.5,PASS.3,PASS.4,PASS.5,D0.3,72
26,D1.0,LEAF.2,LEAF.5,CAP.3,LEAF.4,LEAF.5,D0.3,182
27,D1.0,LEAF.2,LEAF.5,PASS.3,LEAF.4,LEAF.5,D0.3,110
28,D1.0,LEAF.2,LEAF.5,PASS.3,PASS.4,PASS.5,D0.3,18
29,D1.0,LEAF.5,D0.3,LEAF.2,CAP.5,CAP.3,LEAF.4,230
