bit_index,output
17,CAP.5
18,CAP.4
19,CAP.4
20,CAP.1
21,CAP.1
22,CAP.1
23,CAP.1
25,CAP.5
26,CAP.1
27,CAP.1
28,CAP.1
29,CAP.1
30,CAP.1
31,CAP.1
33,CAP.5
34,CAP.4
35,CAP.4
36,CAP.3
37,CAP.3
38,CAP.3
39,CAP.3
40,CAP.0
41,CAP.5
42,CAP.2
43,CAP.2
44,CAP.0
45,CAP.2
46,CAP.2
47,CAP.2
49,CAP.5
50,CAP.4
51,CAP.4
52,CAP.0
53,CAP.3
54,CAP.3
55,CAP.3
56,CAP.0
57,CAP.5
58,CAP.0
59,CAP.4
60,CAP.0
61,CAP.5
62,CAP.0
63,CAP.1
69,CAP.3
70,CAP.3
71,CAP.3
73,CAP.5
74,CAP.2
75,CAP.2
77,CAP.2
78,CAP.2
79,CAP.2
81,CAP.5
82,CAP.1
83,CAP.4
85,CAP.5
86,CAP.1
87,CAP.1
89,CAP.5
90,CAP.1
91,CAP.1
93,CAP.5
94,CAP.1
95,CAP.1
98,CAP.4
99,CAP.4
101,CAP.3
102,CAP.3
103,CAP.3
105,CAP.5
106,CAP.0
107,CAP.4
109,CAP.5
110,CAP.0
111,CAP.2
113,CAP.5
114,CAP.4
115,CAP.4
117,CAP.5
118,CAP.0
119,CAP.3
121,CAP.5
122,CAP.0
123,CAP.4
125,CAP.5
126,CAP.0
127,CAP.5
133,CAP.3
134,CAP.3
135,CAP.3
137,CAP.5
138,CAP.2
139,CAP.2
141,CAP.2
142,CAP.2
143,CAP.2
145,CAP.5
146,CAP.4
147,CAP.4
149,CAP.1
150,CAP.1
151,CAP.1
153,CAP.5
154,CAP.1
155,CAP.4
157,CAP.1
158,CAP.1
159,CAP.1
165,CAP.3
166,CAP.3
167,CAP.3
169,CAP.5
170,CAP.4
171,CAP.4
173,CAP.2
174,CAP.0
175,CAP.2
177,CAP.5
178,CAP.4
179,CAP.4
181,CAP.3
182,CAP.3
183,CAP.3
185,CAP.5
186,CAP.4
187,CAP.4
189,CAP.5
190,CAP.0
191,CAP.3
201,CAP.5
202,CAP.2
203,CAP.2
205,CAP.2
206,CAP.2
207,CAP.2
209,CAP.5
210,CAP.4
211,CAP.4
213,CAP.1
214,CAP.1
215,CAP.1
217,CAP.5
218,CAP.1
219,CAP.1
221,CAP.1
222,CAP.1
223,CAP.1
233,CAP.5
234,CAP.4
235,CAP.4
237,CAP.2
238,CAP.0
239,CAP.2
241,CAP.5
242,CAP.4
243,CAP.4
245,CAP.3
246,CAP.3
247,CAP.3
249,CAP.5
250,CAP.4
251,CAP.4
253,CAP.5
254,CAP.0
255,CAP.0
261,CAP.3
263,CAP.3
265,CAP.5
266,CAP.2
267,CAP.2
269,CAP.2
270,CAP.2
271,CAP.2
276,CAP.1
277,CAP.3
278,CAP.1
279,CAP.3
280,CAP.1
281,CAP.5
282,CAP.1
283,CAP.4
284,CAP.1
285,CAP.5
286,CAP.1
287,CAP.1
292,CAP.0
293,CAP.3
294,CAP.3
295,CAP.3
296,CAP.0
297,CAP.5
298,CAP.4
299,CAP.4
300,CAP.0
301,CAP.5
302,CAP.2
303,CAP.2
308,CAP.0
309,CAP.3
310,CAP.3
311,CAP.3
312,CAP.0
313,CAP.5
314,CAP.4
315,CAP.4
316,CAP.0
317,CAP.5
318,CAP.0
319,CAP.2
325,CAP.3
327,CAP.3
329,CAP.5
331,CAP.2
333,CAP.2
335,CAP.2
340,CAP.1
341,CAP.5
342,CAP.1
343,CAP.1
344,CAP.1
345,CAP.5
346,CAP.1
347,CAP.4
348,CAP.1
