bit_index,row_id,keep_mask,ambiguous_outputs
0,0,0,CAP.0|D0.0|D1.0|LEAF.0|PASS.0
1,0,1,CAP.5|LEAF.5
2,0,2,CAP.4|LEAF.4
3,0,3,CAP.4|LEAF.4
4,0,4,CAP.3|LEAF.3
5,0,5,CAP.3|LEAF.3
6,0,6,CAP.3|LEAF.3
7,0,7,CAP.3|LEAF.3
8,0,8,CAP.2|D0.2|D1.2|LEAF.2|PASS.2
9,0,9,CAP.2|LEAF.2
10,0,10,CAP.2|LEAF.2
11,0,11,CAP.2|LEAF.2
12,0,12,CAP.2|LEAF.2
13,0,13,CAP.2|LEAF.2
14,0,14,CAP.2|LEAF.2
15,0,15,CAP.2|LEAF.2
16,0,16,CAP.1|D0.1|PASS.1
24,0,24,CAP.1|D0.1|PASS.1
32,0,32,CAP.0|PASS.0
48,0,48,CAP.0|PASS.0
64,1,0,CAP.0|D0.0|D1.0|LEAF.0|PASS.0
65,1,1,CAP.5|D0.5|PASS.5
66,1,2,CAP.4|PASS.4
67,1,3,CAP.4|PASS.4
68,1,4,CAP.3|LEAF.3
72,1,8,CAP.2|LEAF.2
76,1,12,CAP.2|LEAF.2
80,1,16,CAP.1|LEAF.1
84,1,20,CAP.1|LEAF.1
88,1,24,CAP.1|LEAF.1
92,1,28,CAP.1|LEAF.1
96,1,32,CAP.0|D0.0|D1.0|LEAF.0|PASS.0
97,1,33,CAP.5|D0.5|PASS.5
100,1,36,CAP.0|LEAF.0
104,1,40,CAP.0|LEAF.0
108,1,44,CAP.0|LEAF.0
112,1,48,CAP.0|LEAF.0
116,1,52,CAP.0|LEAF.0
120,1,56,CAP.0|LEAF.0
124,1,60,CAP.0|LEAF.0
128,2,0,CAP.0|D0.0|D1.0|LEAF.0|PASS.0
129,2,1,CAP.5|D0.5|PASS.5
130,2,2,CAP.4|PASS.4
131,2,3,CAP.4|PASS.4
132,2,4,CAP.3|LEAF.3
136,2,8,CAP.2|LEAF.2
140,2,12,CAP.2|LEAF.2
144,2,16,CAP.1|LEAF.1
148,2,20,CAP.1|LEAF.1
152,2,24,CAP.1|LEAF.1
156,2,28,CAP.1|LEAF.1
160,2,32,CAP.0|D0.0|D1.0|LEAF.0|PASS.0
161,2,33,CAP.5|D0.5|PASS.5
162,2,34,CAP.4|PASS.4
163,2,35,CAP.4|PASS.4
164,2,36,CAP.3|LEAF.3
168,2,40,CAP.0|LEAF.0
172,2,44,CAP.0|LEAF.0
176,2,48,CAP.0|LEAF.0
180,2,52,CAP.0|LEAF.0
184,2,56,CAP.0|LEAF.0
188,2,60,CAP.0|LEAF.0
192,3,0,CAP.0|D0.0|D1.0|LEAF.0|PASS.0
193,3,1,CAP.5|D0.5|PASS.5
194,3,2,CAP.4|PASS.4
195,3,3,CAP.4|PASS.4
196,3,4,CAP.3|LEAF.3|PASS.3
197,3,5,CAP.3|PASS.3
198,3,6,CAP.3|PASS.3
199,3,7,CAP.3|PASS.3
200,3,8,CAP.2|LEAF.2
204,3,12,CAP.2|LEAF.2
208,3,16,CAP.1|LEAF.1
212,3,20,CAP.1|LEAF.1
216,3,24,CAP.1|LEAF.1
220,3,28,CAP.1|LEAF.1
224,3,32,CAP.0|D0.0|D1.0|LEAF.0|PASS.0
225,3,33,CAP.5|D0.5|PASS.5
226,3,34,CAP.4|PASS.4
227,3,35,CAP.4|PASS.4
228,3,36,CAP.3|LEAF.3|PASS.0|PASS.3
229,3,37,CAP.3|PASS.3
230,3,38,CAP.3|PASS.3
231,3,39,CAP.3|PASS.3
232,3,40,CAP.0|LEAF.0
236,3,44,CAP.0|LEAF.0
240,3,48,CAP.0|LEAF.0
244,3,52,CAP.0|LEAF.0
248,3,56,CAP.0|LEAF.0
252,3,60,CAP.0|LEAF.0
256,4,0,CAP.0|D0.0|D1.0|LEAF.0|PASS.0
257,4,1,CAP.5|LEAF.5
258,4,2,CAP.4|D0.4|D1.4|LEAF.4|PASS.4
259,4,3,CAP.4|LEAF.4
260,4,4,CAP.3|D0.3|PASS.3
262,4,6,CAP.3|D0.3|PASS.3
264,4,8,CAP.2|PASS.2
268,4,12,CAP.2|PASS.2
272,4,16,CAP.1|LEAF.1
273,4,17,CAP.5|LEAF.5
274,4,18,CAP.4|LEAF.4
275,4,19,CAP.4|LEAF.4
288,4,32,CAP.0|LEAF.0
289,4,33,CAP.5|LEAF.5
290,4,34,CAP.4|LEAF.4
291,4,35,CAP.4|LEAF.4
304,4,48,CAP.0|LEAF.0
305,4,49,CAP.5|LEAF.5
306,4,50,CAP.4|LEAF.4
307,4,51,CAP.4|LEAF.4
320,5,0,CAP.0|D0.0|D1.0|LEAF.0|PASS.0
321,5,1,CAP.5|LEAF.5
322,5,2,CAP.4|D0.4|D1.4|LEAF.4|PASS.4
323,5,3,CAP.4|LEAF.4
324,5,4,CAP.3|D0.3|PASS.3
326,5,6,CAP.3|D0.3|PASS.3
328,5,8,CAP.2|PASS.2
330,5,10,CAP.2|PASS.2
332,5,12,CAP.2|PASS.2
334,5,14,CAP.2|PASS.2
336,5,16,CAP.1|LEAF.1
337,5,17,CAP.5|LEAF.5
338,5,18,CAP.1|LEAF.1
339,5,19,CAP.4|LEAF.4
352,5,32,CAP.0|LEAF.0
353,5,33,CAP.5|LEAF.5
354,5,34,CAP.4|LEAF.4
355,5,35,CAP.4|LEAF.4
368,5,48,CAP.0|LEAF.0
369,5,49,CAP.5|LEAF.5
370,5,50,CAP.4|LEAF.4
371,5,51,CAP.4|LEAF.4
384,6,0,CAP.0|D0.0|D1.0|LEAF.0|PASS.0
385,6,1,CAP.5|LEAF.5
386,6,2,CAP.4|D0.4|D1.4|LEAF.4|PASS.4
387,6,3,CAP.4|LEAF.4
388,6,4,CAP.3|D0.3|PASS.3
390,6,6,CAP.3|D0.3|PASS.3
392,6,8,CAP.2|PASS.2
394,6,10,CAP.2|PASS.2
396,6,12,CAP.2|PASS.2
398,6,14,CAP.2|PASS.2
400,6,16,CAP.1|LEAF.1|PASS.1
401,6,17,CAP.5|LEAF.5
402,6,18,CAP.1|LEAF.1|PASS.1|PASS.4
403,6,19,CAP.4|LEAF.4
404,6,20,CAP.1|PASS.1
406,6,22,CAP.1|PASS.1
408,6,24,CAP.1|PASS.1
410,6,26,CAP.1|PASS.1
412,6,28,CAP.1|PASS.1
414,6,30,CAP.1|PASS.1
416,6,32,CAP.0|LEAF.0
417,6,33,CAP.5|LEAF.5
418,6,34,CAP.4|LEAF.4
419,6,35,CAP.4|LEAF.4
432,6,48,CAP.0|LEAF.0
433,6,49,CAP.5|LEAF.5
434,6,50,CAP.4|LEAF.4
435,6,51,CAP.4|LEAF.4
448,7,0,CAP.0|D0.0|D1.0|LEAF.0|PASS.0
449,7,1,CAP.5|LEAF.5
450,7,2,CAP.4|LEAF.4
451,7,3,CAP.4|LEAF.4
452,7,4,CAP.3|LEAF.3
453,7,5,CAP.3|LEAF.3
454,7,6,CAP.3|LEAF.3
455,7,7,CAP.3|LEAF.3
456,7,8,CAP.2|D0.2|D1.2|LEAF.2|PASS.2
457,7,9,CAP.5|LEAF.5
458,7,10,CAP.2|LEAF.2
459,7,11,CAP.2|LEAF.2
460,7,12,CAP.2|LEAF.2
461,7,13,CAP.2|LEAF.2
462,7,14,CAP.2|LEAF.2
463,7,15,CAP.2|LEAF.2
464,7,16,CAP.1|D0.1|PASS.1
472,7,24,CAP.1|D0.1|PASS.1
480,7,32,CAP.0|PASS.0
488,7,40,CAP.0|PASS.0
496,7,48,CAP.0|PASS.0
504,7,56,CAP.0|PASS.0
512,8,0,CAP.0|D0.0|D1.0|LEAF.0|PASS.0
513,8,1,CAP.5|LEAF.5|PASS.5
514,8,2,CAP.4|LEAF.4
515,8,3,CAP.4|LEAF.4
516,8,4,CAP.3|LEAF.3
517,8,5,CAP.3|LEAF.3
518,8,6,CAP.3|LEAF.3
519,8,7,CAP.3|LEAF.3
520,8,8,CAP.2|D0.2|D1.2|LEAF.2|PASS.2
521,8,9,CAP.5|LEAF.5|PASS.2|PASS.5
522,8,10,CAP.2|LEAF.2
523,8,11,CAP.2|LEAF.2
524,8,12,CAP.2|LEAF.2
525,8,13,CAP.2|LEAF.2
526,8,14,CAP.2|LEAF.2
527,8,15,CAP.2|LEAF.2
528,8,16,CAP.1|D0.1|PASS.1
529,8,17,CAP.5|PASS.5
536,8,24,CAP.1|D0.1|PASS.1
537,8,25,CAP.5|PASS.5
544,8,32,CAP.0|PASS.0
545,8,33,CAP.5|PASS.5
552,8,40,CAP.0|PASS.0
553,8,41,CAP.5|PASS.5
560,8,48,CAP.0|PASS.0
561,8,49,CAP.5|PASS.5
568,8,56,CAP.0|PASS.0
569,8,57,CAP.5|PASS.5
576,9,0,CAP.0|D0.0|D1.0|LEAF.0|PASS.0
577,9,1,CAP.5|D0.5|PASS.5
578,9,2,D0.4|D1.4|LEAF.4
580,9,4,D0.3|D1.3|PASS.3
582,9,6,D0.3|D1.3
592,9,16,D0.1|D1.1
594,9,18,D0.1|D1.1
596,9,20,D0.1|D1.1
598,9,22,D0.1|D1.1
608,9,32,CAP.0|D0.0|D1.0|LEAF.0|PASS.0
609,9,33,CAP.5|D0.5|PASS.5
610,9,34,D0.4|D1.4
612,9,36,D0.3|D1.3
614,9,38,D0.3|D1.3
624,9,48,D0.0|D1.0
626,9,50,D0.4|D1.4
628,9,52,D0.0|D1.0
630,9,54,D0.0|D1.0
640,10,0,CAP.0|D0.0|D1.0|LEAF.0|PASS.0
641,10,1,D0.5|D1.5|LEAF.5
642,10,2,D0.4|D1.4|LEAF.4
643,10,3,D0.4|D1.4
648,10,8,D0.2|D1.2
649,10,9,D0.2|D1.2
650,10,10,D0.2|D1.2
