q	r	state	on	time
-232	0	B	1	232
-232	144	C	0	
-232	199	C	0	
-232	220	C	0	
-232	228	C	0	
-232	231	G	0	
-232	232	B	1	232
-231	-1	G	0	
-231	0	1	1	231
-231	1	G	0	
-231	143	G	0	
-231	144	1	1	231
-231	145	G	0	
-231	198	G	0	
-231	199	1	1	231
-231	200	G	0	
-231	219	G	0	
-231	220	1	1	231
-231	221	G	0	
-231	227	G	0	
-231	228	1	1	231
-231	229	G	0	
-231	230	G	0	
-231	231	1	1	231
-230	-1	G	0	
-230	0	0	1	230
-230	1	G	0	
-230	143	G	0	
-230	144	0	1	230
-230	145	G	0	
-230	198	G	0	
-230	199	0	1	230
-230	200	G	0	
-230	219	G	0	
-230	220	0	1	230
-230	221	G	0	
-230	227	G	0	
-230	228	0	1	230
-230	229	G	0	
-230	230	0	1	230
-230	231	G	0	
-229	-2	G	0	
-229	-1	G	0	
-229	0	B	1	229
-229	3	G	0	
-229	4	C	0	
-229	142	G	0	
-229	143	G	0	
-229	144	B	1	229
-229	147	G	0	
-229	148	C	0	
-229	197	G	0	
-229	198	G	0	
-229	199	B	1	229
-229	202	G	0	
-229	203	C	0	
-229	218	G	0	
-229	219	G	0	
-229	220	B	1	229
-229	223	G	0	
-229	224	C	0	
-229	226	G	0	
-229	227	G	0	
-229	228	B	1	229
-229	229	B	1	229
-229	230	G	0	
-228	-4	C	0	
-228	-3	1	1	231
-228	-2	0	1	230
-228	-1	B	1	229
-228	0	1	1	228
-228	1	G	0	
-228	2	G	0	
-228	3	1	1	228
-228	140	C	0	
-228	141	1	1	231
-228	142	0	1	230
-228	143	B	1	229
-228	144	1	1	228
-228	145	G	0	
-228	146	G	0	
-228	147	1	1	228
-228	195	C	0	
-228	196	1	1	231
-228	197	0	1	230
-228	198	B	1	229
-228	199	1	1	228
-228	200	G	0	
-228	201	G	0	
-228	202	1	1	228
-228	216	C	0	
-228	217	1	1	231
-228	218	0	1	230
-228	219	B	1	229
-228	220	1	1	228
-228	221	G	0	
-228	222	G	0	
-228	223	1	1	228
-228	224	C	0	
-228	225	1	1	231
-228	226	0	1	230
-228	227	B	1	229
-228	228	1	1	228
-227	-4	G	0	
-227	-3	G	0	
-227	-2	G	0	
-227	-1	B	1	229
-227	0	0	1	227
-227	1	G	0	
-227	2	0	1	227
-227	3	G	0	
-227	140	G	0	
-227	141	G	0	
-227	142	G	0	
-227	143	B	1	229
-227	144	0	1	227
-227	145	G	0	
-227	146	0	1	227
-227	147	G	0	
-227	195	G	0	
-227	196	G	0	
-227	197	G	0	
-227	198	B	1	229
-227	199	0	1	227
-227	200	G	0	
-227	201	0	1	227
-227	202	G	0	
-227	216	G	0	
-227	217	G	0	
-227	218	G	0	
-227	219	B	1	229
-227	220	0	1	227
-227	221	G	0	
-227	222	0	1	227
