n,accepted_prev,accepted_prev2,plus1_candidates,plus2_candidates,candidate_union,lattice_convex,accepted,seconds
1,0,0,1,0,1,1,1,0
2,1,0,1,0,1,1,1,1.0065e-05
3,1,1,2,2,2,2,1,1.6985e-05
4,1,1,4,5,5,5,2,4.3118e-05
5,2,1,5,11,11,9,2,9.2385e-05
6,2,2,9,22,22,17,2,0.000183667
7,2,2,7,29,29,23,1,0.000316613
8,1,2,6,37,37,30,2,0.000433573
9,2,1,8,28,28,23,2,0.000416965
10,2,2,12,46,46,38,3,0.000789421
11,3,2,16,64,64,50,3,0.00131437
12,3,3,27,98,98,75,4,0.00226075
13,4,3,22,165,165,112,4,0.00462865
14,4,4,32,145,145,92,4,0.0024744
15,4,4,35,213,213,124,4,0.00317214
16,4,4,33,228,228,133,4,0.00387958
17,4,4,31,232,232,136,4,0.00480092
18,4,4,41,241,241,144,3,0.00552522
19,3,4,29,279,279,170,3,0.00729778
20,3,3,30,241,241,144,4,0.00663822
21,4,3,44,241,241,146,5,0.00755263
22,5,4,56,367,367,201,6,0.0115068
23,6,5,58,463,463,232,6,0.0149645
24,6,6,84,513,513,281,7,0.0191152
25,7,6,66,701,701,345,7,0.0266118
26,7,7,96,595,595,350,7,0.028132
27,7,7,73,815,815,386,6,0.0360002
28,6,7,93,690,690,367,7,0.0356915
29,7,6,81,843,843,464,7,0.0482457
30,7,7,99,780,780,396,8,0.045702
31,8,7,102,960,960,448,8,0.0568437
32,8,8,116,987,987,429,8,0.059749
33,8,8,112,1127,1127,540,8,0.0792915
34,8,8,118,1140,1140,611,7,0.0941946
35,7,8,101,1135,1135,561,7,0.0953993
36,7,7,107,1062,1062,534,6,0.0959735
37,6,7,97,1126,1126,551,7,0.106223
38,7,6,103,1028,1028,488,7,0.101206
39,7,7,114,1109,1109,559,7,0.122289
40,7,7,104,1217,1217,582,7,0.138228
41,7,7,118,1149,1149,507,8,0.128263
42,8,7,135,1326,1326,578,9,0.153875
43,9,8,158,1511,1511,592,11,0.170832
44,11,9,192,1812,1812,652,12,0.206934
45,12,11,200,2212,2212,825,12,0.265975
46,12,12,218,2332,2332,903,12,0.305051
47,12,12,206,2510,2510,966,11,0.373518
48,11,12,219,2440,2440,1097,12,0.406394
49,12,11,207,2575,2575,1215,12,0.471639
50,12,12,243,2506,2506,1148,12,0.471879
51,12,12,207,2925,2925,1200,11,0.523781
52,11,12,220,2557,2557,1039,11,0.478071
53,11,11,188,2702,2702,1158,11,0.559341
54,11,11,232,2364,2364,1063,12,0.534197
55,12,11,224,2831,2831,1302,13,0.685428
56,13,12,272,2868,2868,1229,13,0.682891
57,13,13,234,3420,3420,1428,12,0.836667
58,12,13,258,3035,3035,1311,14,0.798678
59,14,12,258,3317,3317,1409,15,0.901799
60,15,14,345,3424,3424,1378,16,0.922408
