n  prev  prev2  +1-candidates  +2-candidates  union  convex  accepted  seconds
 1     0      0              1              0      1       1         1   0.0000
 2     1      0              1              0      1       1         1   0.0000
 3     1      1              2              0      2       2         1   0.0000
 4     1      1              4              0      4       4         2   0.0000
 5     2      1              5              0      5       5         2   0.0000
 6     2      2              9              0      9       9         2   0.0000
 7     2      2              7              0      7       7         1   0.0001
 8     1      2              6              0      6       6         2   0.0000
 9     2      1              8              0      8       8         2   0.0001
10     2      2             12              0     12      12         3   0.0001
11     3      2             16              0     16      16         3   0.0002
12     3      3             27              0     27      25         4   0.0003
13     4      3             22              0     22      20         4   0.0004
14     4      4             32              0     32      28         4   0.0006
15     4      4             35              0     35      31         4   0.0007
16     4      4             33              0     33      29         4   0.0008
17     4      4             31              0     31      27         4   0.0009
18     4      4             41              0     41      37         3   0.0014
19     3      4             29              0     29      25         3   0.0010
20     3      3             30              0     30      26         4   0.0012
21     4      3             44              0     44      37         5   0.0018
22     5      4             56              0     56      45         6   0.0025
23     6      5             58              0     58      48         6   0.0030
24     6      6             84              0     84      67         7   0.0044
25     7      6             66              0     66      56         7   0.0042
26     7      7             96              0     96      76         7   0.0060
27     7      7             73              0     73      60         6   0.0055
28     6      7             93              0     93      79         7   0.0075
29     7      6             81              0     81      64         7   0.0069
30     7      7             99              0     99      75         8   0.0087
31     8      7            102              0    102      73         8   0.0093
32     8      8            116              0    116      89         8   0.0120
33     8      8            112              0    112      91         8   0.0134
34     8      8            118              0    118      94         7   0.0152
35     7      8            101              0    101      79         7   0.0138
36     7      7            107              0    107      83         6   0.0155
37     6      7             97              0     97      75         7   0.0148
38     7      6            103              0    103      81         7   0.0174
39     7      7            114              0    114      88         7   0.0202
40     7      7            104              0    104      75         7   0.0186
41     7      7            118              0    118      84         8   0.0219
42     8      7            135              0    135      91         9   0.0249
43     9      8            158              0    158      99        11   0.0295
44    11      9            192              0    192     123        12   0.0380
45    12     11            200              0    200     131        12   0.0430
46    12     12            218              0    218     145        12   0.0505
47    12     12            206              0    206     150        11   0.0566
48    11     12            219              0    219     166        12   0.0650
49    12     11            207              0    207     154        12   0.0665
50    12     12            243              0    243     170        12   0.0789
