n,accepted_prev,accepted_prev2,plus1_candidates,plus2_candidates,candidate_union,lattice_convex,accepted,seconds
1,0,0,1,0,1,1,1,0
2,1,0,1,0,1,1,1,1.0606e-05
3,1,1,2,2,2,2,1,1.6284e-05
4,1,1,4,5,5,5,2,3.5663e-05
5,2,1,5,11,11,9,2,7.0506e-05
6,2,2,9,22,22,17,2,0.000137967
7,2,2,7,29,29,23,1,0.000230827
8,1,2,6,37,37,30,2,0.000286711
9,2,1,8,28,28,23,2,0.000271839
10,2,2,12,46,46,38,3,0.0004993
11,3,2,16,64,64,50,3,0.000883859
12,3,3,27,98,98,75,4,0.00135924
13,4,3,22,165,165,112,4,0.00236597
14,4,4,32,145,145,92,4,0.00228076
15,4,4,35,213,213,124,4,0.00354332
16,4,4,33,228,228,133,4,0.00439944
17,4,4,31,232,232,136,4,0.00525896
18,4,4,41,241,241,144,3,0.00607363
19,3,4,29,279,279,170,3,0.00820182
20,3,3,30,241,241,144,4,0.00739203
21,4,3,44,241,241,146,5,0.00859845
