n  prev  prev2  +1-candidates  +2-candidates  union  convex  accepted  seconds
 1     0      0              1              0      1       1         1   0.0000
 2     1      0              1              0      1       1         1   0.0000
 3     1      1              2              0      2       2         1   0.0000
 4     1      1              4              0      4       4         2   0.0000
 5     2      1              5              0      5       5         2   0.0001
 6     2      2              9              0      9       9         2   0.0001
 7     2      2              7              0      7       7         1   0.0001
 8     1      2              6              0      6       6         2   0.0001
 9     2      1              8              0      8       8         2   0.0002
10     2      2             12              0     12      12         3   0.0002
11     3      2             16              0     16      16         3   0.0005
12     3      3             27              0     27      25         4   0.0006
13     4      3             22              0     22      20         4   0.0006
14     4      4             32              0     32      28         4   0.0010
15     4      4             35              0     35      31         4   0.0012
16     4      4             33              0     33      29         4   0.0013
17     4      4             31              0     31      27         4   0.0015
18     4      4             41              0     41      37         3   0.0023
19     3      4             29              0     29      25         3   0.0018
20     3      3             30              0     30      26         4   0.0025
21     4      3             44              0     44      37         5   0.0030
OEIS A147680 prefix verified through n=21 (depth 1).
