n  mode        source-candidates  lattice-convex  axis-aligned-ellipses  seconds
 1      free                    1                1                       1    0.0002
 2      free                    1                1                       1    0.0002
 3      free                    2                2                       2    0.0006
 4      free                    5                5                       3    0.0017
 5      free                   12               10                       4    0.0047
 6      free                   35               25                       6    0.0122
 7      free                  108               48                       7    0.0268
 8      free                  369              107                      10    0.0713
 9      free                 1285              193                      13    0.1358
10      free                 4655              365                      17    0.2776
11      free                17073              621                      20    0.5119
12      free                63600             1082                      24    0.9998
13      free               238591             1715                      30    1.7948
14      free               901971             2777                      36    3.7212
