n,mode,source_candidates,lattice_convex,axis_aligned_ellipses,seconds
1,free,1,1,1,0.000226526
2,free,1,1,1,0.000152581
3,free,2,2,2,0.000539636
4,free,5,5,3,0.00169868
5,free,12,10,4,0.00472309
6,free,35,25,6,0.0127452
7,free,108,48,7,0.0300983
8,free,369,107,10,0.0650683
9,free,1285,193,13,0.134597
10,free,4655,365,17,0.286037
11,free,17073,621,20,0.521423
12,free,63600,1082,24,1.01189
13,free,238591,1715,30,1.94911
14,free,901971,2777,36,3.6943
15,grow+1,364,196,42,0.216676
16,grow+1,533,294,47,0.313904
17,grow+1,541,275,55,0.323161
18,grow+1,801,415,65,0.505041
19,grow+1,830,399,72,0.480262
20,grow+1,1152,571,80,0.745004
