n  mode        source-candidates  lattice-convex  axis-aligned-ellipses  seconds
 1      free                    1                1                       1    0.0002
 2      free                    1                1                       1    0.0002
 3      free                    2                2                       2    0.0005
 4      free                    5                5                       3    0.0017
 5      free                   12               10                       4    0.0047
 6      free                   35               25                       6    0.0127
 7      free                  108               48                       7    0.0301
 8      free                  369              107                      10    0.0651
 9      free                 1285              193                      13    0.1346
10      free                 4655              365                      17    0.2860
11      free                17073              621                      20    0.5214
12      free                63600             1082                      24    1.0119
13      free               238591             1715                      30    1.9491
14      free               901971             2777                      36    3.6943
15    grow+1                  364              196                      42    0.2167
16    grow+1                  533              294                      47    0.3139
17    grow+1                  541              275                      55    0.3232
18    grow+1                  801              415                      65    0.5050
19    grow+1                  830              399                      72    0.4803
20    grow+1                 1152              571                      80    0.7450
