config,mode=both,max_n=14,workers=10,num_cpu=56
n,count,check,promoted_transitions,max_completion_jump,over_bound_dropped,seconds_fast,seconds_complete
1,1,OK,0,0,0,0.000000000,0.000055726
2,1,OK,0,0,0,0.000178566,0.000014866
3,2,OK,0,0,0,0.000034414,0.000043698
4,5,OK,2,1,0,0.000117547,0.000447114
5,10,OK,17,2,0,0.000416394,0.000821452
6,25,OK,70,3,0,0.000345613,0.000898062
7,48,OK,203,4,0,0.000701387,0.000842005
8,107,OK,567,5,0,0.000720761,0.037765355
9,193,OK,1246,6,13,0.001408533,0.008622550
10,365,OK,2553,7,154,0.004479129,0.014190067
11,621,OK,4206,8,1018,0.005186346,0.028449108
12,1082,OK,4908,9,5145,0.009760627,0.075092638
13,1715,OK,0,10,17402,0.017613696,0.074638485
14,2777,OK,0,0,0,0.026018155,0.000000085
