batch_index,time_a,time_b,pair_a,pair_b,face_a,mixed_with_wall,batch_events
1,2,1,I1,O0,SE,false,pair:I1:O0:SE
4,13/2,3,I0,I1,S,false,pair:I0:I1:S
6,11,5,I0,I3,W,false,pair:I0:I3:W
10,47/3,22/3,I0,I1,SW,false,pair:I0:I1:SW
11,35/2,17/2,I1,O0,NW,false,pair:I1:O0:NW
14,79/4,19/2,I2,O0,S,false,pair:I2:O0:S
15,20,47/5,I1,O0,N,false,pair:I1:O0:N
16,21,9,I2,O0,S,false,pair:I2:O0:S
19,119/5,11,I2,O0,S,false,pair:I2:O0:S
21,25,12,I0,I3,W,false,pair:I0:I3:W
23,29,12,I2,I3,E,false,pair:I2:I3:E
24,86/3,79/6,I1,I2,NE,false,pair:I1:I2:NE
25,86/3,41/3,I2,I3,NE,false,pair:I2:I3:NE
28,63/2,29/2,I0,I3,SW,false,pair:I0:I3:SW
30,31,15,I0,I3,SW,false,pair:I0:I3:SW
31,65/2,57/4,I1,O0,E,false,pair:I1:O0:E
32,32,104/7,I2,O0,S,false,pair:I2:O0:S
33,67/2,16,I2,I3,E,false,pair:I2:I3:E
36,37,17,I0,I3,W,false,pair:I0:I3:W
39,365/9,19,I1,I2,NE,false,pair:I1:I2:NE
42,298/7,142/7,I2,O0,NE,false,pair:I2:O0:NE
45,412/9,62/3,I1,I2,E,false,pair:I1:I2:E
46,46,308/15,I2,O0,NE,false,pair:I2:O0:NE
48,331/7,153/7,I1,I3,N,false,pair:I1:I3:N
51,1498/29,24,I3,O0,E,false,pair:I3:O0:E
54,1810/33,76/3,I0,O0,N,false,pair:I0:O0:N
57,599/10,263/10,I0,I2,N,false,pair:I0:I2:N
58,1268/21,598/21,I3,O0,SE,false,pair:I3:O0:SE
61,62,372/13,I3,O0,SE,false,pair:I3:O0:SE
63,2560/39,1174/39,I1,O0,N,false,pair:I1:O0:N
66,2460/37,1182/37,I0,I3,N,false,pair:I0:I3:N
68,2324/33,358/11,I0,I1,SW,false,pair:I0:I1:SW
69,73,97/3,I0,O0,SE,false,pair:I0:O0:SE
72,1108/15,514/15,I2,I3,W,false,pair:I2:I3:W
75,5008/67,2310/67,I2,I3,SW,false,pair:I2:I3:SW
77,2788/37,1302/37,I0,I3,N,false,pair:I0:I3:N
78,76,3130/87,I0,O0,SE,false,pair:I0:O0:SE
80,1646/21,760/21,I0,O0,SE,false,pair:I0:O0:SE
81,2932/37,4082/111,I0,I1,SW,false,pair:I0:I1:SW
83,7052/87,3250/87,I0,I2,N,false,pair:I0:I2:N
84,15748/195,7394/195,I1,O0,SE,false,pair:I1:O0:SE
91,4296/49,278/7,I0,O0,S,false,pair:I0:O0:S
92,2748/31,1274/31,I1,I3,N,false,pair:I1:I3:N
94,6256/71,2950/71,I1,I2,NE,false,pair:I1:I2:NE
95,2925/32,1341/32,I1,O0,S,false,pair:I1:O0:S
98,375/4,44,I2,I3,NW,false,pair:I2:I3:NW
