class,A,B,C,0,1,2,prefix_60
1643,P1,P2,P0,AB,BC,CA,"0,1,0,1,2,2,0,2,0,2,0,2,2,2,2,1,2,2,1,1,2,0,0,2,2,0,0,1,0,1,0,1,0,2,0,2,2,0,0,1,2,0,1,1,1,2,2,2,2,1,1,2,1,2,1,2,2,1,1,2"
1489,P0,P2,P1,AB,BC,CA,"0,1,1,0,2,0,1,0,2,2,0,1,1,1,2,2,0,0,2,0,2,0,2,0,2,2,2,1,0,1,0,1,2,2,0,1,2,2,1,2,1,2,0,1,0,1,2,0,2,2,1,0,0,1,2,0,2,1,1,2"
2142,P0,P2,P1,AB,BC,CA,"0,1,0,1,2,1,2,1,2,2,0,1,0,2,0,2,0,2,0,0,0,0,0,0,0,0,2,0,2,0,1,2,2,0,0,2,0,0,2,2,0,1,1,0,0,0,0,2,1,2,2,1,0,2,1,1,2,2,1,2"
1529,P1,P2,P0,AB,BC,CA,"0,1,0,1,2,1,2,1,2,2,0,1,0,2,0,2,0,2,0,0,0,0,0,0,0,0,2,0,2,0,1,2,2,0,0,2,0,0,2,2,0,1,1,0,0,0,0,2,1,2,2,1,0,2,1,1,2,2,1,2"
5722,P0,P1,P2,AB,BC,CA,"0,1,0,1,2,2,2,0,0,0,2,1,2,2,2,1,2,1,2,1,1,2,1,1,1,0,2,1,2,1,0,1,2,2,2,2,1,1,2,1,0,2,2,1,2,2,2,1,0,0,1,0,2,0,1,1,2,2,0,1"
2925,P0,P1,P2,AB,BC,CA,"0,0,0,1,1,0,0,1,0,1,2,2,0,2,1,2,1,2,0,0,0,2,2,0,2,0,0,1,2,0,2,0,2,0,1,0,1,1,0,1,2,0,1,1,1,0,0,2,2,2,1,2,0,1,2,2,2,1,1,2"
1241,P0,P2,P1,AB,BC,CA,"0,0,1,0,1,0,0,1,1,0,0,2,2,1,1,2,1,1,2,1,1,2,0,1,1,0,0,2,1,2,2,0,0,1,0,0,2,2,0,2,0,1,1,1,0,0,1,1,2,2,2,2,2,0,2,0,2,0,2,1"
5629,P1,P0,P2,AB,BC,CA,"0,1,0,1,2,0,1,2,1,2,1,2,1,2,0,1,1,0,1,1,2,2,0,1,2,0,2,2,1,1,1,0,0,2,1,0,1,2,0,2,2,2,0,2,1,0,0,0,1,2,1,0,2,1,1,2,2,2,0,2"
4092,P2,P0,P1,AB,BC,CA,"0,1,0,0,0,2,0,2,0,2,0,0,2,1,1,1,2,1,1,0,1,1,0,0,0,1,2,1,2,0,0,1,2,2,0,0,1,1,2,1,0,0,1,2,2,0,1,1,2,1,2,1,0,1,2,1,2,1,2,1"
3097,P1,P2,P0,AB,BC,CA,"0,1,0,0,0,2,0,2,0,2,0,0,2,1,1,1,2,1,1,0,1,1,0,0,0,1,2,1,2,0,0,1,2,2,0,0,1,1,2,1,0,0,1,2,2,0,1,1,2,1,2,1,0,1,2,1,2,1,2,1"
1273,P2,P0,P1,AB,BC,CA,"0,0,1,0,0,0,2,0,2,0,2,0,0,2,1,1,1,2,1,1,0,1,1,0,0,0,1,2,1,2,0,0,1,2,2,0,0,1,1,2,1,0,0,1,2,2,0,1,1,2,1,2,1,0,1,2,1,2,1,2"
4678,P1,P2,P0,AB,BC,CA,"0,0,1,0,0,0,2,0,2,0,2,0,0,2,1,1,1,2,1,1,0,1,1,0,0,0,1,2,1,2,0,0,1,2,2,0,0,1,1,2,1,0,0,1,2,2,0,1,1,2,1,2,1,0,1,2,1,2,1,2"
1152,P0,P2,P1,AB,BC,CA,"0,1,1,1,2,1,1,1,0,1,0,1,0,1,1,0,2,2,2,0,2,2,1,2,2,1,1,1,2,0,2,0,1,1,2,0,0,1,1,2,2,0,2,1,1,2,0,0,1,2,2,0,2,0,2,1,2,0,2,0"
