token_index,batch,time_a,time_b,pair,mixed_with_wall,events
1,2,3/2,1/2,P0/P2,false,pair:P0:P2:E
2,6,13/2,5/2,P0/P2,false,pair:P0:P2:E
3,8,8,5/2,P1/P2,false,pair:P1:P2:W
4,9,9,5/2,P0/P2,false,pair:P0:P2:E
5,12,21/2,7/2,P1/P2,false,pair:P1:P2:W
6,14,12,9/2,P0/P2,false,pair:P0:P2:E
7,16,16,9/2,P0/P2,false,pair:P0:P2:E
8,20,59/3,49/6,P1/P2,false,pair:P1:P2:NE
9,27,63/2,13,P1/P2,false,pair:P1:P2:N
10,29,37,23/2,P0/P2,false,pair:P0:P2:S
11,33,41,27/2,P0/P2,false,pair:P0:P2:S
12,38,43,43/2,P0/P1,false,pair:P0:P1:E
13,42,101/2,23,P0/P1,false,pair:P0:P1:SE
14,43,155/3,137/6,P1/P2,false,pair:P1:P2:SE
15,47,54,51/2,P1/P2,false,pair:P1:P2:SE
16,50,291/5,263/10,P0/P1,false,pair:P0:P1:NE
17,51,65,43/2,P1/P2,false,pair:P1:P2:SE
18,53,55,173/6,P1/P2,false,pair:P1:P2:SE
19,57,319/5,59/2,P0/P1,false,pair:P0:P1:NE
20,58,135/2,28,P1/P2,false,pair:P1:P2:E
21,60,64,61/2,P1/P2,false,pair:P1:P2:E
22,63,69,173/6,P0/P1,false,pair:P0:P1:E
23,68,673/9,583/18,P0/P2,false,pair:P0:P2:SW
24,70,677/9,623/18,P1/P2,false,pair:P1:P2:N
25,73,235/3,209/6,P1/P2,false,pair:P1:P2:NW
26,74,233/3,229/6,P0/P2,false,pair:P0:P2:W
27,83,91,87/2,P0/P2,false,pair:P0:P2:E
28,87,107,71/2,P0/P1,false,pair:P0:P1:S
29,91,937/9,799/18,P1/P2,false,pair:P1:P2:S
30,92,923/9,863/18,P0/P1,false,pair:P0:P1:SE
31,95,937/9,293/6,P0/P1,false,pair:P0:P1:E
32,96,1353/13,103/2,P0/P2,false,pair:P0:P2:SE
33,99,1849/17,1671/34,P0/P2,false,pair:P0:P2:SE
34,107,117,115/2,P1/P2,false,pair:P1:P2:S
35,110,1385/11,1229/22,P0/P2,false,pair:P0:P2:E
36,113,1103/9,1103/18,P0/P2,false,pair:P0:P2:E
37,116,257/2,123/2,P0/P1,false,pair:P0:P1:N
38,121,2051/15,1873/30,P0/P1,false,pair:P0:P1:NE
39,126,419/3,4399/66,P0/P2,false,pair:P0:P2:E
40,128,5639/39,5225/78,P0/P1,false,pair:P0:P1:NE
41,132,3899/27,3829/54,P0/P2,false,pair:P0:P2:E
42,133,4849/33,1541/22,P1/P2,false,pair:P1:P2:S
43,138,9477/61,8755/122,P1/P2,false,pair:P1:P2:SE
44,141,11215/71,10441/142,P1/P2,false,pair:P1:P2:SE
45,142,1131/7,143/2,P0/P2,false,pair:P0:P2:NW
46,144,2025/13,1971/26,P0/P2,false,pair:P0:P2:NW
47,147,10731/67,10317/134,P1/P2,false,pair:P1:P2:SE
48,151,2157/13,10191/130,P1/P2,false,pair:P1:P2:S
49,154,3213/19,2981/38,P0/P1,false,pair:P0:P1:SW
50,159,2365/13,1987/26,P0/P1,false,pair:P0:P1:SW
