Collision ledger for two_growth_cases_vertical_90s_geometry_fixed.mp4
Render mapping: 30 fps; video seconds = physical time / (3/2 - 9*sqrt(2)/16).
This is the mapping used by the current geometry-fixed video: first wall event at 1.0 s,
first body-body event at 2.0 s. A listed frame is the first displayed frame at or after
the exact continuous-time event.

frame | video_sec | class | event# | exact_physical_time | contacts
--------------------------------------------------------------------------------------------------------------
   30 |  1.000000 |     8 |      1 |                 1/4 + 1/4*sqrt2 | P0:wall-N; P1:wall-E
   30 |  1.000000 |    31 |      1 |                 1/4 + 1/4*sqrt2 | P2:wall-E
   60 |  2.000000 |     8 |      2 |                 1/2 + 1/2*sqrt2 | P1-P2:face-N
   60 |  2.000000 |    31 |      2 |                 1/2 + 1/2*sqrt2 | P1-P2:face-N
   90 |  3.000000 |     8 |      3 |                 3/4 + 3/4*sqrt2 | P1:wall-S
   90 |  3.000000 |    31 |      3 |                 3/4 + 3/4*sqrt2 | P2:wall-N
  132 |  4.390524 |     8 |      4 |                   1 + 7/6*sqrt2 | P0-P1:face-SE
  150 |  5.000000 |    31 |      4 |                 5/4 + 5/4*sqrt2 | P0:wall-S
  152 |  5.057191 |     8 |      5 |                 7/6 + 4/3*sqrt2 | P0:wall-W
  180 |  6.000000 |    31 |      5 |                 3/2 + 3/2*sqrt2 | P0-P2:face-N
  210 |  7.000000 |    31 |      6 |                 7/4 + 7/4*sqrt2 | P0:wall-S; P2:wall-W
  216 |  7.171573 |     8 |      6 |                   3/2 + 2*sqrt2 | P0-P2:face-SE; P1:wall-S
  251 |  8.343146 |     8 |      7 |                 3/2 + 5/2*sqrt2 | P1-P2:face-NE
  263 |  8.757359 |     8 |      8 |                 7/4 + 5/2*sqrt2 | P2:wall-E
  270 |  9.000000 |    31 |      7 |                 9/4 + 9/4*sqrt2 | P2:wall-N
  276 |  9.171573 |     8 |      9 |                   2 + 5/2*sqrt2 | P0:wall-N; P1-P2:face-NE
  300 | 10.000000 |     8 |     10 |                 5/2 + 5/2*sqrt2 | P0:wall-E
  307 | 10.228764 |     8 |     11 |               13/6 + 17/6*sqrt2 | P0-P2:face-S
  311 | 10.343146 |     8 |     12 |                     2 + 3*sqrt2 | P1:wall-S
  318 | 10.585786 |    31 |      8 |                5/2 + 11/4*sqrt2 | P1-P2:face-NW
  331 | 11.009812 |     8 |     13 |               13/6 + 19/6*sqrt2 | P1-P2:face-NE
  348 | 11.585786 |    31 |      9 |                  11/4 + 3*sqrt2 | P1:wall-E
  371 | 12.343146 |     8 |     14 |                 5/2 + 7/2*sqrt2 | P0:wall-N; P1:wall-S
  390 | 13.000000 |    31 |     10 |               13/4 + 13/4*sqrt2 | P0:wall-N
  408 | 13.585786 |    31 |     11 |                13/4 + 7/2*sqrt2 | P1:wall-S
  419 | 13.943146 |     8 |     15 |             29/10 + 39/10*sqrt2 | P1:wall-W
  464 | 15.447715 |    31 |     12 |                  11/3 + 4*sqrt2 | P0-P1:face-SE
  480 | 16.000000 |     8 |     16 |                     4 + 4*sqrt2 | P0:wall-W
  484 | 16.114382 |    31 |     13 |               23/6 + 25/6*sqrt2 | P0:wall-W
  491 | 16.343146 |     8 |     17 |                 7/2 + 9/2*sqrt2 | P2:wall-E
  511 | 17.009812 |     8 |     18 |               11/3 + 14/3*sqrt2 | P1-P2:face-E
  515 | 17.143146 |     8 |     19 |             37/10 + 47/10*sqrt2 | P2:wall-E
  516 | 17.171573 |    31 |     14 |                   4 + 9/2*sqrt2 | P0-P2:face-E
  521 | 17.343146 |     8 |     20 |               15/4 + 19/4*sqrt2 | P1-P2:face-E
  539 | 17.952621 |     8 |     21 |                  4 + 29/6*sqrt2 | P0-P1:face-SE
  564 | 18.781049 |    31 |     15 |                9/2 + 29/6*sqrt2 | P2:wall-E
