cgroup_memory_current_bytes,cgroup_memory_max_bytes,cgroup_memory_peak_bytes,elapsed_s,load1,load15,load5,mem_buffers_kib,mem_cached_kib,mem_memavailable_kib,mem_memfree_kib,mem_memtotal_kib,psi_full_avg10,psi_some_avg10,tree_hwm_kib,tree_labels,tree_processes,tree_read_bytes,tree_rss_kib,tree_threads,tree_write_bytes
,,,0.003119,0.0,0.0,0.0,0,274072,3323180,3323180,4194304,,,0,16914:go,1,0,23412,5,0
,,,0.034975,0.0,0.0,0.0,0,274072,3318864,3318864,4194304,,,0,16914:go,1,0,35040,16,0
,,,0.067059,0.0,0.0,0.0,0,274072,3317216,3317216,4194304,,,0,16914:go;16933:compile;16935:compile;16936:compile;16937:compile,5,0,154272,26,0
,,,0.135579,0.0,0.0,0.0,0,290444,3284396,3284396,4194304,,,0,16914:go;17032:asm,2,0,53716,32,0
,,,0.258488,0.0,0.0,0.0,0,274072,3314548,3314548,4194304,,,0,16914:go,1,0,37816,29,0
,,,0.289984,0.0,0.0,0.0,0,274072,3314684,3314684,4194304,,,0,16914:go,1,0,38640,29,0
,,,0.320249,0.0,0.0,0.0,0,278160,3307780,3307780,4194304,,,0,16914:go;17080:link,2,0,63984,35,0
,,,0.36316,0.0,0.0,0.0,0,278160,3298740,3298740,4194304,,,0,16914:go;17080:link,2,0,74876,36,0
,,,0.392174,0.0,0.0,0.0,0,278160,3294768,3294768,4194304,,,0,16914:go;17080:link,2,0,86808,36,0
,,,0.421293,0.0,0.0,0.0,0,278160,3293776,3293776,4194304,,,0,16914:go;17080:link,2,0,96460,38,0
,,,0.451197,0.0,0.0,0.0,0,274072,3315076,3315076,4194304,,,0,16914:go,1,0,37728,30,0
,,,0.481451,0.0,0.0,0.0,0,263844,3336584,3336584,4194304,,,0,,0,0,0,0,0
