collision,total_bits
1,8
2,7
3,12
4,16
5,20
6,20
7,20
8,20
9,24
10,24
11,24
12,24
13,24
14,24
15,24
16,24
17,28
18,28
19,33
20,33
21,28
22,33
23,43
24,35
25,47
26,36
27,29
28,47
29,52
30,37
31,28
32,36
33,37
34,36
35,47
36,37
37,36
38,37
39,47
40,67
41,62
42,49
43,57
44,47
45,41
46,61
47,39
48,32
49,50
50,41
51,57
52,57
53,51
54,61
55,32
56,41
57,57
58,57
59,56
60,57
61,66
62,56
63,81
64,86
65,76
66,81
67,63
68,81
69,77
70,62
71,86
72,86
73,68
74,86
75,81
76,68
77,71
78,61
79,66
80,61
81,86
82,86
83,66
84,86
85,58
86,77
87,93
88,97
89,96
90,48
91,97
92,97
93,98
94,98
95,99
96,87
97,61
98,79
99,83
100,66
101,95
102,92
103,100
104,90
105,100
106,92
107,100
108,105
109,86
110,104
111,104
112,94
113,104
114,103
115,100
116,86
117,59
118,100
119,103
120,105
121,100
122,95
123,87
124,86
125,95
126,88
127,86
128,100
129,91
130,95
131,81
132,91
133,95
134,89
135,125
136,112
137,109
138,73
139,119
140,115
141,115
142,119
143,116
144,119
145,101
146,91
147,116
148,119
149,116
150,110
151,90
152,82
153,76
154,115
155,91
156,96
157,115
158,115
159,125
160,92
161,111
162,116
163,125
164,117
165,104
166,125
167,100
168,117
169,120
170,79
171,95
172,103
173,110
174,110
175,79
176,110
177,125
178,115
179,88
180,130
181,108
182,88
183,111
184,108
185,101
186,100
187,107
188,111
189,108
190,100
191,108
192,131
193,125
194,127
195,128
196,116
197,128
198,74
199,116
200,119
201,128
202,105
203,119
204,118
205,130
206,133
207,130
208,137
209,126
210,137
211,130
212,109
213,112
214,132
215,116
216,134
217,137
218,134
219,137
220,133
221,137
222,138
223,131
224,134
225,138
226,143
227,154
228,156
229,118
230,149
231,156
232,144
233,146
234,143
235,133
236,146
237,143
238,137
239,152
240,159
241,146
242,169
243,174
244,164
245,169
246,169
247,173
248,171
249,164
250,167
251,176
252,163
253,144
254,184
255,185
256,163
257,184
258,166
259,163
260,184
261,144
262,182
263,203
264,189
265,185
266,192
267,187
268,187
269,189
270,180
271,193
272,194
273,182
274,193
275,194
276,193
277,194
278,194
279,193
280,194
281,193
282,203
283,199
284,195
285,205
286,199
287,205
288,195
289,208
290,195
291,194
292,194
293,212
294,188
295,204
296,212
297,203
298,204
299,189
300,212
301,204
302,203
303,205
304,207
305,215
306,209
307,184
308,210
309,225
310,226
311,210
312,225
313,210
314,226
315,226
316,234
317,238
318,225
319,234
320,244
321,229
322,234
323,244
324,233
325,234
326,244
327,229
328,189
329,245
330,194
331,239
332,228
333,245
