collision,total_bits
1,8
2,16
3,16
4,10
5,20
6,20
7,20
8,24
9,24
10,24
11,24
12,24
13,24
14,24
15,24
16,28
17,28
18,28
19,28
20,28
21,37
22,37
23,28
24,37
25,44
26,36
27,47
28,37
29,29
30,47
31,52
32,37
33,29
34,37
35,37
36,37
37,47
38,37
39,38
40,38
41,48
42,67
43,62
44,49
45,57
46,48
47,41
48,61
49,40
50,32
51,50
52,41
53,58
54,57
55,51
56,61
57,34
58,40
59,57
60,58
61,56
62,58
63,66
64,56
65,81
66,86
67,76
68,81
69,65
70,81
71,77
72,63
73,86
74,86
75,68
76,86
77,81
78,68
79,71
80,61
81,66
82,61
83,86
84,86
85,66
86,86
87,59
88,78
89,94
90,97
91,97
92,49
93,98
94,98
95,98
96,99
97,99
98,87
99,61
100,79
101,84
102,66
103,95
104,92
105,100
106,90
107,100
108,92
109,100
110,105
111,86
112,105
113,105
114,94
115,104
116,104
117,100
118,86
119,60
120,100
121,104
122,105
123,100
124,95
125,88
126,86
127,95
128,88
129,86
130,100
131,91
132,95
133,81
134,91
135,95
136,89
137,125
138,113
139,109
140,74
141,119
142,115
143,116
144,119
145,116
146,119
147,101
148,91
149,116
150,119
151,116
152,110
153,90
154,82
155,77
156,115
157,91
158,96
159,115
160,115
161,125
162,92
163,111
164,116
165,125
166,117
167,104
168,125
169,100
170,117
171,120
172,79
173,95
174,103
175,110
176,110
177,79
178,110
179,125
180,116
181,89
182,130
183,108
184,88
185,111
186,108
187,101
188,100
189,108
190,111
191,109
192,100
193,108
194,131
195,125
196,129
197,128
198,116
199,128
200,74
201,116
202,119
203,128
204,105
205,119
206,119
207,130
208,133
209,130
210,137
211,126
212,137
213,130
214,109
215,112
216,132
217,116
218,134
219,137
220,134
221,137
222,134
223,138
224,138
225,131
226,134
227,138
228,143
229,154
230,156
231,118
232,149
233,156
234,144
235,146
236,143
237,133
238,146
239,143
240,137
241,152
242,159
243,146
244,169
245,174
246,164
247,169
248,169
249,173
250,171
251,164
252,167
253,176
254,163
255,144
256,184
257,185
258,163
259,184
260,166
261,164
262,184
263,144
264,182
265,203
266,189
267,185
268,192
269,187
270,187
271,189
272,180
273,193
274,194
275,182
276,194
277,194
278,194
279,195
280,195
281,194
282,195
283,194
284,204
285,199
286,195
287,206
288,199
289,205
290,195
