collision,total_bits
1,11
2,4
3,14
4,10
5,9
6,24
7,17
8,23
9,17
10,17
11,17
12,13
13,11
14,18
15,14
16,19
17,19
18,25
19,19
20,28
21,15
22,15
23,15
24,25
25,28
26,25
27,28
28,31
29,26
30,27
31,39
32,42
33,42
34,30
35,36
36,31
37,42
38,32
39,36
40,43
41,33
42,27
43,33
44,37
45,44
46,51
47,55
48,45
49,45
50,54
51,56
52,45
53,54
54,58
55,56
56,62
57,55
58,64
59,64
60,59
61,59
62,49
63,71
64,59
65,64
66,68
67,77
68,68
69,69
70,77
71,68
72,77
73,69
74,77
75,66
76,56
77,41
78,69
79,59
80,57
81,78
82,29
83,56
84,70
85,42
86,53
87,71
88,71
89,53
90,71
91,43
92,53
93,71
94,68
95,80
96,70
97,76
98,80
99,68
100,71
101,68
102,68
103,71
104,79
105,63
106,61
107,63
108,71
109,57
110,79
111,84
112,84
113,78
114,67
115,74
116,51
117,67
118,67
119,76
120,73
121,88
122,82
123,76
124,82
125,76
126,76
127,76
128,82
129,76
130,74
131,88
132,82
133,88
134,85
135,91
136,85
137,79
138,85
139,89
140,85
141,91
142,82
143,85
144,85
145,79
146,89
147,85
148,92
149,85
150,82
151,85
152,92
153,89
154,85
155,85
156,80
157,85
158,92
159,85
160,91
161,91
162,92
163,90
164,91
165,91
166,91
167,93
168,87
169,89
170,94
171,95
172,89
173,90
174,100
175,97
176,95
177,102
178,103
179,96
180,100
181,102
182,90
183,90
184,80
185,102
186,90
187,91
188,103
189,94
190,83
191,103
192,84
193,94
194,103
195,72
196,111
197,110
198,103
199,88
200,110
201,109
202,100
203,90
204,96
205,76
206,109
207,106
208,106
209,103
210,88
211,106
212,106
213,104
214,95
215,113
216,114
217,97
218,95
219,97
220,114
221,114
222,95
223,111
224,90
225,93
226,111
227,103
228,87
229,90
230,103
231,98
232,92
233,98
234,92
235,105
236,93
237,93
238,81
239,93
240,96
241,105
242,93
243,106
244,93
245,96
246,93
247,93
248,105
249,102
250,86
251,107
252,90
253,96
254,87
255,87
256,87
257,60
258,111
259,86
260,90
261,78
262,90
263,102
264,97
265,90
266,102
267,97
268,90
269,102
270,102
271,104
272,87
273,99
274,90
275,102
276,98
277,93
278,108
279,111
280,96
281,108
282,111
283,108
284,99
285,96
286,96
287,108
288,111
289,108
290,93
291,98
292,102
293,90
294,103
295,93
296,105
297,99
298,102
299,99
300,90
301,102
302,90
303,99
304,99
305,93
306,111
307,102
308,114
309,104
310,108
311,108
312,108
313,114
314,108
315,108
316,90
317,109
318,108
319,111
320,108
321,108
322,109
323,108
324,108
325,117
326,120
327,120
328,105
329,120
330,105
331,106
332,120
333,105
334,120
335,120
336,106
337,120
338,120
339,117
340,126
341,118
342,105
343,102
344,102
345,126
346,120
347,110
348,96
349,126
350,110
351,126
352,110
353,120
354,114
355,131
356,117
357,138
358,128
359,125
360,114
361,124
362,114
363,126
364,133
365,126
366,132
367,128
368,138
369,128
370,123
371,128
372,129
373,142
374,143
375,141
376,137
377,123
378,128
379,115
380,141
381,142
382,143
383,132
384,137
385,142
386,142
387,143
388,142
389,132
390,142
391,143
392,142
393,142
394,147
395,147
396,146
397,126
398,146
399,147
400,147
401,142
402,142
403,128
404,126
405,123
406,139
407,126
408,137
409,123
410,128
411,132
412,126
413,123
414,137
415,126
416,110
417,128
418,128
419,138
420,137
421,107
422,138
423,140
424,146
425,134
426,138
427,125
428,146
429,143
430,134
431,142
432,146
433,143
434,134
435,146
436,143
437,134
438,138
439,137
440,137
441,125
442,114
443,135
444,128
445,135
446,135
447,135
448,124
449,135
450,125
451,133
452,128
453,132
454,134
455,136
456,137
457,134
458,111
459,134
460,111
461,134
462,125
463,146
464,134
465,138
466,146
467,146
468,154
469,135
470,146
471,151
472,107
473,152
474,152
475,140
476,148
477,143
478,146
479,102
480,146
481,134
482,143
483,146
484,102
485,146
486,154
487,152
488,155
489,152
490,148
491,152
492,150
493,152
494,152
495,155
496,152
497,152
498,152
499,158
500,149
501,164
502,143
503,161
504,155
505,170
506,166
507,164
508,161
509,149
510,164
511,149
512,149
513,152
514,140
515,161
516,161
517,158
518,149
519,140
520,149
521,146
522,158
523,152
524,160
525,161
526,155
527,158
528,158
529,158
530,155
531,158
532,158
533,95
534,158
535,149
536,155
537,155
538,134
539,152
540,152
541,98
542,161
543,155
544,167
545,146
546,164
547,170
548,166
549,167
550,176
551,182
552,176
553,176
554,182
555,173
556,176
557,182
558,179
559,187
560,176
561,176
562,185
563,176
564,187
565,176
566,185
567,176
568,187
569,158
570,176
571,185
572,187
573,194
574,188
575,187
576,188
577,182
578,173
579,185
580,188
581,170
582,185
583,170
584,188
585,170
586,188
587,188
588,176
589,185
590,176
591,176
592,188
593,187
594,185
595,188
596,185
597,191
598,189
599,168
600,189
601,191
602,197
603,194
604,194
605,194
606,194
607,194
608,176
609,194
610,179
611,194
612,203
613,206
614,200
615,197
616,195
617,206
618,203
619,198
620,209
621,203
622,198
623,210
624,209
625,198
626,203
627,209
628,198
629,210
630,198
631,209
632,203
633,198
634,174
635,198
636,209
637,203
638,198
639,209
640,209
641,198
642,210
643,198
644,203
645,209
646,209
647,198
648,210
649,198
650,203
651,209
652,198
653,209
654,198
655,209
656,198
657,210
658,203
659,198
660,209
661,209
662,203
663,198
664,206
665,198
666,209
667,195
668,198
669,193
670,198
671,203
672,198
673,209
674,206
675,209
676,203
677,198
678,198
679,209
680,210
681,199
682,197
683,209
684,203
685,199
686,216
687,216
688,219
689,204
690,210
691,225
692,218
693,217
694,209
695,212
696,206
697,215
698,203
699,215
700,225
701,203
702,226
703,215
704,226
705,203
706,221
707,230
708,219
709,224
710,204
711,216
712,200
713,206
714,221
715,224
716,215
717,193
718,215
719,215
720,224
721,206
722,227
723,185
724,212
725,224
726,212
727,221
728,212
729,215
730,185
731,224
732,207
733,227
734,212
735,185
736,225
737,212
738,215
739,215
740,193
741,224
742,225
743,213
744,224
745,221
746,215
747,224
748,229
749,221
750,224
751,215
752,199
753,224
754,221
755,224
756,229
757,221
758,215
759,218
760,218
761,221
762,213
763,225
764,212
765,218
766,212
767,225
768,185
769,212
770,225
771,218
772,195
773,216
774,195
775,220
776,215
777,197
778,225
779,200
780,215
781,225
782,211
783,226
784,221
785,215
786,211
787,227
788,222
789,230
790,224
791,224
792,213
793,224
794,226
795,222
796,224
797,230
798,227
799,211
800,215
801,221
802,221
803,227
804,221
805,226
806,219
807,227
808,224
809,227
810,236
811,230
812,232
813,225
814,224
815,235
816,225
817,232
818,235
819,225
820,235
821,232
822,238
823,238
824,244
825,248
826,245
827,248
828,238
829,238
830,238
831,220
832,238
833,229
834,238
835,238
836,238
837,238
838,240
839,235
840,225
841,241
842,226
843,240
844,240
845,236
846,226
847,220
848,226
849,241
850,238
851,247
852,245
853,240
854,245
855,251
856,228
857,250
858,250
859,245
860,228
861,244
862,244
863,228
864,239
865,255
866,228
867,238
868,246
869,256
870,262
871,256
872,253
873,219
874,250
875,255
876,228
877,250
878,228
879,255
880,245
881,228
882,255
883,250
884,228
885,211
886,254
887,244
888,250
889,254
890,239
891,254
892,250
893,254
894,250
895,240
896,245
897,223
898,244
899,240
900,245
901,245
902,244
903,236
904,231
905,244
906,244
907,231
908,244
909,235
910,244
911,244
912,250
913,244
914,256
915,246
916,250
917,254
918,250
919,255
920,259
921,246
922,244
923,251
924,250
925,244
926,244
927,246
928,246
929,256
930,257
931,265
932,265
933,264
934,253
935,269
936,265
937,261
938,265
939,269
940,266
941,273
942,277
943,273
944,271
945,273
946,277
947,273
948,273
949,277
950,283
951,283
952,283
953,286
954,286
955,280
956,283
957,290
958,289
959,280
960,290
961,288
962,286
963,295
964,274
965,293
966,286
967,301
968,295
969,304
970,293
971,295
972,304
973,295
974,295
975,288
976,301
977,303
978,310
979,309
980,290
981,309
982,301
983,290
984,310
985,309
986,306
987,313
988,313
989,313
990,313
991,313
992,313
993,313
994,319
995,318
996,320
997,319
998,303
999,275
1000,295
