pair_contact_index,event_step,face_label,ternary_face_class_mod_3
0,2,0,0
1,6,9,0
2,11,21,0
3,15,3,0
4,19,11,2
5,23,11,2
6,29,21,0
7,35,12,0
8,39,5,2
9,42,8,2
10,44,9,0
11,48,3,0
12,50,3,0
13,52,3,0
14,57,22,1
15,61,5,2
16,63,5,2
17,66,5,2
18,68,5,2
19,71,3,0
20,78,21,0
21,85,23,2
22,87,23,2
23,96,16,1
24,101,19,1
25,107,13,1
26,112,8,2
27,115,7,1
28,118,9,0
29,121,11,2
30,128,19,1
31,130,18,0
32,133,19,1
33,136,20,2
34,138,21,0
35,140,22,1
36,146,12,0
37,150,5,2
38,153,3,0
39,158,8,2
40,160,6,0
41,164,6,0
42,167,10,1
43,170,15,0
44,172,15,0
45,177,19,1
46,180,19,1
47,183,18,0
48,185,18,0
49,188,18,0
50,190,18,0
51,192,19,1
52,195,20,2
53,202,5,2
54,205,22,1
55,207,22,1
56,209,18,0
57,211,17,2
58,216,11,2
59,226,11,2
60,232,9,0
61,239,5,2
62,241,5,2
63,247,9,0
64,251,5,2
65,255,0,0
66,262,19,1
67,265,22,1
68,270,1,1
69,282,2,2
70,289,16,1
71,292,16,1
72,298,18,0
73,303,22,1
74,305,3,0
75,307,5,2
76,315,1,1
77,318,21,0
78,324,12,0
79,328,10,1
80,331,6,0
81,334,6,0
82,344,9,0
83,347,11,2
84,349,14,2
85,355,4,1
86,359,3,0
87,363,4,1
88,368,4,1
89,374,20,2
90,378,21,0
91,380,21,0
92,382,23,2
93,384,23,2
94,390,4,1
95,394,2,2
96,398,0,0
97,407,12,0
98,410,15,0
99,417,12,0
100,428,0,0
101,435,22,1
102,438,0,0
103,442,3,0
104,446,5,2
105,450,4,1
106,453,2,2
107,455,0,0
108,459,0,0
109,465,9,0
110,470,0,0
111,472,0,0
112,476,17,2
113,482,14,2
114,486,12,0
115,488,10,1
116,490,9,0
117,492,9,0
118,495,8,2
119,498,8,2
120,509,12,0
121,513,11,2
122,516,15,0
123,518,15,0
124,524,7,1
125,527,9,0
126,529,9,0
127,531,8,2
128,533,5,2
129,538,0,0
130,543,20,2
131,557,15,0
132,561,15,0
133,568,21,0
134,574,14,2
135,577,13,1
136,582,10,1
137,586,5,2
138,592,3,0
139,596,16,1
140,599,18,0
141,602,17,2
142,608,3,0
143,612,5,2
144,615,3,0
145,617,3,0
146,619,3,0
147,621,1,1
148,625,5,2
149,631,0,0
150,634,0,0
151,638,18,0
152,641,17,2
153,643,17,2
154,647,15,0
155,655,21,0
156,659,19,1
157,661,20,2
158,664,17,2
159,671,11,2
160,675,5,2
161,682,23,2
162,687,10,1
163,691,5,2
164,693,5,2
165,695,5,2
166,699,3,0
167,706,1,1
168,708,3,0
169,715,5,2
170,721,13,1
171,727,9,0
172,730,11,2
173,735,7,1
174,738,3,0
175,743,1,1
176,747,1,1
177,752,2,2
178,760,20,2
179,763,21,0
180,767,0,0
181,778,17,2
182,785,11,2
183,792,9,0
184,794,7,1
185,797,3,0
186,802,10,1
187,805,10,1
188,814,18,0
189,817,13,1
190,820,11,2
191,822,10,1
192,826,6,0
193,831,11,2
194,835,10,1
195,845,5,2
196,853,18,0
197,862,5,2
198,866,8,2
199,872,5,2
200,877,12,0
201,880,14,2
202,882,15,0
203,884,15,0
204,888,10,1
205,891,4,1
206,900,7,1
207,904,3,0
208,911,7,1
209,921,13,1
210,924,11,2
211,928,4,1
212,930,7,1
213,933,12,0
214,937,0,0
215,943,14,2
216,947,16,1
217,952,18,0
218,955,16,1
219,961,15,0
220,967,21,0
221,971,21,0
222,977,21,0
223,982,15,0
224,984,15,0
225,986,14,2
226,995,18,0
227,998,15,0
