pair_contact_index,event_step,face_label,ternary_face_class_mod_3
0,4,6,0
1,8,21,0
2,13,9,0
3,17,3,0
4,21,19,1
5,25,19,1
6,31,9,0
7,37,18,0
8,41,1,1
9,44,22,1
10,46,21,0
11,50,3,0
12,52,3,0
13,54,3,0
14,59,8,2
15,63,1,1
16,65,1,1
17,68,1,1
18,70,1,1
19,73,3,0
20,80,9,0
21,87,7,1
22,89,7,1
23,98,14,2
24,103,11,2
25,109,17,2
26,114,22,1
27,117,23,2
28,120,21,0
29,123,19,1
30,130,11,2
31,132,12,0
32,135,11,2
33,138,10,1
34,140,9,0
35,142,8,2
36,148,18,0
37,152,1,1
38,155,3,0
39,160,22,1
40,162,0,0
41,166,0,0
42,169,20,2
43,172,15,0
44,174,15,0
45,179,11,2
46,182,11,2
47,185,12,0
48,187,12,0
49,190,12,0
50,192,12,0
51,194,11,2
52,197,10,1
53,204,1,1
54,207,8,2
55,209,8,2
56,211,12,0
57,213,13,1
58,218,19,1
59,228,19,1
60,234,21,0
61,241,1,1
62,243,1,1
63,249,21,0
64,253,1,1
65,257,6,0
66,264,11,2
67,267,8,2
68,272,5,2
69,284,4,1
70,291,14,2
71,294,14,2
72,300,12,0
73,305,8,2
74,307,3,0
75,309,1,1
76,317,5,2
77,320,9,0
78,326,18,0
79,330,20,2
80,333,0,0
81,336,0,0
82,346,21,0
83,349,19,1
84,351,16,1
85,357,2,2
86,361,3,0
87,365,2,2
88,370,2,2
89,376,10,1
90,380,9,0
91,382,9,0
92,384,7,1
93,386,7,1
94,392,2,2
95,396,4,1
96,400,6,0
97,409,18,0
98,412,15,0
99,419,18,0
100,430,6,0
101,437,8,2
102,440,6,0
103,444,3,0
104,448,1,1
105,452,2,2
106,455,4,1
107,457,6,0
108,461,6,0
109,467,21,0
110,472,6,0
111,474,6,0
112,478,13,1
113,484,16,1
114,488,18,0
115,490,20,2
116,492,21,0
117,494,21,0
118,497,22,1
119,500,22,1
120,511,18,0
121,515,19,1
122,518,15,0
123,520,15,0
124,526,23,2
125,529,21,0
126,531,21,0
127,533,22,1
128,535,1,1
129,540,6,0
130,545,10,1
131,559,15,0
132,563,15,0
133,570,9,0
134,576,16,1
135,579,17,2
136,584,20,2
137,588,1,1
138,594,3,0
139,598,14,2
140,601,12,0
141,604,13,1
142,610,3,0
143,614,1,1
144,617,3,0
145,619,3,0
146,621,3,0
147,623,5,2
148,627,1,1
149,633,6,0
150,636,6,0
151,640,12,0
152,643,13,1
153,645,13,1
154,649,15,0
155,657,9,0
156,661,11,2
157,663,10,1
158,666,13,1
159,673,19,1
160,677,1,1
161,684,7,1
162,689,20,2
163,693,1,1
164,695,1,1
165,697,1,1
166,701,3,0
167,708,5,2
168,710,3,0
169,717,1,1
170,723,17,2
171,729,21,0
172,732,19,1
173,737,23,2
174,740,3,0
175,745,5,2
176,749,5,2
177,754,4,1
178,762,10,1
179,765,9,0
180,769,6,0
181,780,13,1
182,787,19,1
183,794,21,0
184,796,23,2
185,799,3,0
186,804,20,2
187,807,20,2
188,816,12,0
189,819,17,2
190,822,19,1
191,824,20,2
192,828,0,0
193,833,19,1
194,837,20,2
195,847,1,1
196,855,12,0
197,864,1,1
198,868,22,1
199,874,1,1
200,879,18,0
201,882,16,1
202,884,15,0
203,886,15,0
204,890,20,2
205,893,2,2
206,902,23,2
207,906,3,0
208,913,23,2
209,923,17,2
210,926,19,1
211,930,2,2
212,932,23,2
213,935,18,0
214,939,6,0
215,945,16,1
216,949,14,2
217,954,12,0
218,957,14,2
219,963,15,0
220,969,9,0
221,973,9,0
222,979,9,0
223,984,15,0
224,986,15,0
225,988,16,1
226,997,12,0
227,1000,15,0
