pair_contact_index,event_step,face_label,ternary_face_class_mod_3
0,0,1,1
1,2,3,0
2,5,2,2
3,8,1,1
4,13,0,0
5,18,11,2
6,21,10,1
7,24,8,2
8,28,4,1
9,30,5,2
10,32,5,2
11,46,8,2
12,54,4,1
13,56,5,2
14,58,5,2
15,66,5,2
16,71,9,0
17,74,11,2
18,78,2,2
19,81,3,0
20,84,2,2
21,94,1,1
22,98,10,1
23,104,9,0
24,110,8,2
25,113,8,2
26,119,8,2
27,122,10,1
28,129,4,1
29,133,5,2
30,142,3,0
31,150,3,0
32,160,6,0
33,168,10,1
34,171,8,2
35,173,8,2
36,177,7,1
37,180,8,2
38,187,1,1
39,191,3,0
40,196,8,2
41,201,5,2
42,206,5,2
43,213,7,1
44,217,3,0
45,223,4,1
46,226,6,0
47,231,11,2
48,235,7,1
49,243,9,0
50,249,8,2
51,251,9,0
52,258,3,0
53,261,1,1
54,270,1,1
55,273,2,2
56,277,5,2
57,280,6,0
58,282,6,0
59,286,6,0
60,288,6,0
61,290,5,2
62,294,5,2
63,297,4,1
64,304,10,1
65,306,11,2
66,309,10,1
67,316,6,0
68,319,3,0
69,325,11,2
70,328,0,0
71,330,0,0
72,339,7,1
73,343,6,0
74,354,1,1
75,356,1,1
76,359,11,2
77,363,1,1
78,366,1,1
79,372,2,2
80,375,1,1
81,380,1,1
82,383,0,0
83,389,0,0
84,394,2,2
85,397,3,0
86,400,4,1
87,402,4,1
88,406,6,0
89,411,9,0
90,416,5,2
91,418,5,2
92,423,8,2
93,427,9,0
94,437,10,1
95,441,8,2
96,444,9,0
97,451,7,1
98,453,7,1
99,455,6,0
100,462,10,1
101,466,8,2
102,468,7,1
103,471,7,1
104,476,8,2
105,486,4,1
106,490,3,0
107,499,7,1
108,503,8,2
109,508,8,2
110,514,4,1
111,519,4,1
112,522,4,1
113,524,4,1
114,533,7,1
115,536,7,1
116,542,11,2
117,544,11,2
118,548,11,2
119,550,11,2
120,558,11,2
121,572,8,2
122,577,10,1
123,579,10,1
124,586,7,1
125,590,9,0
126,596,8,2
127,602,11,2
128,612,4,1
129,618,1,1
130,624,3,0
131,634,9,0
132,639,6,0
133,645,3,0
134,653,6,0
135,660,9,0
136,667,6,0
137,669,6,0
138,675,3,0
139,682,6,0
140,686,7,1
141,690,8,2
142,693,7,1
143,696,5,2
144,706,11,2
145,709,10,1
146,713,10,1
147,717,10,1
148,719,10,1
149,722,9,0
150,727,3,0
151,729,3,0
152,733,3,0
153,738,8,2
154,740,8,2
155,743,9,0
156,748,6,0
157,756,6,0
158,762,10,1
159,772,10,1
160,775,10,1
161,777,10,1
162,783,6,0
163,787,5,2
164,792,3,0
165,794,3,0
166,798,1,1
167,802,1,1
168,808,4,1
169,811,5,2
170,814,4,1
171,817,3,0
172,821,11,2
173,823,11,2
174,828,11,2
175,838,2,2
176,841,2,2
177,844,2,2
178,849,10,1
179,851,10,1
180,855,11,2
181,859,9,0
182,862,9,0
183,867,7,1
184,872,2,2
185,880,3,0
186,885,11,2
187,894,11,2
188,901,11,2
189,911,10,1
190,915,10,1
191,920,5,2
192,923,3,0
193,928,10,1
194,930,10,1
195,934,11,2
196,940,5,2
197,950,5,2
198,952,5,2
199,955,6,0
200,959,6,0
201,961,6,0
202,963,5,2
203,967,4,1
204,970,6,0
205,975,2,2
206,977,2,2
207,982,0,0
208,986,11,2
209,994,5,2
210,997,4,1
211,1000,2,2
