n,count,a,b,chord2,seconds
0,1,0,0,0,1.462e-06
1,5,2,0,4,2.594e-06
2,14,3,1,10,4.987e-06
3,32,3,0,9,1.0706e-05
4,52,7,2,53,2.8132e-05
5,81,8,6,100,3.269e-05
6,116,8,8,128,6.3006e-05
7,157,12,7,193,7.3071e-05
8,208,5,0,25,0.000107603
9,258,14,2,200,0.000162997
10,319,19,1,362,0.00020563
11,384,20,9,481,0.000282837
12,457,18,15,549,0.00035705
13,540,9,9,162,0.000434998
14,623,24,13,745,0.000574699
15,716,13,0,169,0.000667248
16,812,17,0,289,0.000824326
17,914,13,13,338,0.00109366
18,1025,33,13,1258,0.00119715
19,1142,34,5,1181,0.00141578
20,1268,24,24,1152,0.00166056
21,1396,16,16,512,0.00211986
22,1528,10,5,125,0.00225284
23,1669,45,2,2029,0.00259313
24,1816,44,19,2297,0.00280848
25,1976,15,15,450,0.00323732
26,2131,44,26,2612,0.00373287
27,2300,45,14,2221,0.00428462
28,2472,23,0,529,0.0045776
29,2650,44,36,3232,0.00507278
30,2836,47,0,2209,0.00583986
31,3028,49,35,3626,0.0100757
32,3228,57,25,3874,0.0111947
33,3436,18,18,648,0.00787925
34,3644,51,7,2650,0.00835224
35,3859,47,39,3730,0.00925474
36,4080,63,33,5058,0.0102032
37,4314,47,0,2209,0.0119702
38,4548,22,22,968,0.0119881
39,4792,51,0,2601,0.0140797
40,5038,40,18,1924,0.0138586
41,5289,50,26,3176,0.0153467
42,5555,64,50,6596,0.0165645
43,5818,79,32,7265,0.0182423
44,6092,58,49,5765,0.0188629
45,6376,32,32,2048,0.0203156
46,6668,63,0,3969,0.0219938
47,6952,72,33,6273,0.0248536
48,7250,93,23,9178,0.0248921
49,7556,69,59,8242,0.0286323
50,7863,80,47,8609,0.0286881
51,8190,71,4,5057,0.0318202
52,8508,59,57,6730,0.0328686
53,8836,94,23,9365,0.0347215
54,9180,77,68,10553,0.0368837
55,9514,83,2,6893,0.0417049
56,9866,107,0,11449,0.0424819
57,10217,109,15,12106,0.0454609
58,10580,21,7,490,0.0510598
59,10960,61,0,3721,0.0520355
60,11321,80,54,9316,0.0543538
61,11704,89,4,7937,0.0569371
62,12096,27,0,729,0.0586165
63,12492,85,0,7225,0.0649664
64,12892,47,0,2209,0.069967
65,13288,121,0,14641,0.0747846
66,13699,125,37,16994,0.0737012
67,14116,128,24,16960,0.0782123
68,14542,101,73,15530,0.0860298
69,14970,96,89,17137,0.0895659
70,15406,87,0,7569,0.0956699
71,15859,120,18,14724,0.0982865
72,16296,80,80,12800,0.10267
73,16756,115,53,16034,0.105316
74,17219,110,48,14404,0.107942
75,17692,22,6,520,0.115656
76,18168,97,0,9409,0.142555
77,18643,119,73,19490,0.124083
78,19129,109,80,18281,0.152853
79,19620,94,35,10061,0.133017
80,20123,118,98,23528,0.13858
81,20636,64,64,8192,0.143198
82,21141,163,6,26605,0.152919
83,21658,158,9,25045,0.153189
84,22181,130,98,26504,0.157922
85,22714,143,85,27674,0.1652
86,23250,141,0,19881,0.174665
87,23790,160,64,29696,0.177752
88,24351,168,26,28900,0.190425
89,24898,172,25,30209,0.192199
90,25462,173,8,29993,0.201683
91,26030,157,84,31705,0.209553
92,26612,46,23,2645,0.212045
93,27192,56,56,6272,0.222081
94,27776,158,96,34180,0.229705
95,28372,145,0,21025,0.239035
96,28972,127,127,32258,0.248081
97,29582,134,99,27757,0.248134
98,30187,136,13,18665,0.260905
99,30808,187,2,34973,0.266875
100,31433,137,123,33898,0.279082
101,32061,178,91,39965,0.293912
102,32708,199,0,39601,0.319557
103,33345,169,116,42017,0.327176
104,33997,169,69,33322,0.314576
105,34664,103,0,10609,0.32636
106,35316,107,0,11449,0.337806
107,35988,187,22,35453,0.35467
108,36658,207,0,42849,0.371173
109,37345,169,133,46250,0.344372
110,38033,215,41,47906,0.351495
111,38724,197,102,49213,0.385376
112,39428,35,14,1421,0.362104
113,40130,201,32,41425,0.374321
114,40862,197,95,47834,0.388563
115,41564,95,95,18050,0.398559
116,42294,197,0,38809,0.406742
117,43027,195,125,53650,0.416557
118,43757,186,145,55621,0.430565
119,44516,214,102,56200,0.466876
120,45257,185,150,56725,0.47561
121,46014,201,113,53170,0.466836
122,46792,99,0,9801,0.475814
123,47544,180,98,42004,0.494407
124,48325,200,145,61025,0.499897
125,49107,178,154,55400,0.509301
126,49902,171,171,58482,0.523947
127,50698,243,39,60570,0.540103
128,51490,247,13,61178,0.550069
129,52302,249,0,62001,0.559614
130,53108,239,0,57121,0.583362
131,53940,241,59,61562,0.603572
132,54760,143,143,40898,0.610167
133,55591,256,70,70436,0.623922
134,56432,255,44,66961,0.643249
135,57270,245,108,71689,0.659385
136,58130,198,159,64485,0.664031
137,58984,219,156,72297,0.705883
138,59856,227,0,51529,0.704997
139,60728,101,0,10201,0.715167
140,61591,253,53,66818,0.729746
141,62483,242,2,58568,0.763186
142,63364,239,145,78146,0.769572
143,64287,212,176,75920,0.786435
144,65168,274,83,81965,0.801851
145,66078,231,152,76465,0.835643
146,66990,240,103,68209,0.832481
147,67902,285,55,84250,0.850941
148,68842,134,134,35912,0.894616
149,69762,291,5,84706,0.888974
150,70708,199,75,45226,0.891965
151,71656,267,0,71289,0.919063
152,72598,291,66,89037,0.941374
153,73568,259,0,67081,0.996208
154,74527,288,99,92745,0.993044
155,75509,270,9,72981,1.00653
156,76482,257,0,66049,1.04026
157,77452,301,85,97826,1.08751
158,78456,72,24,5760,1.1024
159,79441,304,40,94016,1.10325
160,80456,311,64,100817,1.142
161,81451,293,1,85850,1.14403
162,82468,308,3,94873,1.16609
163,83498,268,94,80660,1.1871
164,84515,316,28,100640,1.20403
165,85564,207,0,42849,1.23971
166,86590,232,194,91460,1.25576
167,87638,287,143,102818,1.29674
168,88709,228,211,96505,1.29876
169,89744,204,67,46105,1.32003
170,90824,84,36,8352,1.34994
171,91886,282,106,90760,1.39585
172,92967,274,180,107476,1.40782
173,94056,113,0,12769,1.43461
174,95132,327,0,106929,1.45929
175,96236,211,6,44557,1.49667
176,97335,333,32,111913,1.52957
177,98454,247,191,97490,1.5489
178,99557,326,138,125320,1.57473
179,100682,290,202,124904,1.59855
180,101808,337,69,118330,1.61749
181,102939,315,163,125794,1.64557
182,104093,303,123,106938,1.68633
183,105230,352,94,132740,1.71159
184,106384,244,244,119072,1.72882
185,107556,160,160,51200,1.85159
186,108726,337,83,120458,1.91284
187,109892,215,215,92450,1.97305
188,111064,261,252,131625,2.0486
189,112248,283,149,102290,2.04016
190,113435,252,147,85113,2.22197
191,114630,262,217,115733,2.17316
192,115835,342,131,134125,2.202
193,117046,367,45,136714,2.33199
194,118276,250,250,125000,2.24068
195,119488,157,0,24649,2.39464
196,120715,172,172,59168,2.40719
197,121943,304,208,135680,2.29944
198,123184,320,227,153929,2.32493
199,124444,369,0,136161,2.26694
200,125688,305,148,114929,2.25135
201,126948,331,210,153661,2.27477
202,128211,387,43,151618,2.30143
203,129488,260,151,90401,2.34309
204,130772,305,39,94546,2.386
205,132056,401,23,161330,2.46274
206,133354,274,274,150152,2.52085
207,134639,345,215,165250,2.63303
208,135948,95,0,9025,2.66233
209,137253,408,44,168400,2.73379
210,138566,343,203,158858,2.79016
211,139916,196,196,76832,2.69426
212,141215,367,191,171170,2.72032
213,142556,421,0,177241,2.80725
214,143894,326,105,117301,2.79411
215,145242,427,46,184445,2.82702
216,146606,272,272,147968,2.90342
217,147959,233,35,55514,2.88926
218,149344,79,79,12482,3.01024
219,150698,421,98,186845,2.99524
220,152088,213,0,45369,3.0073
221,153465,323,140,123929,3.05731
222,154858,429,0,184041,3.10021
223,156266,418,42,176488,3.14647
224,157654,405,162,190269,3.17326
225,159078,359,127,145010,3.22011
226,160486,144,144,41472,3.26617
227,161906,326,280,184676,3.32737
228,163355,361,250,192821,3.35917
229,164772,455,0,207025,3.40957
230,166216,273,253,138538,3.47917
231,167659,440,116,207056,3.56861
232,169120,387,221,198610,3.56972
233,170586,316,202,140660,3.68016
234,172048,309,0,95481,3.77809
235,173525,459,96,219897,3.72756
236,175010,414,55,174421,3.76438
237,176493,384,260,215056,3.76388
238,177979,464,32,216320,3.8733
239,179476,469,0,219961,3.87923
240,180992,375,232,194449,3.98243
241,182512,120,120,28800,4.09229
242,184028,70,70,9800,4.06839
243,185536,267,169,99850,4.09252
244,187068,430,106,196136,4.17027
245,188605,367,265,204914,4.39797
246,190148,387,0,149769,4.46249
247,191694,397,254,222125,4.60394
248,193245,458,163,236333,4.56912
249,194824,483,8,233353,4.63632
250,196378,468,3,219033,4.52706
251,197948,469,74,225437,4.60857
252,199538,327,0,106929,4.68439
253,201108,407,295,252674,4.90857
254,202746,459,111,223002,4.90083
255,204304,472,88,230528,4.89637
256,205912,414,266,242152,4.94389
257,207544,219,0,47961,4.95995
258,209148,467,0,218089,5.06222
259,210784,491,0,241081,5.21842
260,212398,292,292,170528,5.13042
261,214037,446,154,222632,5.25208
262,215688,297,129,104850,5.46308
263,217324,403,208,205673,5.63577
264,218988,422,309,273565,5.77647
265,220640,451,252,266905,6.14629
266,222337,481,48,233665,5.9912
267,224003,524,54,277492,5.90757
268,225672,511,124,276497,5.87847
269,227358,396,324,261792,5.96981
270,229050,498,138,267048,6.03528
271,230761,449,282,281125,6.01389
272,232450,523,140,293129,6.06629
273,234166,484,251,297257,6.11813
274,235912,142,50,22664,6.07823
275,237612,397,0,157609,6.09967
276,239348,162,65,30469,6.1948
277,241080,527,26,278405,6.24774
278,242824,422,221,226925,6.42658
279,244585,554,60,310516,6.46633
280,246324,552,87,312273,6.44392
281,248092,435,309,284706,6.49153
282,249859,432,340,302224,6.55724
283,251646,337,337,227138,6.60407
284,253420,493,227,294578,6.72057
285,255208,126,63,19845,6.77268
286,257008,197,0,38809,6.84956
287,258796,486,296,323812,6.89699
288,260619,426,380,325876,6.98565
289,262416,483,272,307273,7.17837
290,264234,442,362,326408,7.42009
291,266069,548,118,314228,7.51839
292,267890,548,42,302068,7.59713
293,269734,447,320,302209,7.49594
294,271583,398,321,261445,7.55244
295,273428,427,121,196970,7.63525
296,275290,463,93,223018,7.67994
297,277139,426,410,349576,7.75549
298,279018,534,199,324757,7.82439
299,280908,259,0,67081,8.02009
300,282799,519,187,304330,8.21109
