n,count,a,b,seconds
0,1,0,0,1.513e-06
1,5,1,1,3.215e-06
2,14,1,0,5.388e-06
3,32,1,1,1.1467e-05
4,52,1,1,1.7657e-05
5,81,1,1,3.1407e-05
6,116,1,1,4.741e-05
7,157,8,4,7.1796e-05
8,208,2,1,0.000107009
9,258,9,0,0.000149492
10,319,9,2,0.000205946
11,384,4,4,0.000268038
12,457,6,4,0.000338953
13,540,7,0,0.000435617
14,623,16,10,0.000607952
15,716,7,7,0.000667891
16,812,5,5,0.000990932
17,914,12,12,0.00125269
18,1025,14,2,0.00140428
19,1142,5,0,0.00151679
20,1268,11,11,0.00174599
21,1396,9,0,0.00196555
22,1528,2,2,0.0023758
23,1669,4,1,0.00311643
24,1816,7,0,0.00294445
25,1976,15,15,0.00459605
26,2131,27,17,0.00392453
27,2300,1,1,0.00543704
28,2472,2,1,0.00459467
29,2650,14,13,0.00734502
30,2836,7,7,0.0092295
31,3028,9,7,0.00987582
32,3228,9,0,0.00703282
33,3436,7,2,0.0120164
34,3644,37,0,0.00870079
35,3859,6,3,0.0124834
36,4080,5,0,0.0102514
37,4314,13,0,0.0109928
38,4548,3,1,0.0123784
39,4792,4,4,0.0133763
40,5038,29,0,0.014889
41,5289,11,5,0.0162834
42,5555,15,5,0.0168574
43,5818,7,0,0.019398
44,6092,5,5,0.0195119
45,6376,23,0,0.0208851
46,6668,2,2,0.022461
47,6952,13,0,0.026489
48,7250,9,0,0.0260436
49,7556,9,6,0.0274906
50,7863,57,42,0.0299462
51,8190,25,0,0.0334687
52,8508,43,33,0.0334525
53,8836,19,0,0.0358806
54,9180,7,7,0.0370387
55,9514,11,0,0.0416555
56,9866,24,2,0.0422643
57,10217,47,47,0.0451182
58,10580,1,1,0.0473324
59,10960,20,20,0.0494516
60,11321,29,22,0.0531397
61,11704,1,1,0.0552605
62,12096,5,2,0.0575049
63,12492,4,4,0.0631675
64,12892,10,5,0.0646499
65,13288,4,1,0.0680149
66,13699,50,35,0.0698207
67,14116,7,0,0.0734298
68,14542,3,3,0.0772114
69,14970,57,0,0.0798958
70,15406,33,23,0.0847039
71,15859,63,4,0.0895074
72,16296,19,19,0.092391
73,16756,13,0,0.0963726
74,17219,2,2,0.101651
75,17692,3,3,0.104638
