remainder_degree	shift	entry
0	0	1
0	1	11536*n/(491*n + 491) - 5644/(491*n + 491)
0	2	143231296*n**2/(241081*n**2 + 723243*n + 482162) + 1531568*n/(241081*n**2 + 723243*n + 482162) - 34829928/(241081*n**2 + 723243*n + 482162)
0	3	1777488230656*n**3/(118370771*n**3 + 710224626*n**2 + 1302078481*n + 710224626) + 2685239289216*n**2/(118370771*n**3 + 710224626*n**2 + 1302078481*n + 710224626) - 401187187024*n/(118370771*n**3 + 710224626*n**2 + 1302078481*n + 710224626) - 649621229544/(118370771*n**3 + 710224626*n**2 + 1302078481*n + 710224626)
1	1	11040*n/(491*n + 491) - 7320/(491*n + 491)
1	2	136130880*n**2/(241081*n**2 + 723243*n + 482162) - 22236240*n/(241081*n**2 + 723243*n + 482162) - 45033000/(241081*n**2 + 723243*n + 482162)
1	3	1689428459520*n**3/(118370771*n**3 + 710224626*n**2 + 1302078481*n + 710224626) + 2258188738560*n**2/(118370771*n**3 + 710224626*n**2 + 1302078481*n + 710224626) - 970388551680*n/(118370771*n**3 + 710224626*n**2 + 1302078481*n + 710224626) - 839939274240/(118370771*n**3 + 710224626*n**2 + 1302078481*n + 710224626)
2	1	3600*n/(491*n + 491) - 2700/(491*n + 491)
2	2	44236800*n**2/(241081*n**2 + 723243*n + 482162) - 11059200*n/(241081*n**2 + 723243*n + 482162) - 16588800/(241081*n**2 + 723243*n + 482162)
2	3	549011865600*n**3/(118370771*n**3 + 710224626*n**2 + 1302078481*n + 710224626) + 686264832000*n**2/(118370771*n**3 + 710224626*n**2 + 1302078481*n + 710224626) - 410967014400*n/(118370771*n**3 + 710224626*n**2 + 1302078481*n + 710224626) - 309413088000/(118370771*n**3 + 710224626*n**2 + 1302078481*n + 710224626)
