shift	lowering_index	pole_parameter	scale	certificate_polynomial	N_contribution
1	1	n	stored-in-generator	stored-in-generator	stored-in-generator
2	2	n + 1	stored-in-generator	stored-in-generator	stored-in-generator
2	1	n	stored-in-generator	stored-in-generator	stored-in-generator
3	3	n + 2	stored-in-generator	stored-in-generator	stored-in-generator
3	2	n + 1	stored-in-generator	stored-in-generator	stored-in-generator
3	1	n	stored-in-generator	stored-in-generator	stored-in-generator
4	4	n + 3	stored-in-generator	stored-in-generator	stored-in-generator
4	3	n + 2	stored-in-generator	stored-in-generator	stored-in-generator
4	2	n + 1	stored-in-generator	stored-in-generator	stored-in-generator
4	1	n	stored-in-generator	stored-in-generator	stored-in-generator
