n	a_q(n)
0	1
1	1
2	15
3	470
4	18390
5	805806
6	37828981
7	1860433080
8	94614523740
9	4935081398830
10	262560448214031
11	14193030016877406
12	777315341935068820
13	43039297954660894560
14	2405249540028525971070
15	135492504636185052358656
16	7685561884110284691089331
17	438601892971571496262327410
18	25164821367929258310475059330
19	1450741562134311371909163638910
20	83993060805236022887971639054236
21	4881690419881669201114345438559786
22	284716626699599705000488974817300650
23	16658457542119275201074344000552693200
24	977501256774313472266519449378231828900

recurrence_start_n	residual
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
0	0	(separate check)
