n	a_q(n)
0	1
1	1
2	3
3	19
4	150
5	1326
6	12558
7	124590
8	1278189
9	13449205
10	144342627
11	1573990275
12	17389407984
13	194228357568
14	2189610888840
15	24881753664840
16	284708154606318
17	3277578288381318
18	37934510719585350
19	441152315040444150
20	5152282099512304680
21	60406551502736538000
22	710696386643487054660
23	8388096824571665369220
24	99289485169936277117850

recurrence_start_n	residual
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
0	0	(separate check)
