n	a_q(n)
0	1
1	2
2	6
3	40
4	330
5	3048
6	30156
7	312528
8	3349170
9	36809960
10	412651668
11	4700098416
12	54237852708
13	632762593680
14	7450815536280
15	88435205367456
16	1056940049423682
17	12708927083800296
18	153636691533864900
19	1866178021496170800
20	22765001791630010220
21	278775897127835688240
22	3425768782722192750120
23	42231822612276216348000

recurrence_start_n	residual
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
0	0	(separate check)
