n	a_q(n)
0	1
1	1
2	10
3	210
4	5505
5	161601
6	5082420
7	167451780
8	5705082795
9	199354509755
10	7105393162010
11	257312347583330
12	9440808323869455
13	350189693739455535
14	13110655796699158800
15	494772468434359266960
16	18801468275832345890970
17	718807266442025945527410
18	27628770793554335524862400
19	1067046805051507456543264800
20	41386860903398711763315461880
21	1611442977119952377385829586280
22	62962669778169113763428387089800
23	2467917647654372656114814183593800
24	97014969430280617725577989067368150

recurrence_start_n	residual
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
0	0	(separate check)
