class_id	depth	width	labels_flat
0	2	4	0000000000012345
1	2	4	0000000000012354
2	2	4	0000000000012435
3	2	4	0000000000012453
4	2	4	0000000000012534
5	2	4	0000000000012543
6	2	4	0000000000013245
7	2	4	0000000000013254
8	2	4	0000000000013425
9	2	4	0000000000013452
10	2	4	0000000000013524
11	2	4	0000000000013542
12	2	4	0000000000102345
13	2	4	0000000000102354
14	2	4	0000000000102435
15	2	4	0000000000102453
16	2	4	0000000000102534
17	2	4	0000000000102543
18	2	4	0000000000103245
19	2	4	0000000000103254
20	2	4	0000000000103425
21	2	4	0000000000103452
22	2	4	0000000000103524
23	2	4	0000000000103542
24	2	4	0000000000123405
25	2	4	0000000000123450
26	2	4	0000000000123504
27	2	4	0000000000123540
28	2	4	0000000000124305
29	2	4	0000000000124350
30	2	4	0000000000124503
31	2	4	0000000000124530
32	2	4	0000000000125304
33	2	4	0000000000125340
34	2	4	0000000000125403
35	2	4	0000000000125430
36	2	4	0000000000132405
37	2	4	0000000000132450
38	2	4	0000000000132504
39	2	4	0000000000132540
40	2	4	0000000000134205
41	2	4	0000000000134250
42	2	4	0000000000134502
43	2	4	0000000000134520
44	2	4	0000000000135204
45	2	4	0000000000135240
46	2	4	0000000000135402
47	2	4	0000000000135420
48	2	4	0000000001020345
49	2	4	0000000001020354
50	2	4	0000000001020435
51	2	4	0000000001020453
52	2	4	0000000001020534
53	2	4	0000000001020543
54	2	4	0000000001023045
55	2	4	0000000001023054
56	2	4	0000000001023405
57	2	4	0000000001023450
58	2	4	0000000001023504
59	2	4	0000000001023540
60	2	4	0000000001024035
61	2	4	0000000001024053
62	2	4	0000000001024305
63	2	4	0000000001024350
64	2	4	0000000001024503
65	2	4	0000000001024530
66	2	4	0000000001025034
67	2	4	0000000001025043
68	2	4	0000000001025304
69	2	4	0000000001025340
70	2	4	0000000001025403
71	2	4	0000000001025430
72	2	4	0000000001030245
73	2	4	0000000001030254
74	2	4	0000000001030425
75	2	4	0000000001030452
76	2	4	0000000001030524
77	2	4	0000000001030542
78	2	4	0000000001032045
79	2	4	0000000001032054
80	2	4	0000000001032405
81	2	4	0000000001032450
82	2	4	0000000001032504
83	2	4	0000000001032540
84	2	4	0000000001034025
85	2	4	0000000001034052
86	2	4	0000000001034205
87	2	4	0000000001034250
88	2	4	0000000001034502
89	2	4	0000000001034520
90	2	4	0000000001035024
91	2	4	0000000001035042
92	2	4	0000000001035204
93	2	4	0000000001035240
94	2	4	0000000001035402
95	2	4	0000000001035420
96	2	4	0000000001200345
97	2	4	0000000001200354
98	2	4	0000000001200435
99	2	4	0000000001200453
100	2	4	0000000001200534
101	2	4	0000000001200543
102	2	4	0000000001203045
103	2	4	0000000001203054
104	2	4	0000000001203504
105	2	4	0000000001204053
106	2	4	0000000001204503
107	2	4	0000000001205043
108	2	4	0000000001230405
109	2	4	0000000001230450
110	2	4	0000000001230504
111	2	4	0000000001230540
112	2	4	0000000001234005
113	2	4	0000000001234050
114	2	4	0000000001234500
115	2	4	0000000001235004
116	2	4	0000000001235040
