n,action_fraction_(n+1/2)/L,real_E,real_z,ip_E
0,0.04545454545454546,-0.2433277288956734,0.006672271104326555,-0.2433277288956734
1,0.1363636363636364,-0.2301929765872311,0.01980702341276894,-0.2301929765872311
2,0.2272727272727273,-0.2173481270867045,0.03265187291329549,-0.2173481270867045
3,0.3181818181818182,-0.2048096172297428,0.04519038277025725,-0.2048096172297428
4,0.4090909090909091,-0.1925976430031537,0.05740235699684634,-0.1925976430031537
5,0.5,-0.1807375847893363,0.06926241521066367,-0.1807375847893363
6,0.5909090909090909,-0.1692628430427005,0.08073715695729955,-0.1692628430427005
7,0.6818181818181818,-0.1582200250144044,0.09177997498559562,-0.1582200250144044
8,0.7727272727272727,-0.1476794785002994,0.1023205214997006,-0.1476794785002994
9,0.8636363636363636,-0.1377640278079997,0.1122359721920003,-0.1377640278079997
10,0.9545454545454546,-0.1287622731658498,0.1212377268341502,-0.1287622731658498
