n,action_fraction_(n+1/2)/L,real_alpha,wick_alpha
0,0.04545454545454546,0.04879244258099918,0.04879244258099918
1,0.1363636363636364,0.1462782128974498,0.1462782128974498
2,0.2272727272727273,0.2434792165282976,0.2434792165282976
3,0.3181818181818182,0.3401758098351051,0.3401758098351051
4,0.4090909090909091,0.4361103300299363,0.4361103300299363
5,0.5,0.5309740965469326,0.5309740965469326
6,0.5909090909090909,0.6243765320615343,0.6243765320615343
7,0.6818181818181818,0.7157977636174031,0.7157977636174031
8,0.7727272727272727,0.8044870948945236,0.8044870948945236
9,0.8636363636363636,0.8891979457843707,0.8891979457843707
10,0.9545454545454546,0.9671603304300852,0.9671603304300852
