alpha,T1_basis,T1_quadrature,T1_abs_error,T2_basis,T2_quadrature,T2_abs_error,psi0_annihilator_abs_residual,psi1_annihilator_abs_residual,abel_identity_abs_error
0.0004,1.00000001500187598462119078275699164786176119,1.00000001500187598462119078275699164786176119,1.42873423910284372777e-101,3.7711349927313146944331712353882788816646306,3.7711349927313146944331712353882788816646306,1.625328070403395024711e-97,,,
0.004,1.00000150188486845668602012350575731084961997,1.00000150188486845668602012350575731084961997,2.857468478205687455539e-101,2.95161124899748223688931860129136554308536041,2.95161124899748223688931860129136554308536041,5.714936956411374911079e-101,,,
0.04,1.00015197599863663122207012154518718413596756,1.00015197599863663122207012154518718413596756,1.42873423910284372777e-101,2.13156790652467869393769491346428935005050432,2.13156790652467869393769491346428935005050432,0.0,8.058061108540038624621e-99,1.011543841284813359261e-98,0.0
0.12,1.00140927472834841481883582909749782356145635,1.00140927472834841481883582909749782356145635,1.42873423910284372777e-101,1.73997145973309990559313881752433771815736894,1.73997145973309990559313881752433771815736894,2.857468478205687455539e-101,1.42873423910284372777e-99,2.443135548865862774486e-99,0.0
0.24,1.00595734124930499295493480507052073280034126,1.00595734124930499295493480507052073280034126,1.42873423910284372777e-101,1.49350901780080915890905029712267263225097495,1.49350901780080915890905029712267263225097495,0.0,6.857924347693649893295e-100,8.143785162886209248287e-100,7.143671195514218638849e-102
0.40,1.01825088774451465375727172893478368269945277,1.01825088774451465375727172893478368269945277,1.42873423910284372777e-101,1.31335726532515467874400411684522674821955095,1.31335726532515467874400411684522674821955095,0.0,2.285974782564549964432e-100,1.42873423910284372777e-101,7.143671195514218638849e-102
0.56,1.04104101993117055895392460291242703049358931,1.04104101993117055895392460291242703049358931,1.42873423910284372777e-101,1.19625409639426367983689562914911953838030035,1.19625409639426367983689562914911953838030035,2.857468478205687455539e-101,2.285974782564549964432e-100,2.678876698317831989568e-100,1.42873423910284372777e-101
0.5992,1.04901568543315504067293442324384873447725378,1.04901568543315504067293442324384873447725378,0.0,1.17293320122015792112124258193947940253205296,1.17293320122015792112124258193947940253205296,4.286202717308531183309e-101,9.143899130258199857726e-100,2.330064628224364282593e-100,7.143671195514218638849e-102
0.60,1.04919123918301227753759852062883100629069577,1.04919123918301227753759852062883100629069577,1.42873423910284372777e-101,1.17247421916830092232234260726704852013219104,1.17247421916830092232234260726704852013219104,1.42873423910284372777e-101,0.0,4.330850662280495049802e-101,0.0
0.72,1.0832819909182126842384625412287029242882836,1.0832819909182126842384625412287029242882836,2.857468478205687455539e-101,1.11011907790142397253283180922718798018628685,1.11011907790142397253283180922718798018628685,1.42873423910284372777e-101,4.571949565129099928863e-100,8.572405434617062366618e-101,1.42873423910284372777e-101
0.88,1.17949142146130894650071710012646806848751684,1.17949142146130894650071710012646806848751684,8.572405434617062366618e-101,1.04246166045303894863071555848229524301708786,1.04246166045303894863071555848229524301708786,0.0,1.828779826051639971545e-99,1.371584869538729978659e-99,0.0
0.96,1.32119827860957753638720490462365835283585163,1.32119827860957753638720490462365835283585163,2.143101358654265591655e-100,1.01350025621548476147992415734562253782515784,1.01350025621548476147992415734562253782515784,1.42873423910284372777e-101,1.371584869538729978659e-99,6.857924347693649893295e-100,1.42873423910284372777e-101
0.996,1.64031963893389876541733553860983796534124741,1.64031963893389876541733553860983796534124741,2.414560864083805899931e-99,1.0013229298394035741730911199039116991314327,1.0013229298394035741730911199039116991314327,2.857468478205687455539e-101,,,
0.9996,1.96685820076417992493537078341872164589881537,1.96685820076417992493537078341872164589881537,1.201565495085491575054e-98,1.00013202922781840568465742702985774059680956,1.00013202922781840568465742702985774059680956,0.0,,,
